date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK (HONG KONG) LTD
2024-03-11,49.07764038110683,18.913440097303873,0.0,32.0089195215893,0.0
2024-03-13,48.9638358390898,18.955709061357172,0.0,32.08045509955303,0.0
2024-03-18,48.8447507093636,19.15281718686664,0.0,32.00243210376976,0.0
2024-03-19,48.65737936604078,19.462951746416312,0.0,31.879668887542906,0.0
2024-03-20,48.61811579584426,19.52794028646359,0.0,31.853943917692153,0.0
2024-03-22,48.25499293927779,19.891063143030056,0.0,31.853943917692153,0.0
2024-03-28,48.12877263581489,20.100603621730382,0.0,31.770623742454728,0.0
2024-04-09,48.148148148148145,20.068438003220614,0.0,31.78341384863124,0.0
2024-04-18,47.715938559744664,20.746060243367246,0.0,31.538001196888093,0.0
2024-04-24,47.63042612504978,20.88809239346874,0.0,31.48148148148148,0.0
2024-04-25,47.53577106518283,21.085055643879173,0.0,31.379173290937995,0.0
2024-04-30,47.338214921828616,21.41302196714823,0.0,31.248763111023152,0.0
2024-05-07,47.310126582278485,21.45965189873418,0.0,31.230221518987346,0.0
2024-05-17,47.09036742800397,21.549155908639523,0.0,31.360476663356508,0.0
2024-05-22,47.071669644629736,21.580305737542187,0.0,31.348024617828074,0.0
2024-05-27,47.09036742800397,21.549155908639523,0.0,31.360476663356508,0.0
2024-05-30,47.02499008330028,21.65807219357398,0.0,31.316937723125744,0.0
2024-06-12,47.071669644629736,21.580305737542187,0.0,31.348024617828074,0.0
2024-06-21,47.04365079365079,21.626984126984127,0.0,31.32936507936508,0.0
2024-06-24,47.006344171292625,21.68913560666138,0.0,31.304520222045994,0.0
2024-06-25,46.98771304003171,21.72017439556084,0.0,31.292112564407454,0.0
2024-07-17,46.91333597150772,21.844083893945392,0.0,31.242580134546895,0.0
2024-07-25,46.92262022560855,21.828616663368297,0.0,31.248763111023152,0.0
2024-07-26,46.931908155186065,21.872525732383213,0.0,31.195566112430722,0.0
2024-08-07,46.746845425867505,22.180599369085176,0.0,31.07255520504732,0.0
2024-08-14,46.654860291223926,22.333726879181427,0.0,31.011412829594647,0.0
2024-08-28,34.57276173811607,16.695829687955673,25.75094779819189,22.98046077573637,0.0
2024-09-02,34.5828471411902,16.671528588098017,25.758459743290548,22.987164527421236,0.0
2024-09-03,34.39222512329562,17.0147954743255,25.442413693066435,23.150565709312446,0.0
2024-09-10,33.95388801374767,18.07246169268223,25.118144064155807,22.855506229414292,0.0
2024-09-11,33.915033614647406,18.166213703332858,25.089400657988843,22.829352024030896,0.0
2024-09-12,33.900486130969405,18.201315413211326,25.078638833285673,22.8195596225336,0.0
2024-10-02,33.87626803829119,18.288326903843405,25.060722960422915,22.774682097442494,0.0
2024-10-03,33.81346263548203,18.439817455790074,25.014261266400457,22.732458642327437,0.0
2024-10-07,33.689763330481895,18.577131451382947,25.007128599942973,22.72597661819219,0.0
2024-10-09,33.68015963511973,18.600342075256556,25.0,22.71949828962372,0.0
2024-10-14,33.63222317107885,18.716196982635925,24.964417876458867,22.68716196982636,0.0
2024-10-15,28.935382863649302,23.41303729006547,24.964417876458867,22.68716196982636,0.0
