date,MIB SECURITIES (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,FULBRIGHT SECURITIES LTD,PHILLIP SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,UBS SECURITIES HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD
2024-05-23,0.0,0.0500028245263034,0.0,0.0,0.0,0.0,0.0
2024-06-13,0.0,0.0,0.0,0.0,0.043309403318818405,0.0,0.0
2024-06-21,0.0,0.0,0.0,0.0,0.0,0.0,0.012239613981405204
2024-07-08,0.013181122749205602,0.0,0.0,0.0,0.0,0.0,0.011768859597505002
2024-08-23,0.0,0.05050511945392491,0.02406825938566553,0.0128231140402495,0.0,33.083206543485936,0.0
2024-09-12,0.0,0.0,0.0,0.0,0.0,0.0,0.012710368365305404
2024-09-19,0.0,0.0,0.0,0.0114108508885489,0.0,0.0,0.014122631517006002
2024-09-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0150641402848064
2024-10-18,0.009885842061904201,0.0,0.0,0.0,0.0,0.0,0.018359420972107802
2025-02-20,0.0,0.0,0.01653618924326233,0.0,0.0,0.0,0.0
2025-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.020713192891608802
2025-04-07,0.010356596445804401,0.0,0.011828645404260327,0.0,0.0,0.0,0.0296575261857126
2025-04-28,0.011298105213604802,0.0,0.0,0.0,0.0,0.0,0.0
