date,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,UOB KAY HIAN (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,BOCI SECURITIES LTD
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,50.61198815057446,37.41527033466205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.972741514763491
2024-03-06,40.49418969322997,29.96171782236286,0.0,19.964811295048488,0.0,0.0,0.0,0.0,0.0,9.579281189358682
2024-03-12,30.167426518453773,22.284198875002293,0.0,14.873417205305001,16.452799537826493,0.0,0.0,9.085769567491116,0.0,7.136388295921327
2024-03-13,30.16739035246672,22.30098635098199,0.0,14.863724048925523,16.449245550438576,0.0,0.0,9.083806940378441,0.0,7.134846756808748
2024-03-14,23.060822915624758,16.418689324003108,14.094468016577903,11.330176913665465,12.496641007729131,0.0,5.632640454216126,6.982560563073684,4.487808361896866,5.4961924432129585
2024-03-15,22.947352159424486,16.22869253755186,14.142603415255891,11.288875723421317,12.465733963078089,0.0,5.562273569943366,6.965291097545463,4.92985750603754,5.4693200277419844
2024-03-18,22.945828662243844,16.22761509876264,14.141664473966262,11.294765341830804,12.464906350793436,0.0,5.561904285154302,6.964828665048863,4.929530207970241,5.46895691422961
2024-03-20,23.066998623560327,16.217117563188083,14.132516325886868,11.299069739228518,12.456842886319167,0.0,5.475371287315522,6.9603231640102265,4.926341327878552,5.465419082612737
2024-03-22,23.066233423971134,16.21989688564213,14.132047509121264,11.298694916146252,12.456429656526476,0.0,5.475189653288135,6.960092269800162,4.92617790677545,5.4652377787289925
2024-03-25,23.07120812897106,16.22837204858511,14.151685409009641,11.292836693387738,12.457457136866244,0.0,5.476370489918161,6.9284132864346315,4.92724033779368,5.46641646903373
2024-04-02,23.41928417035856,16.25815278412404,14.154503293437473,11.319975331015941,12.459937666461258,0.0,5.477460945130991,6.514959417091958,4.928221450178444,5.467504942201338
2024-04-03,23.420838689949306,16.25923196386448,14.155442837639887,11.314088949747706,12.460764729195589,0.0,5.477824526711231,6.515391865495296,4.928548574472087,5.467867862924419
2024-04-05,24.050587449281203,16.16054350358769,14.069523720347782,11.286650254648963,12.385131778775255,0.0,5.444575842553885,6.269674014391987,4.898633823806434,5.434679612606801
2024-04-09,24.049794108305615,16.160010426323936,14.069059618184045,11.28957658381173,12.384723238545256,0.0,5.444396245896643,6.269467200761773,4.898472235780985,5.434500342390015
2024-04-10,23.92250838748563,16.007846473318143,13.898820093244721,11.15489301660819,12.3360959737424,0.0,5.321163251957869,6.244850821705726,5.726945074506061,5.38687690743126
2024-04-11,23.92232783491537,15.992930983251211,13.895852364666617,11.190288465532557,12.323606980315686,0.0,5.320027057076171,6.2435173975643075,5.725722235556508,5.385726681121569
2024-04-12,23.917613700230866,15.981568581103234,13.893114047557384,11.209431477045898,12.321178489931931,0.0,5.318978692374987,6.242287049827237,5.731162592278081,5.384665369650381
2024-04-15,23.914079318307195,15.979206933833028,13.891061017862674,11.22255234204159,12.31935775015919,0.0,5.318192689959432,6.241364607196137,5.730315680135354,5.383869660505395
2024-04-16,23.98385470415513,15.744908387791332,14.007195386922893,11.249890114003112,12.349367304369473,0.0,5.3311476341267126,6.248338748395656,5.744274542482935,5.341023177752757
2024-04-17,24.044975970930597,16.75429243764766,14.180910696114635,11.47939475933209,12.582673765740521,0.0,5.3576022515096025,6.279344719757125,3.969819513313691,5.3509858856540795
2024-04-18,24.045771449036526,16.754846718626375,14.18137984210149,11.493007700761778,12.58309003737692,0.0,5.357779496656218,6.263010996978884,3.969950846549837,5.351162911911969
2024-04-19,24.045771449036526,16.738305256765752,14.197921303962117,11.493007700761778,12.58309003737692,0.0,5.357779496656218,6.263010996978884,3.969950846549837,5.351162911911969
2024-04-23,23.962362013082846,16.748041937136755,14.213203269348936,11.516969712555479,12.594977948770234,0.0,5.363546354991689,6.2697522033304365,3.9742239123124588,5.356922648471168
2024-04-24,23.559394155848672,16.67635021962585,14.392763040833351,11.581586021767547,12.666890829622831,0.0,5.39984988117246,6.312189445072315,4.001123715595525,5.40985269046145
2024-04-25,23.667669076131773,16.467389358925384,14.477085195056702,11.557349704978307,12.71608571838857,0.0,5.465232592746522,6.3126104039922275,4.001390549905935,5.335187399874579
