date,MORGAN STANLEY HONG KONG SECURITIES LTD,DBS BANK (HONG KONG) LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,MIDAS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,ORIENT SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,52.62589321371895,47.37410678628105,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,52.35914086378266,47.640859136217344,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,52.35048956710776,47.649510432892235,0.0,0.0,0.0
2024-03-07,0.0,0.0,0.0,0.0,0.0,52.325450412912865,47.674549587087135,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0,52.31264130290452,47.68735869709549,0.0,0.0,0.0
2024-03-12,0.0,23.28864306524836,0.0,0.0,0.0,40.12567346032449,36.58568347442715,0.0,0.0,0.0
2024-03-13,0.0,23.33680747213939,0.0,0.0,0.0,40.07750905343347,36.58568347442715,0.0,0.0,0.0
2024-03-18,0.0,23.368322070571285,0.0,0.0,0.0,39.99176530382823,36.63991262560049,0.0,0.0,0.0
2024-03-19,0.0,23.322204570182706,0.0,0.0,0.0,39.76362512362835,36.914170306188936,0.0,0.0,0.0
2024-03-20,0.0,25.12723962883714,0.0,0.0,0.0,38.309970223058656,36.562790148104206,0.0,0.0,0.0
2024-03-21,0.0,25.12723962883714,0.0,0.0,0.0,38.28108966212018,36.59167070904268,0.0,0.0,0.0
2024-03-22,0.0,14.452949534961263,0.0,0.0,42.93600660275966,21.715401835417975,20.8956420268611,0.0,0.0,0.0
2024-03-25,0.0,14.795680837068288,0.0,0.0,42.93600660275966,21.37267053331095,20.8956420268611,0.0,0.0,0.0
2024-03-28,0.0,15.003650091106794,0.0,0.0,42.934829393960946,21.1664513996108,20.89506911532146,0.0,0.0,0.0
2024-04-02,0.0,15.69899381736673,0.0,0.0,42.96192153850511,20.41162607292749,20.927458571200674,0.0,0.0,0.0
2024-04-03,0.0,15.703302026629885,0.0,0.0,42.97371139908396,20.37606367705394,20.946922897232216,0.0,0.0,0.0
2024-04-19,0.0,14.695121810680211,0.0,0.0,46.63490162894662,19.067883764109524,19.60209279626364,0.0,0.0,0.0
2024-04-24,0.0,72.28246661086547,0.0,0.0,15.00097005301827,6.27044475171675,6.446118584399507,0.0,0.0,0.0
2024-04-25,0.0,73.84145647354478,0.0,0.0,13.16770906680561,6.4056858448997485,6.585148614749866,0.0,0.0,0.0
2024-05-07,0.0,68.54254095213024,0.0,0.0,12.22278488345658,5.946009265240116,6.11259365887598,0.0,7.176071240297086,0.0
2024-05-22,0.0,67.19723314004504,0.0,0.0,13.945618200970147,5.829304914859451,5.992619699825769,0.0,7.035224044299583,0.0
2024-06-05,0.0,65.20583758029368,0.0,0.0,13.53843327115191,5.267259222176327,5.865308522570397,3.2659537129834133,6.857207690824282,0.0
2024-06-06,61.51256089708666,25.072562845386248,0.0,0.0,5.205718254919096,2.02533534989616,2.2591018615686265,1.2558051971660662,2.668915593977147,0.0
2024-06-07,61.50672671596583,25.071020576487946,0.0,0.0,5.205398039654011,2.025210767030896,2.2598416451483145,1.2557279498056804,2.6760743059073238,0.0
2024-06-11,61.504564840497366,25.070139365159566,0.0,0.0,5.205215077189149,2.0236750586126737,2.26474160018156,1.255683812723532,2.6759802456361528,0.0
2024-06-12,61.50078192409202,25.068597394384966,0.0,0.0,5.209288228861846,2.023550589907007,2.2663596263877746,1.255606580295217,2.6758156560711694,0.0
2024-06-13,61.48871572950928,25.063679041079308,0.0,0.0,5.213537120144907,2.023153577797536,2.2802636235996627,1.25536023556848,2.675290672300824,0.0
2024-06-14,61.48475472797921,25.0620644802635,0.0,0.0,5.213201272692818,2.023023249584917,2.279238300754937,1.2552793673350995,2.682438601389514,0.0
2024-06-17,61.475574368695085,25.072960782453652,0.0,0.0,5.21242288362848,2.0227211896620387,2.279190752024698,1.2550919401322902,2.6820380834037576,0.0
2024-06-19,61.46837600496317,25.07002491250202,0.0,0.0,5.217667198530225,2.0224843430282173,2.28477852808171,1.2549449775639065,2.6817240353307557,0.0
2024-06-20,61.43240945786319,25.09192604361091,0.0,0.0,5.214614222589673,2.0213009413652774,2.305383756396242,1.2542106806688693,2.6801548975058345,0.0
2024-06-21,61.40115278232611,25.079159326533286,0.0,0.0,5.21196103828118,2.012669781937226,2.3460257748053137,1.2702400555595514,2.678791240557332,0.0
2024-06-24,61.42827600324051,25.090237743597744,0.0,0.0,5.216603693042102,1.9720179324262448,2.3502800622420508,1.2927417967447876,2.6498427687065593,0.0
2024-07-03,61.4250415136873,25.08891662379511,0.0,0.0,5.216329014160547,1.9719140963459214,2.3501563088697757,1.2979392012017916,2.64970324193956,0.0
2024-07-04,61.42468214698511,25.088769841293928,0.0,0.0,5.216298496070381,1.9719025596786548,2.350142559299543,1.2985166567999342,2.6496877398724497,0.0
2024-07-05,61.424502465210864,25.088696450687397,0.0,0.0,5.2162832371592085,1.9718967913956424,2.3507207320441563,1.2982203345958145,2.649679988906915,0.0
2024-07-10,61.43409395330677,25.092733571763425,0.0,0.0,5.21712260986383,1.9722140970839606,2.33530017227081,1.2984292363490173,2.65010635936219,0.0
