date,CCB INTERNATIONAL SECURITIES LTD,UOB KAY HIAN (HONG KONG) LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG BANK LTD,GET NICE SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,72.33302097485532,27.666979025144695,0.0
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,72.59605347886044,27.403946521139556,0.0
2024-03-07,0.0,0.0,31.639722605421127,30.24122888781179,0.0,0.0,27.694381268409085,10.424667238358003,0.0
2024-03-08,0.0,0.0,31.603195292715625,30.20631610308357,0.0,0.0,27.777856398033666,10.412632206167139,0.0
2024-03-11,0.0,0.0,31.650343129941817,30.25137997911383,0.0,0.0,27.670110398329108,10.428166492615247,0.0
2024-03-12,0.0,0.0,31.61614693938378,30.218695279609552,0.0,0.0,27.748258261614694,10.416899519391976,0.0
2024-03-13,0.0,0.0,31.57849886503182,30.18271127153649,0.0,0.0,27.85290068098091,10.385889182450788,0.0
2024-03-14,0.0,76.30482378699061,7.491780846104951,7.160639875697436,0.0,0.0,6.578774984109047,2.4639805070979586,0.0
2024-03-19,0.0,74.09515645092156,7.274830690098585,6.934419202743249,0.0,0.0,6.392550364337763,2.392627518216888,2.9104157736819545
2024-03-20,0.0,74.10795425318496,7.275329641124123,6.934894806330481,0.0,0.0,6.378414293307729,2.3927916187994036,2.910615387253305
2024-03-22,0.0,74.11621466359138,7.276140582530931,6.9356678013187105,0.0,0.0,6.367978804585481,2.3930583302609127,2.910939817712576
2024-03-26,0.0,73.9368071712057,7.2730686328178455,7.017243738880525,0.0,0.0,6.481721294648966,2.3872656356918025,2.903893526755166
2024-04-03,0.0,73.9203680582873,7.27145153842207,7.015683524602781,0.0,0.0,6.502514152798919,2.3867348509466555,2.903247874942277
2024-04-05,0.0,73.92858670087664,7.272259995723755,6.980543083172974,0.0,0.0,6.5280393414582,2.387000213812273,2.9035706649561686
2024-04-08,0.0,73.9210001966871,7.271513721063479,6.979826744315315,0.0,0.0,6.537631374158735,2.3867552613800593,2.903272702395307
2024-04-09,0.0,73.91278324070115,7.2707054296708,6.979050876442924,0.0,0.0,6.5480205215904235,2.3864899529713552,2.9029499786233433
2024-04-10,0.0,73.9779369602985,7.277114517274727,7.000607632202795,0.0,0.0,6.450238345871097,2.3885936309875304,2.905508913365341
2024-04-11,0.0,73.9779369602985,7.277114517274727,7.002319272210669,0.0,0.0,6.448526705863222,2.3885936309875304,2.905508913365341
2024-04-12,0.0,73.99154196486663,7.279294935451837,7.01383419511694,0.0,0.0,6.419640105468616,2.3893093175358695,2.9063794815601134
2024-04-15,0.0,74.00484626383881,7.280603813650025,6.945740682073105,0.0,0.0,6.437919017732531,2.4239881497718145,2.9069020729337023
2024-04-16,0.0,73.99534270499804,7.2796688526274345,6.947417084738798,0.0,0.0,6.443941235895416,2.423676865914422,2.9099532558258994
2024-04-17,0.0,74.01435226416388,7.281539014866069,6.949201890799479,0.0,0.0,6.419906487634446,2.4242995135986845,2.9107008289374527
2024-04-18,0.0,74.02195882292487,7.2737230653283556,6.949916070021582,0.0,0.0,6.418853413723408,2.4245486622589154,2.910999965742866
2024-04-23,0.0,73.94289040298558,7.269738418872188,6.893039339884274,0.0,0.0,6.383666586777142,2.601259971924539,2.909405279556271
2024-04-24,0.0,74.0674681438543,7.268251899363734,6.7442418837572236,0.0,0.0,6.318844432248881,2.68654924625701,2.9146443945188563
2024-04-25,0.0,74.11831333985481,7.273241346170348,6.7093995091729735,0.0,0.0,6.294007104978634,2.688393485386741,2.916645214436493
