date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,CITIC SECURITIES BROKERAGE (HK) LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,CHINA MERCHANTS BANK CO LTD
2024-03-01,33.1134278807093,20.36984437167389,9.978702973966428,7.801367931736497,3.6639403987498613,3.036482387249502,3.060036911203249,0.8891697104713978,2.075851304630084
2024-03-04,33.09470185766159,20.333507778786387,9.967533549320882,7.79706563483599,3.660906727858478,3.043983827999103,3.0828721793674747,0.8915811478841317,2.0757961469775132
2024-03-05,33.15487885661611,20.343904996295944,9.986645675936593,7.806028753378712,3.662671772740737,3.03485523649867,3.1099877916864838,0.8891817899973108,2.0767062482449283
2024-03-06,33.29059426076605,20.307923508375698,9.979144235186993,7.805681260167517,3.4662829507631367,3.0406743688448676,3.148577574681491,0.896076496568635,2.076669789036579
2024-03-07,33.357941754554744,20.151496405685492,9.970659995383889,7.809542295847459,3.4666966331574165,3.036647915364867,3.175522253435184,0.8973725910887388,2.077745363261706
2024-03-08,33.43563130820043,19.905962115267492,9.98461488148425,7.8139273292268205,3.459691611280951,3.052064479258348,3.351521497563539,0.8980344829195859,2.078683043355406
2024-03-11,33.56216296319737,19.775348793980328,9.997025353312633,7.824986438567224,3.541131885301433,3.0411157403807376,3.355497867895005,0.8948353390704915,2.0822682907724945
2024-03-12,33.44908977542765,19.77622497329141,9.998487031105755,7.813651540963967,3.5502328979755813,3.0464108750275143,3.532520176163239,0.9177059081323626,2.0809445071108
2024-03-13,33.6000011128608,19.667840185990194,10.0255970173442,7.822476765375262,3.5615126379262674,3.0415845804275876,3.494092832455052,0.9233871463471337,2.083978178002183
2024-03-14,33.555378571931186,19.445223900215275,10.027555114010458,7.822285202847885,3.558423809382314,3.0543259981713944,3.6667638638272972,0.0,2.0707403413852403
2024-03-15,33.908332390730415,19.42742507730727,10.043771463866213,7.8699689934951635,3.5739506885809367,3.0492514941349,3.562080155013567,0.9272206032007901,2.0728914898354933
2024-03-18,34.56004763467827,18.581510770188867,10.04647418884217,7.487257621134097,3.4816443570040474,3.0521472708948565,3.8704958240916203,0.9326812108052789,2.0727260168777817
2024-03-19,35.04063626152586,18.59753566783255,10.04600534879532,7.48436184437414,3.4775075330612526,3.036620391696234,3.4624430404641298,0.8885441675335946,2.070133607206964
2024-03-20,35.320092508274776,18.46611097747607,10.038172962130295,7.465470348368712,3.468958096912811,3.0349932409454015,3.519342020126378,0.8775126370194758,2.070161186033249
2024-03-21,35.60280305652535,18.35989388592088,10.036794020816032,7.468504019260094,3.472212398414476,3.034855346813975,3.2453454984595105,0.8816415182603003,2.0653900490858925
2024-03-22,35.76620760226574,18.32950201935448,10.025348807907633,7.466021924894418,3.467248209683122,3.051650852021721,3.164569377733631,0.8809520476031679,2.064204159555625
2024-03-25,36.15057370420392,18.23496180284848,9.97669975834037,7.451736092878634,3.470447353532217,3.034717452682549,3.0683269960693043,0.8787733203266294,0.0
2024-03-26,36.44864565869541,18.12723890737811,9.97446587341126,7.453583874239748,3.4766250106201233,3.035942062884921,2.9198830259085993,0.9102407611181532,2.062935533546501
