date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA MERCHANTS SECURITIES (HK) CO LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,35.8663732031595,6.873306775253889,5.950066231663642,8.96354805475151,8.395205465338764,4.683042192022764,1.430947358092528,1.3388608153853703,0.0,0.8772997105430996,74.37864980621106
2024-03-04,35.678962125300494,6.8767900701565035,5.964784379139479,8.961242211646962,8.565183878722465,4.682993131531179,1.4289849384290831,1.3734975224451749,0.0,0.8704312417210421,74.40286949909239
2024-03-05,35.66890472452534,6.836903890496983,5.967482706176716,8.961242211646962,8.56562542314674,4.681276014325664,1.4283471520384634,1.4068586567237404,0.0,0.851641073443556,74.36828185252416
2024-03-06,35.481935191090614,6.728382083108472,5.859843987636756,8.96340087327675,8.635002698327037,4.682257224157386,1.4292302408870137,1.437178040523966,0.0,0.8569886670264436,74.07421900603444
2024-03-07,35.24452411323161,6.771113771279988,5.8770642201834855,8.96340087327675,8.885711867732915,4.68196286120787,1.4253054015601236,1.437178040523966,0.0,0.8569396065348576,74.14320075553157
2024-03-08,35.05966418093509,6.776167001913359,5.888887798655743,8.96340087327675,9.067763871853995,4.68196286120787,1.426188490408674,1.437178040523966,0.0,0.8456066329784625,74.14681975175391
2024-03-11,34.946893538733256,6.754678506598637,5.9694941863317466,8.96340087327675,9.230178482068391,4.682110042682628,1.4197125055193054,1.436785556591277,0.0,0.8145513418044448,74.21780503360644
2024-03-12,34.90622239120836,6.8305260265907854,6.07026443604965,8.961585635088063,9.178247951724476,4.680446892017858,1.4128930971888338,1.436785556591277,0.0,0.8136682529558946,74.2906402394152
2024-03-13,34.9071545405485,6.893176274346269,6.049217485159201,8.961585635088063,9.120214590590198,4.684526271893245,1.4057302654172594,1.436785556591277,0.0,0.7997350733454349,74.25812569297945
2024-03-14,34.9263871853996,6.846961291272138,5.97857037727518,8.961585635088063,8.980241721042045,4.684869695334347,1.3995977039689937,1.436785556591277,0.0,0.7926703625570328,74.00766952852868
2024-03-15,34.92471912868567,6.80452396605014,6.009184124024923,8.961291272138547,9.097489525585047,4.684084727468969,1.3998920669185104,1.436785556591277,0.0,0.7908551243683462,74.10882549183142
2024-03-18,34.92854584702938,6.785537555806309,5.982495216602071,8.953981258892215,9.092864887406172,4.683496001569936,1.3998920669185104,1.4346759554530737,0.0,0.7904135799440711,74.05190236962174
2024-03-19,34.58199646764461,6.8598151400677025,5.951783348869156,8.951282931854978,9.200114507187362,4.683790364519452,1.4013638816660943,1.4346759554530737,0.0,0.7957121130353726,73.8605347102978
2024-03-20,34.49427630868861,6.907158514448315,5.941480645636069,8.936123239954865,9.272628955502134,4.677265319138497,1.396948437423343,1.4346759554530737,0.0,0.704557719668351,73.76511509591326
2024-03-21,34.43427836922926,6.997675121424717,5.90753078545847,8.931266251287838,9.372893538733258,4.674819653632929,1.3942991708776922,1.435166560368935,0.0,0.6989648236275328,73.84689427464063
2024-03-22,34.42598714615121,7.025001815238189,5.900466074670068,8.931266251287838,9.298827258009124,4.674329048717068,1.3937104449786586,1.435166560368935,0.0,0.6989157631359466,73.78367036255703
2024-03-25,34.36735985870578,7.304352254329588,5.878830397880587,8.931266251287838,9.297452484913899,4.694149487317863,1.3765883334151008,1.3857626453417065,0.0,0.7152529068341265,73.95101462002648
2024-03-26,34.365299318059165,7.335260364028848,5.897326203208556,8.931266251287838,9.02555148898592,4.695425060099103,1.3800225678261295,1.386057008291223,0.0,0.7171172055143993,73.73332546730119
2024-03-27,34.09203237992445,7.082304469410783,5.463925820536722,8.908109699259187,9.545646421037139,4.653625521267723,1.523769808173478,1.3615267624981602,0.0,0.6589805229848403,73.28992140509249
2024-03-28,34.11406054064662,7.143482902418683,5.449600156993573,8.908109699259187,9.64046425943188,4.653772702742481,1.5304910955207771,1.3615267624981602,0.0,0.663935632635039,73.4654437521464
2024-04-02,34.04522170436148,7.201030859049208,5.442633567188343,8.905705735171466,9.63755305892165,4.653772702742481,1.5270078006181622,1.3615267624981602,0.0,0.7289407839866555,73.5033929745376
