date,VISION CAPITAL INTERNATIONAL HOLDINGS,FUTU SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,UOB KAY HIAN (HONG KONG) LTD,VALUABLE CAPITAL LTD,INTERACTIVE BROKERS HONG KONG LTD,BOCI SECURITIES LTD,LEADING SECURITIES COMPANY LTD,TFI SECURITIES AND FUTURES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-01,0.0,43.96452328159645,0.0,0.0,23.095343680709533,0.0,0.0,0.0,0.0,32.94013303769401
2024-03-04,0.0,44.356839121190646,0.0,0.0,22.740963855421686,0.0,0.0,0.0,0.0,32.90219702338767
2024-03-05,0.0,44.53007352289839,0.0,0.0,22.57950217025423,0.0,0.0,0.0,0.0,32.89042430684737
2024-03-07,0.0,47.75024599695858,0.0,0.0,19.035691922354413,0.0,0.0,0.0,0.0,33.214062080687
2024-03-08,0.0,47.91592128801431,0.0,0.0,18.872987477638638,0.0,0.0,0.0,0.0,33.21109123434705
2024-03-12,0.0,21.31179296451263,56.52797148613048,0.0,7.821943282194328,0.0,0.0,0.0,0.0,14.338292267162561
2024-03-13,0.0,21.46205400379654,56.44830124355945,0.0,7.751907953356836,0.0,0.0,0.0,0.0,14.337736799287182
2024-03-15,0.0,21.474222411589263,56.43955533175814,0.0,7.750706898555215,0.0,0.0,0.0,0.0,14.335515358097378
2024-03-18,0.0,21.47453290952787,56.422978525467094,0.0,7.75641522598651,0.0,0.0,0.0,0.0,14.346073339018528
2024-03-19,0.0,19.465233126032114,51.14367028565405,0.0,7.0306735532834415,0.0,0.0,0.0,9.356663504444679,13.003759530585715
2024-03-20,0.0,18.233400802999636,48.12356903474135,0.0,6.706042406344361,5.820088263596244,0.0,0.0,8.836314165311743,12.28058532700667
2024-03-22,0.0,18.29846490500978,48.08527568714565,0.0,6.700706210006299,5.815457047180133,0.0,0.0,8.829282848711912,12.270813301946221
2024-03-25,0.0,18.263234708770067,48.106010348945205,0.0,6.703595595064349,5.81796470744328,0.0,0.0,8.833090088894787,12.276104550882314
2024-04-02,0.0,18.275358470525756,48.07156133828997,0.0,6.708045671800318,5.821826872012745,0.0,0.0,8.838953797132236,12.28425385023898
2024-04-03,0.0,15.567304701857559,40.94828804885634,0.0,5.7140433713138625,4.959145013995307,14.818061013882215,0.0,7.529192230484323,10.463965619610393
2024-04-09,0.0,15.736944782153865,40.77864796856004,0.0,5.7140433713138625,4.959145013995307,14.818061013882215,0.0,7.529192230484323,10.463965619610393
2024-04-10,0.0,15.766071934296233,40.67686207873123,0.0,5.723591050693855,4.967431322571509,14.842820730671196,0.0,7.541772868875672,10.481450014160295
2024-04-16,0.0,15.491653731993575,39.11172834463416,0.0,5.503363015004221,4.776298232715192,13.702584211529558,0.0,11.336219807749911,10.07815265637339
