date,CMB WING LUNG BANK LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,HANG SENG SECURITIES LTD,ASTRUM CAPITAL MANAGEMENT LTD
2024-03-07,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,50.6852528231076,49.3147471768924,0.0,0.0,0.0,0.0
2024-03-13,50.683600294886396,49.316399705113604,0.0,0.0,0.0,0.0
2024-04-02,50.705689094505345,49.294310905494655,0.0,0.0,0.0,0.0
2024-04-03,35.34558907262546,34.36175482471965,30.292656102654902,0.0,0.0,0.0
2024-04-16,35.344763101404,34.36328868800963,30.291948210586366,0.0,0.0,0.0
2024-04-19,35.34558907262546,34.36175482471965,30.292656102654902,0.0,0.0,0.0
2024-04-29,35.34724113088643,34.35868688306065,30.294071986052924,0.0,0.0,0.0
2024-05-03,27.672697253318763,26.898776530135038,23.716665171578683,0.0,15.7821280335291,5.92973301143842
2024-05-22,27.674722600016494,26.893426299176358,23.71840097886363,0.0,15.783283117206102,5.930167004737418
2024-05-23,27.68333363197778,26.870679077756414,23.72578099534479,0.0,15.788194109715064,5.9320121852059495
2024-05-24,27.765661342898646,26.653199142978213,23.796339305450196,0.0,15.835146759923552,5.949653448749389
2024-06-05,27.747833050177018,26.636085160695544,23.781059708915418,0.0,15.824979034104262,6.0100430461077625
2024-06-06,23.610765578722656,22.66477391322144,20.235418923901385,14.854879024603292,13.465551331045397,5.168611228505832
2024-06-07,23.58499355704756,22.640034476348664,20.21333121762297,14.838664376123278,13.450853184997836,5.272123187859689
2024-06-18,23.57727291808744,22.62638786155631,20.20671430538447,14.833806881885625,13.446449996127091,5.309368036959063
2024-06-19,23.580581144318753,22.61397219823759,20.172132473880783,14.835888275658663,13.445218630651565,5.352207277252647
2024-06-21,23.578743126250753,22.588825646239567,20.17056013163315,14.834731873679482,13.444170626167704,5.382968596029346
2024-06-24,23.55157392171046,22.553454326086232,20.147318092353345,14.817638177784906,13.428679239724362,5.501336242340697
2024-06-26,23.54314218932481,22.545379931912766,20.14010512242582,14.8123332941233,13.423871619222293,5.53516784299101
2024-06-28,23.539478101523116,22.54187112875774,20.13697065919612,14.810028007543401,13.421782422977543,5.549869680002078
2024-07-03,23.538012785724046,22.540467913284438,20.135717147069595,14.809106093814878,13.42094692655102,5.555749133556023
2024-07-05,23.537646485278483,22.532336096551877,20.135403793422036,14.808875633316365,13.420738068696966,5.5649999227342715
2024-07-10,23.535815154049263,22.530582982841604,20.133837171465892,14.807723438408779,13.419693876926997,5.572347376307465
2024-07-11,23.534350294232283,22.529180688276973,20.13102805930955,14.806801811564588,13.41885864049317,5.579780506123436
2024-07-17,23.53508270134699,22.529881813739046,20.128542475362583,14.807262610645816,13.419276245713482,5.579954153192086
2024-07-18,23.531421121564005,22.526376622752082,19.8438117286546,14.80495890200351,13.698787634735277,5.594643990290523
2024-07-19,23.52959075888974,22.52462443622906,19.842268202145274,14.803807316469076,13.6977220913735,5.601987194893352
2024-08-01,23.50947554657821,22.50536835959708,19.825305245087566,14.791151689338063,13.686012045462553,5.682687113936524
2024-08-20,23.50582192974608,22.50187079145742,19.82222418660959,14.788852990642226,13.683885096953007,5.697345004591678
2024-08-26,23.49851810188339,22.494878915515347,19.816064941731987,14.784257736034537,13.679633182617074,5.726647122217664
2024-09-02,23.494867889794733,22.491384606700027,19.812986754440075,14.781961179456971,13.677508216174719,5.741291353433476
2024-09-03,23.493043208979774,22.489637859359878,19.811448019385793,14.780813168704235,13.676445980500294,5.748611763070026
2024-09-10,23.47299040978192,22.470441530131072,19.794537694681686,14.768196809222134,13.664772268306105,5.829061287877084
2024-09-11,23.46752740436998,22.449696133145736,19.789930796938147,14.764759720990728,13.661591986477864,5.866493958077547
2024-09-26,23.463886813250625,22.446213441383357,19.78686072291328,14.762469217513582,13.659472620870858,5.881097184068305
2024-09-30,23.460247351508695,22.442731830015163,19.783791601281084,14.760179424592183,13.657353912729524,5.895695879873358
2024-10-02,23.45297181405566,22.435771846450997,19.77765621342257,14.755601969094457,13.653118467620502,5.924879689355813
2024-10-03,23.42718006096519,22.411098730717708,19.75590628638522,14.739374906455852,13.638103830532131,6.028336184943902
2024-10-07,23.427905812724433,22.41179300524362,19.753420400673416,14.739831518273434,13.638526326019083,6.028522937066016
2024-10-08,23.428268705466635,22.412140158637804,19.75217740005884,14.740059834791438,13.638737583579092,6.028616317466192
2024-10-09,23.410862525672815,22.395488917947766,19.71738066237371,14.729108614499339,13.628604597590027,6.11855468191634
2024-10-10,23.40361758188686,22.40403166731503,19.711278737920967,14.724550407222173,13.624386962546367,6.1321346431086035
2024-10-14,23.39818681610484,22.398832853578973,19.706704772476726,14.721133602780407,13.621225448978718,6.153916506080334
2024-10-16,23.390949714468803,22.39190485393678,19.700609452934632,14.716580329446952,13.617012379232913,6.182943269979919
2024-10-21,23.38552482552427,22.386711666034113,19.696040437151762,14.713167222458775,13.613854286858922,6.2047015619721595
2024-10-22,23.380102452304552,22.381520886407777,19.676015621216433,14.709755698256538,13.610697659011015,6.241907682803688
2024-10-23,23.3790182793936,22.380483019328256,19.679740373412926,14.709073583253518,13.610066509094917,6.241618235516784
2024-10-24,23.368182077953133,22.370109640111302,19.67061879146993,14.702255910995177,13.603758227859661,6.2850753516108
2024-10-29,23.359520346651884,22.360273426699237,19.663327611782407,14.696806321900121,13.598715811720318,6.321356481246027
2024-11-04,23.35050453531639,22.35164328345856,19.65573837838442,14.691133960864184,13.593467268327988,6.357512573648457
2024-11-06,23.343296895514367,22.344743963851705,19.64967120831279,14.686599223650562,13.589271349752332,6.386417358918245
2024-11-27,23.332493774929226,22.33440296683804,19.640577472818958,14.67980236444473,13.58298232649599,6.429741094473059
