date,DBS BANK (HONG KONG) LTD,CITIBANK N.A.,UOB KAY HIAN (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BLUESTONE SECURITIES (HK) CO LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS BANK CO LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,5.285903945807754,0.0,4.053383626508469,0.0,1.6141856173808447,0.0,0.8640333972006383,0.0,11.817506586897707
2024-03-04,0.0,5.278642065651121,0.0,4.068838397098227,0.0,1.6193992749291966,0.0,0.866454023919516,0.9943189752928492,12.82765273689091
2024-03-05,0.0,5.278642065651121,0.0,4.070141811485315,0.0,1.6214474975374777,0.0,0.8660816198089194,0.9943189752928492,12.830631969775682
2024-03-06,0.0,5.32109613425913,0.0,4.068093588877034,0.0,1.5771314083764858,0.0,0.8668264280301127,0.9384583587033634,12.771605918246125
2024-03-07,0.0,5.321840942480323,0.0,4.072003832038297,0.0,1.5823450659248377,0.0,0.8673850341960075,0.8853907729433518,12.728965647582818
2024-03-08,0.0,5.311599829438917,0.0,4.075541671088965,0.0,1.5827174700354343,0.0,0.8692470547489903,0.8881838037728261,12.727289829085134
2024-03-11,0.0,5.311599829438917,0.0,4.074796862867772,0.0,1.5827174700354343,0.0,0.8692470547489903,0.8729152352383666,12.711276452329482
2024-03-12,0.0,5.311599829438917,0.0,4.0865275923515645,0.0,1.5963102200722092,0.0,0.8694332568042886,0.8729152352383666,12.736786133905346
2024-03-13,0.0,5.311599829438917,0.0,4.085410380019774,0.0,1.6018962817311577,1.6061789290030184,0.8699918629701835,0.8228268823631275,14.297904165526178
2024-03-14,0.0,5.3104826171071275,0.0,4.094720482784689,0.0,1.6041307063947372,1.6184682646527053,0.8701780650254818,0.8161236083723893,14.314103744337132
2024-03-15,0.0,5.3102964150518295,0.0,4.0952418485395246,0.0,1.6041307063947372,1.6184682646527053,0.8711090753019731,0.809420334381651,14.308666644322422
2024-03-18,0.0,5.3102964150518295,0.0,4.095614252650121,0.0,1.6041307063947372,1.6184682646527053,0.8884258664447139,0.8012274439485262,14.318162949142632
2024-03-19,0.0,5.3102964150518295,0.0,4.096917667037209,0.0,1.6041307063947372,1.6184682646527053,0.8874948561682224,0.8012274439485262,14.318535353253228
2024-03-20,0.0,5.3102964150518295,0.0,4.096545262926613,0.0,1.6041307063947372,1.6184682646527053,0.8874948561682224,0.8012274439485262,14.318162949142632
2024-03-21,0.0,5.309179202720039,0.0,4.099896899921982,0.0,1.5957516139063144,1.6184682646527053,0.8884258664447139,0.8012274439485262,14.312949291594283
2024-03-22,0.0,5.30806199038825,0.0,4.100455506087877,0.0,1.5977998365145956,1.6184682646527053,0.8884258664447139,0.8012274439485262,14.314438908036667
2024-03-25,0.0,5.29931049378923,0.0,4.096731464981911,0.0,1.5977998365145956,1.6184682646527053,0.8889844726106086,0.802344656280316,14.303639188829367
2024-03-26,0.0,5.29931049378923,0.0,4.098034879368998,0.0,1.5977998365145956,1.6218199016480743,0.8887982705553105,0.802344656280316,14.308108038156526
2024-03-27,0.0,5.29931049378923,0.0,4.093007423875945,0.0,1.5977998365145956,1.6218199016480743,0.8887982705553105,0.802344656280316,14.30308058266347
