date,BANK OF CHINA (HONG KONG) LTD,ASTRUM CAPITAL MANAGEMENT LTD,BLACK MARBLE SECURITIES LTD,GRANSING SECURITIES CO LTD,KGI ASIA LTD,LUK FOOK SECURITIES (HK) LTD,SORRENTO SECURITIES LTD,SUNCORP SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-15,2.126732496866689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9749040964869753
2024-03-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9963261265966432
2024-04-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9951645765195856
2024-04-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9999250276550675
2024-05-08,2.124828316412496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,2.1319613763939023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.043602166823112
2024-05-27,2.1748054366132377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0364614901198896
2024-05-30,2.1367218275293838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0174196855779627
2024-06-03,2.1295811508261613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9936935971187217
2024-06-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9928605181700125
2024-06-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0047616460087165
2024-06-20,2.129105105712613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004704520595091
2024-07-04,2.128629060599065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,2.1276769703719682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.004418893526962
2024-08-20,2.1273913433038394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,2.1250111177360984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0020386679592215
2024-09-10,2.1273913433038394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-17,2.1607145012522118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0019434589365117
2024-09-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0004201145731577
2024-09-25,2.160324144259102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,2.5459704040925457,0.0,0.0,0.0,2.5928916982946344,0.0,0.0,0.0,2.312303220942705
2024-10-07,4.359675724328957,0.0,0.0,12.38741183737615,0.1815789170788079,5.137613125009623,0.0,0.21700482077497874,3.8356468491716456
2024-10-08,4.83736180707912,0.0,0.0,0.0,0.2859936035696351,3.0315466825988966,0.0,0.0,4.960881715290879
2024-10-09,5.261685320265248,0.0,0.0,0.0,0.26822089097545176,0.0,0.0,0.0,4.436586693762471
2024-10-10,4.297515662030801,0.0,0.0,0.0,0.2793288363468164,0.0,0.0,0.0,5.0912889939507
2024-10-14,4.216445433532432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3712092173090875
2024-10-15,4.169792062972702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.140163953584704
2024-10-16,4.087593267224604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.157936666178887
2024-10-17,4.0387183075905995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.46451595842855
