date,EVERBRIGHT SECURITIES INVESTMENT,CHINA SUNRISE SECURITIES (INTL) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BOCOM INTERNATIONAL SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,THE HONGKONG AND SHANGHAI BANKING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,HEAD & SHOULDERS SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8891921773180393,0.0,0.0,1.8891921773180393
2024-03-04,0.0,0.0,0.0,0.0,2.4898049192213128,0.0,0.0,2.1703762902061854,0.0,0.0,4.660181209427498
2024-03-05,0.0,11.170440886497714,0.0,0.0,2.204057540204379,0.0,0.0,1.8891921773180393,0.0,0.0,15.263690604020134
2024-03-06,0.0,10.15174604784267,0.0,0.0,2.204057540204379,0.0,0.0,2.167986007948249,0.0,0.0,14.523789595995297
2024-03-07,0.0,9.881209555921693,0.0,0.0,2.204057540204379,0.0,0.0,1.8913651611888904,0.0,0.0,13.976632257314964
2024-03-08,0.0,9.881209555921693,0.0,0.0,2.204057540204379,0.19853619244903012,0.0,1.8913651611888904,0.0,0.0,14.175168449763992
2024-03-11,0.0,9.881209555921693,0.0,0.0,2.204057540204379,0.19853619244903012,0.0,2.1705935885932703,0.0,0.0,14.454396877168374
2024-03-12,0.0,9.881209555921693,0.0,0.0,2.204057540204379,1.6072375243492893,0.0,2.1705935885932703,0.0,0.0,15.863098209068632
2024-03-13,0.0,9.881209555921693,0.0,0.0,2.204057540204379,2.330090604713749,0.0,1.8920170563501457,0.0,0.0,16.30737475718997
2024-03-14,0.0,9.881209555921693,6.5257713051339,0.0,2.204057540204379,2.330090604713749,0.0,1.8920170563501457,0.0,0.0,22.833146062323866
2024-03-18,0.0,9.881209555921693,6.5257713051339,0.0,2.204057540204379,2.330090604713749,0.0,2.1755914514962282,0.0,0.0,23.11672045746995
2024-03-20,0.0,9.881209555921693,6.5257713051339,0.0,2.204057540204379,2.330090604713749,0.0,1.8913651611888904,0.0,0.0,22.83249416716261
2024-03-21,0.0,9.881209555921693,6.5257713051339,0.0,2.204057540204379,2.330090604713749,0.0,2.1825449998829525,0.0,0.0,23.123674005856675
2024-03-25,0.0,9.717366572059511,6.5257713051339,0.0,2.204057540204379,2.330090604713749,0.0,1.8889748789309542,0.0,0.0,22.666260901042495
2024-03-27,0.0,9.541354878520563,6.5257713051339,0.0,2.204057540204379,2.330090604713749,0.0,1.8889748789309542,0.0,0.0,22.490249207503545
2024-03-28,0.0,9.541354878520563,6.5257713051339,0.0,2.204057540204379,0.38691422854779856,0.0,1.8889748789309542,0.0,0.0,20.547072831337594
