date,UOB KAY HIAN (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,EMPEROR SECURITIES LTD,DBS BANK LTD,CHANGJIANG SECURITIES BROKERAGE (HK) LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,3.2974610033322853,0.0,0.0,0.0,0.0,0.0,4.007624602050694,1.130110758024928,8.435196363407908
2024-03-04,0.0,0.0,3.2974610033322853,0.0,0.0,0.0,0.0,0.0,4.008212359563644,1.130110758024928,8.435784120920859
2024-03-05,18.16196576346577,0.0,3.302750820948837,0.0,0.0,0.0,0.0,0.0,4.025257327439199,1.130110758024928,26.620084669878736
2024-03-06,18.164022914761098,0.0,3.3012814271664617,0.0,0.0,0.0,0.0,0.0,4.0299593875428,1.130110758024928,26.625374487495286
2024-03-07,18.164022914761098,0.0,3.3012814271664617,0.0,0.0,0.0,0.0,0.0,4.0311349025687,1.130110758024928,26.62655000252119
2024-03-11,18.164022914761098,0.0,3.305983487270063,0.0,0.0,0.0,0.0,0.0,4.0431839315841795,1.130110758024928,26.643301091640264
2024-03-12,18.164022914761098,0.0,3.304514093487687,0.0,0.0,0.0,0.0,0.0,4.0520002942784314,1.130110758024928,26.65064806055214
2024-03-13,18.164022914761098,0.0,3.304514093487687,0.0,0.0,0.0,0.0,1.4761529937743374,4.047592112931305,1.130110758024928,28.12239287297935
2024-03-14,18.164022914761098,0.0,3.307452881052438,0.0,0.0,0.0,0.0,1.4761529937743374,4.058171748164408,1.130110758024928,28.135911295777206
2024-03-15,18.164022914761098,0.0,3.307452881052438,0.0,0.0,0.0,0.0,1.4761529937743374,4.067281989615136,1.130110758024928,28.145021537227933
2024-03-19,18.187533215279103,0.0,3.307452881052438,0.0,0.0,0.0,0.0,1.4761529937743374,4.0716901709622615,1.130110758024928,28.17294001909307
2024-03-20,18.187533215279103,0.0,3.307452881052438,0.0,0.0,0.0,0.0,1.4761529937743374,4.073453443501113,1.130110758024928,28.17470329163192
2024-03-21,18.187533215279103,0.0,3.307452881052438,0.0,0.0,0.0,1.2317463749217834,1.4761529937743374,4.075510594796438,1.130110758024928,29.408506817849027
2024-03-22,18.187533215279103,0.0,3.307452881052438,0.0,0.0,0.0,1.2317463749217834,1.4761529937743374,4.082269806195365,1.130110758024928,29.415266029247956
2024-03-25,18.187533215279103,0.0,3.307452881052438,0.0,0.0,0.0,1.2317463749217834,1.4761529937743374,4.096375986506169,1.125996455434277,29.425257906968106
2024-03-26,18.187533215279103,0.0,3.3118610623995646,0.0,0.0,0.0,1.2291014661135076,1.4761529937743374,4.0999025315838695,1.125996455434277,29.43054772458466
2024-03-27,18.193410790408603,0.0,3.3118610623995646,0.0,0.0,0.0,1.2291014661135076,1.4811489326344136,4.0999025315838695,1.125996455434277,29.44142123857424
2024-03-28,18.193410790408603,0.0,3.322146818876192,0.0,0.0,0.0,1.2379178288077601,1.4855571139815398,4.0999025315838695,1.125996455434277,29.46493153909224
2024-04-02,18.193410790408603,0.0,3.322146818876192,0.0,0.0,0.0,1.2562585081206135,1.4855571139815398,4.0999025315838695,1.125996455434277,29.483272218405098
2024-04-03,18.193410790408603,0.0,3.303044699705312,0.0,0.0,0.0,1.265074870814866,1.4855571139815398,4.108131136765173,1.125996455434277,29.481215067109773
2024-04-05,18.21398230336186,0.0,3.3018691846794117,0.0,0.0,0.0,1.265074870814866,1.4870265077639153,4.112539318112299,1.1245270616519014,29.50501924638425
2024-04-08,18.21398230336186,0.0,3.3106855473736636,0.0,0.0,0.0,1.2738912335091186,1.4870265077639153,4.113714833138199,1.1245270616519014,29.52382748679866
2024-04-09,18.21398230336186,0.0,3.33066930281397,0.0,0.0,0.0,1.2738912335091186,1.4870265077639153,4.1134209543817235,1.1245270616519014,29.543517363482486
2024-04-10,18.21809660595251,0.0,3.338604029238797,0.0,0.0,0.0,1.2738912335091186,1.4870265077639153,4.1134209543817235,1.1245270616519014,29.555566392497965
2024-04-11,18.203402668128756,0.0,3.49318425514469,0.0,0.0,0.0,1.2812382024209956,1.4870265077639153,4.115478105677049,1.0951391860043933,29.675468925139796
2024-04-12,18.203402668128756,0.0,3.5081720717249194,0.0,0.0,0.0,1.2812382024209956,1.4870265077639153,4.115478105677049,1.0951391860043933,29.690456741720027
2024-04-15,18.203402668128756,3.54594107562834,3.606621455144072,2.0903595948072584,0.0,0.0,1.2812382024209956,1.4870265077639153,4.110482166816973,1.0951391860043933,35.420210856714704
2024-04-17,18.203402668128756,3.54594107562834,3.606621455144072,2.0903595948072584,0.0,0.0,1.2815320811774706,1.4870265077639153,4.110482166816973,1.0951391860043933,35.420504735471184
2024-04-18,18.21221903082301,3.5418267730376893,3.6107357577347226,2.0280572984345415,0.0,0.0,1.2850586262551715,1.4870265077639153,4.1184168932418,1.1024861549162703,35.38582704220712
2024-04-19,18.212512909579484,3.5418267730376893,3.6107357577347226,2.0280572984345415,0.0,0.0,1.2850586262551715,1.4870265077639153,4.120180165780651,1.1024861549162703,35.387884193502444
2024-04-23,18.233378301289214,3.5418267730376893,3.5651845504810855,2.0280572984345415,0.0,0.0,1.2850586262551715,1.4870265077639153,4.120180165780651,1.0998412461079945,35.36055346915026
2024-04-24,18.23484769507159,3.5418267730376893,3.5647437323463724,2.0280572984345415,0.0,0.0,1.2850586262551715,1.4870265077639153,4.124294468371302,1.0998412461079945,35.36569634738858
2024-04-25,18.236610967610442,3.5418267730376893,3.567388641154648,2.002195967864734,0.0,0.0,1.2850586262551715,1.4870265077639153,4.121355680806551,1.0998412461079945,35.34130441060114
2024-04-26,18.252774299216572,3.5418267730376893,3.567388641154648,1.9710448196783754,0.0,0.0,1.2894668076022977,1.4870265077639153,4.151625192723484,1.0998412461079945,35.360994287284974
2024-04-29,18.2583579955896,3.5418267730376893,3.5747356100665253,1.904922099471482,0.0,0.0,1.2894668076022977,1.4870265077639153,4.137225133656205,1.0998412461079945,35.2934021732957
2024-04-30,18.264235570719098,3.5418267730376893,3.604711243226984,1.904922099471482,0.0,0.0,1.2894668076022977,1.4576386321164072,4.130465922257279,1.0998412461079945,35.29310829453923
2024-05-02,18.272464175900403,3.5418267730376893,3.607650030791734,1.904922099471482,0.0,0.0,1.2894668076022977,1.4502916632045302,4.126057740910152,1.0998412461079945,35.29252053702628
2024-05-03,18.27540296346515,3.5418267730376893,3.607650030791734,1.904922099471482,0.0,0.0,1.2894668076022977,1.4502916632045302,4.119886287024175,1.0998412461079945,35.28928787070505
