date,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,PHILLIP SECURITIES (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHIEF SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,1.349413,3.1940000000000004,0.0,0.0,0.0,0.0,0.0,0.0,4.543413
2024-03-04,1.448413,3.1940000000000004,0.0,0.0,0.0,0.0,0.0,0.0,4.642413
2024-03-05,1.448413,3.1940000000000004,0.0,0.0,1.2994999999999999,0.0,0.0,0.0,5.9419130000000004
2024-03-06,1.448413,3.1940000000000004,0.0,0.0,1.2975,0.0,0.0,0.624,6.563913
2024-03-08,1.448413,3.1940000000000004,0.0,0.0,1.2935,0.0,0.0,0.624,6.559913000000001
2024-03-11,1.502913,3.1940000000000004,0.0,0.0,1.2885,0.0,0.0,0.624,6.609413
2024-03-12,1.527913,3.1940000000000004,0.0,0.0,1.2885,0.0,0.0,0.624,6.634413
2024-03-20,1.540913,3.1940000000000004,0.0,0.0,1.2874999999999999,0.0,0.0,0.624,6.646413
2024-03-21,1.5739130000000001,3.189,0.0,0.0,1.2874999999999999,0.0,0.0,0.624,6.6744129999999995
2024-03-22,1.6624130000000001,3.189,0.0,0.0,1.2874999999999999,0.0,0.0,0.624,6.762912999999999
2024-03-25,1.705413,3.189,0.0,0.0,1.2865,0.0,0.0,0.624,6.804913
2024-03-26,1.708413,3.189,0.0,1.3285,1.2850000000000001,0.0,0.0,0.624,8.134913000000001
2024-03-27,1.710413,3.1870000000000003,0.0,1.3285,1.2850000000000001,0.0,0.0,0.624,8.134913000000001
2024-03-28,1.741413,3.1870000000000003,0.0,1.3285,1.2850000000000001,0.0,0.0,0.624,8.165913
2024-04-03,1.7654130000000001,3.1870000000000003,0.0,1.3285,1.2815,0.0,0.0,0.624,8.186413
2024-04-05,1.7704129999999998,3.1870000000000003,0.0,1.3285,1.2815,0.0,0.0,0.624,8.191413
2024-04-08,1.7704129999999998,3.1870000000000003,1.2415,1.3285,1.2815,0.0,0.0,0.624,9.432913
