date,CMB WING LUNG BANK LTD,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,DAH SING SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD
2024-03-07,0.0,0.0,34.62226613613908,40.58402542259727,0.0,24.793708441263654,0.0,0.0
2024-03-08,0.0,0.0,34.62804564545315,40.574107089200936,0.0,24.79784726534591,0.0,0.0
2024-03-12,0.0,0.0,28.06444507717185,32.91286806380041,19.071359116378268,19.951327742649468,0.0,0.0
2024-03-19,0.0,0.0,27.795559811289287,33.12927329162475,19.09700741824598,19.978159478839977,0.0,0.0
2024-03-20,0.0,0.0,27.76597289838778,33.158860204526256,19.09700741824598,19.978159478839977,0.0,0.0
2024-03-28,0.0,0.0,27.77568605514259,33.15440140276896,19.094439484073625,19.975473058014824,0.0,0.0
2024-04-03,0.0,0.0,27.98188005288597,32.65817023213473,19.23618787524113,20.123761839738172,0.0,0.0
2024-04-05,0.0,0.0,27.91414699698723,32.65817023213473,19.303920931139867,20.123761839738172,0.0,0.0
2024-04-08,0.0,0.0,27.872613257008055,32.609577812285266,19.423989438543902,20.093819492162773,0.0,0.0
2024-04-12,0.0,0.0,27.87110526799868,32.613223829078144,19.422938544523976,20.092732358399203,0.0,0.0
2024-04-16,0.0,75.43407599552437,6.845683425512745,8.013761797060004,4.770650004385278,4.935828777517614,0.0,0.0
2024-04-18,0.0,75.36397165229721,6.839321418234827,8.04083280006585,4.8246324437281105,4.931241685674002,0.0,0.0
2024-04-22,0.0,75.35446753208825,6.835140240510916,8.055748407368519,4.824024011267561,4.9306198087647495,0.0,0.0
2024-04-23,0.0,75.34996641702882,6.834731960103961,8.06057677757454,4.823735859976266,4.93098898531641,0.0,0.0
2024-04-24,0.0,75.51234605673785,6.846135222644059,8.094575503699428,4.605327920099822,4.9416152968188385,0.0,0.0
2024-04-26,0.0,75.51083933153576,6.845998619227325,8.094413989701405,4.607231364557242,4.9415166949782705,0.0,0.0
2024-04-29,0.0,75.48071744943508,6.843267695228928,8.091185062754885,4.645284308419752,4.939545484161355,0.0,0.0
2024-04-30,0.0,26.570943771575685,2.408987186238371,2.848282721900415,1.639459364577848,1.7385992627698788,0.0,0.0
2024-05-03,0.0,75.45814180396077,6.827927973435352,8.088765057598387,4.687761705114333,4.937403459891157,0.0,0.0
2024-05-06,0.0,75.43205724517563,6.834619878687658,8.08881881976357,4.707067779915004,4.937436276458147,0.0,0.0
2024-05-09,0.0,75.52291287358524,6.721739547066151,8.09856155705327,4.712737300497227,4.944048721798107,0.0,0.0
2024-05-14,0.0,75.53799296608975,6.703114142632365,8.100178643216749,4.713678319742072,4.945035928319077,0.0,0.0
