date,CELESTIAL SECURITIES LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,KGI ASIA LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,0.0,44.649485860509294,0.0,0.0,19.88580845226816,9.527060922721654,25.937644764500895,0.0,0.0
2024-03-06,0.0,0.0,40.61327665571433,0.0,0.0,18.088177828466872,8.665836873892419,23.55324032909342,9.079468312832956,0.0
2024-03-08,0.0,0.0,27.882659432780017,31.46859943630707,0.0,12.418268749840433,6.181133485978591,15.815915126063171,6.233423769030724,0.0
2024-03-11,59.0472530886219,0.0,11.423619083634426,12.892790729754392,0.0,5.087806355716551,2.5156801932848456,6.4798334712229275,2.5530170777649572,0.0
2024-03-12,59.12648696343547,0.0,11.438948121939257,12.910091208832487,0.0,5.094633542262543,2.5190559149159015,6.3543413478863355,2.5564429007280154,0.0
2024-03-13,59.17227453756987,0.0,11.435910985305062,12.905266058825124,0.0,5.093280874342027,2.5183870844499165,6.319116315804169,2.5557641437038323,0.0
2024-03-14,59.19839019312988,0.0,11.452508189771498,12.898777090154729,0.0,5.090719893431406,2.5282944794863957,6.2768310883192475,2.5544790657068486,0.0
2024-03-15,59.30714493022169,0.0,11.451932368784794,12.898128552172636,0.0,5.09046393698034,2.522580800563736,6.175957438169155,2.553791973107647,0.0
2024-03-18,30.93552983393196,47.97248928566036,5.973506157943266,6.727864595354996,0.0,2.6552652159582113,1.3158174062528034,3.087429865285525,1.3320976396128845,0.0
2024-03-21,30.93441867813207,47.975285319813956,5.970940112647752,6.728256722998767,0.0,2.6554199757453563,1.3158940975077824,3.087609813407432,1.332175279746881,0.0
2024-03-22,30.737148425852894,47.9766834591176,5.971114123203303,6.728452803962262,0.0,2.6554973624041542,1.5111899269172135,3.087699795334703,1.332214103207868,0.0
2024-03-26,30.937123392487347,47.979479982214215,5.971462174743219,6.725930539553075,0.0,2.655652149254172,1.3101802299049918,3.087879774924172,1.3322917569188093,0.0
2024-03-27,30.944338276923823,47.99066933550353,5.969939646441191,6.727499102051759,0.0,2.63586549497914,1.3104857786410458,3.08859990314835,1.332602462311159,0.0
2024-04-03,30.944338276923823,47.99066933550353,5.969939646441191,6.72539680003202,0.0,2.63586549497914,1.3104857786410458,3.08859990314835,1.334704764330899,0.0
2024-04-05,30.94433842726897,47.990669568669425,5.969939675446544,6.725396832707813,0.0,2.635865507785669,1.310485785008129,3.0885994322977997,1.3347047708156519,0.0
