date,MORGAN STANLEY HONG KONG SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,"TAISHIN INTERNATIONAL BANK CO., LTD",CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,KGI ASIA LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,81.17519306594927,4.213256847785427,0.0,1.8052664962463796,5.8246993785332135,2.415948742938925,0.19372745783593845,2.177715227880132,1.2229343242919437,0.9712584585387694
2024-03-04,81.17171235242344,4.211211362689755,0.0,1.805402772382469,5.833795951330982,2.4111736690232295,0.1936818184796317,2.1795265911973614,1.222348676348935,0.9711468061241979
2024-03-05,81.16030401671483,4.209256843741986,0.0,1.813324751350652,5.850051624847107,2.408104263732035,0.1936408203238901,2.1787254203327167,1.2155937125798977,0.9709985463768837
2024-03-06,81.1264963241573,4.214640562029695,0.0,1.7994336924884808,5.846563956305291,2.4285603382370575,0.1964635153450644,2.178811965169391,1.1999340838007693,1.0090955624669509
2024-03-07,81.13906768458311,4.213529667130193,0.0,1.8035527353508316,5.846492155470762,2.4307318845895236,0.19342871269526518,2.1784939494779403,1.1843586474878016,1.0103445632145773
2024-03-08,81.14612635892739,4.213021143086237,0.0,1.8051768098628376,5.83864725959923,2.4364070550677948,0.1934455027636521,2.1782615256472795,1.1783727979960428,1.010541547049537
2024-03-11,81.14278309702686,4.213563251900189,0.0,1.813500263871501,5.8726701000291115,2.440551536557194,0.20002069896848362,2.1801999897136946,1.1262117329504617,1.0104993289825002
2024-03-12,81.16237533867773,4.212332933805322,0.0,1.840472433076314,5.822525581598311,2.4431350508708105,0.2004848121400875,2.1797888619462373,1.1283594413246592,1.0105255465605196
2024-03-13,81.14334876754383,4.216452766768301,0.0,1.8475783894193556,5.864963561284772,2.413734432402226,0.1995896558495886,2.1762515757352627,1.1029080073461501,1.0351728436505168
2024-03-14,81.14056136344057,4.218048846352237,0.0,1.8481741343218936,5.867879942359709,2.416231958516793,0.19952586039384893,2.1729963817683493,1.1022121045207511,1.0343694083258574
2024-03-15,81.13433992321694,4.215212266339063,0.0,1.8880869169794905,5.8342992306324915,2.42719202035664,0.20340196642082653,2.1629956563726607,1.0993389976538175,1.035133022028059
2024-03-18,81.10856943773446,4.222518426863059,0.0,1.8726939132383145,5.831907109822822,2.46293617475267,0.1931118380482519,2.1593905429826252,1.1233375380124189,1.025535018545381
2024-03-19,81.06463895149156,4.226519504594309,0.0,1.916120533182147,5.809732104432626,2.475469243942364,0.23422979233378677,2.140083100385662,1.1037963759207001,1.029410393716846
2024-03-20,81.00397638282492,4.221705189249815,0.0,2.148305831628912,5.663949094902877,2.472556432373068,0.2396433721565324,2.1218369659904455,1.094958823968894,1.0330679069045374
2024-03-21,81.02830149367989,4.220922337927596,0.0,2.186655576231553,5.640888294503343,2.5057610581983276,0.18555086191131426,2.1164448731118437,1.0810109625706055,1.034464541865529
2024-03-22,81.05002064380929,4.211063806012595,0.0,2.2822083919554497,5.591745686660129,2.462934805275121,0.17277222153135388,2.099340531426564,1.0894311836489237,1.0404827296805708
2024-03-25,81.02789286346072,4.192365463314139,0.0,2.36220186131091,5.578402038360966,2.4248370053242434,0.18022604305740272,2.0754418439364035,1.1206588311382033,1.037974050097022
2024-03-26,80.9603504037415,4.17496009692075,0.0,2.472069539067871,5.526006359072051,2.5687153065563155,0.1739568056869662,2.0005164417136028,1.1023940566674904,1.021030990573456
2024-03-27,80.9298228238008,4.1681652331902175,0.0,2.534508253152037,5.478602617707747,2.5903716497501077,0.1688866347153612,1.9807457092431209,1.1126714949587038,1.0362255834818983
