date,FOSUN INTERNATIONAL SECURITIES LTD,CMB INTERNATIONAL SECURITIES LTD,CCB INTERNATIONAL SECURITIES LTD,DBS BANK (HONG KONG) LTD,VALUABLE CAPITAL LTD,THE CORE SECURITIES COMPANY LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98887175955586,0.0,0.0,0.98887175955586
2024-03-04,0.0,0.0,0.0,0.0,1.558805902911761,0.0,0.0,0.98887175955586,0.0,0.5537962191972026,3.1014738816648233
2024-03-05,0.0,0.0,0.0,0.0,1.5728375960755567,0.0,0.0,0.9770555968916107,0.0,0.5537962191972026,3.10368941216437
2024-03-06,0.0,0.0,0.0,0.0,1.5964699214040554,0.0,1.5332283418046604,0.9600698630617523,0.0,0.5537962191972026,4.64356434546767
2024-03-07,0.0,0.0,0.0,0.0,1.5964699214040554,0.0,1.5332283418046604,0.9549002918961433,0.0,0.5537962191972026,4.6383947743020615
2024-03-08,0.0,0.0,0.0,0.0,1.5964699214040554,0.0,1.5332283418046604,0.9556388020626589,0.0,0.5537962191972026,4.639133284468578
2024-03-11,0.0,0.0,0.0,0.0,1.5964699214040554,0.0,1.5332283418046604,0.9578543325622055,0.0,0.5537962191972026,4.641348814968124
2024-03-12,0.0,0.0,0.0,0.0,1.6016394925696646,0.0,1.5332283418046604,0.9541617817296278,0.0,0.5537962191972026,4.642825835301155
2024-03-13,0.0,0.0,0.0,0.0,1.6016394925696646,0.0,1.5332283418046604,0.9536300544097366,0.0,0.5537962191972026,4.642294107981264
2024-03-15,0.0,25.84303409516811,0.0,0.0,1.6016394925696646,0.0,1.5332283418046604,0.9536300544097366,0.0,0.5537962191972026,30.485328203149376
2024-03-18,0.0,25.84303409516811,0.0,0.0,1.6068090637352737,0.0,1.5310128113051138,0.9536300544097366,0.0,0.5537962191972026,30.48828224381544
2024-03-20,0.0,25.84303409516811,0.0,0.0,1.6068090637352737,0.0,1.5310128113051138,0.9536300544097366,0.0,0.5530990656000119,30.48758509021825
2024-03-21,0.0,25.84303409516811,0.0,0.0,1.6068090637352737,3.0800611486417875,1.5310128113051138,0.9536300544097366,0.0,0.5530990656000119,33.567646238860036
2024-03-25,0.0,25.84303409516811,0.0,0.0,1.6068090637352737,3.0800611486417875,1.5310128113051138,0.9533863460547863,0.0,0.5530990656000119,33.567402530505085
2024-03-27,0.0,25.84303409516811,0.0,0.0,1.6193637365660385,3.0800611486417875,1.5118115469757085,0.9474782647226617,0.0,0.5649152282642611,33.56666402033857
2024-03-28,0.0,25.84303409516811,0.0,0.0,1.6193637365660385,3.0800611486417875,1.5118115469757085,0.9533863460547863,0.0,0.5649152282642611,33.572572101670694
2024-04-02,0.0,25.85041919683327,0.0,0.0,1.637826490728928,3.0800611486417875,1.5140270774752553,0.9681565493850981,0.3366184727240501,0.5649152282642611,33.952024164052645
2024-04-03,0.0,25.85041919683327,0.0,0.0,1.6548122245587864,3.0800611486417875,1.5140270774752553,0.9674180392185825,0.3366184727240501,0.5649152282642611,33.968271387715994
2024-04-05,0.0,25.85041919683327,0.0,0.0,1.6548122245587864,3.0800611486417875,1.5118115469757085,0.9688950595516135,0.3366184727240501,0.5649152282642611,33.96753287754948
2024-04-08,0.0,25.85041919683327,0.0,0.0,1.6548122245587864,3.0800611486417875,1.5081189961431307,0.978495691716316,0.3366184727240501,0.5649152282642611,33.9734409588816
2024-04-09,0.0,25.85041919683327,0.0,0.0,1.65924328555788,3.0800611486417875,1.5081189961431307,0.978495691716316,0.3366184727240501,0.5649152282642611,33.97787201988069
2024-04-10,0.0,25.85041919683327,0.0,0.0,1.65924328555788,3.0800611486417875,1.497041343645397,0.9917888747135966,0.3366184727240501,0.5649152282642611,33.98008755038024
2024-04-12,0.0,25.85041919683327,0.0,0.0,1.65924328555788,3.0800611486417875,1.4822711403150854,0.9615099578864578,0.3366184727240501,0.5649152282642611,33.93503843022279
2024-04-15,0.0,25.85041919683327,0.0,0.0,1.65924328555788,3.0800611486417875,1.4800556098155386,0.9607714477199423,0.3366184727240501,0.5649152282642611,33.93208438955673
2024-04-17,0.0,25.85041919683327,0.0,0.0,1.65924328555788,3.0800611486417875,1.4800556098155386,0.9408316732240215,0.3366184727240501,0.5649152282642611,33.91214461506081
2024-04-19,0.0,25.85041919683327,0.0,0.0,1.6621973262239422,3.0800611486417875,1.4800556098155386,0.9408316732240215,0.3366184727240501,0.5693462892633546,33.91952971672596
2024-04-22,0.0,25.85041919683327,0.0,0.0,1.6621973262239422,3.0800611486417875,1.463808386152196,0.9382099621328912,0.3366184727240501,0.5878090434262441,33.91912353613438
2024-04-25,0.0,25.85041919683327,0.0,0.0,1.6621973262239422,3.0800611486417875,1.4401760608236973,0.9611037772948743,0.3366184727240501,0.5878090434262441,33.918385025967865
2024-04-26,0.0,25.85041919683327,0.0,0.0,1.6621973262239422,3.0800611486417875,1.4394375506571817,0.964796328127452,0.3366184727240501,0.5878090434262441,33.92133906663393
2024-04-30,0.0,25.85041919683327,0.0,0.0,1.6621973262239422,3.0800611486417875,1.432052448992026,0.9684888789600299,0.3366184727240501,0.5878090434262441,33.917646515801344
2024-05-02,0.0,25.85041919683327,0.0,0.0,1.6621973262239422,3.0800611486417875,1.42466734732687,0.9677503687935143,0.3366184727240501,0.5878090434262441,33.90952290396967
2024-05-03,0.0,25.85041919683327,0.0,0.0,1.67253646855516,3.0800611486417875,1.3663250441721393,0.9684888789600299,0.3366184727240501,0.5878090434262441,33.862258253312675
2024-05-06,0.0,25.85041919683327,0.0,0.0,1.67253646855516,3.0800611486417875,1.3559859018409213,0.9684888789600299,0.3366184727240501,0.5878090434262441,33.85191911098146
2024-05-08,0.0,25.85041919683327,0.0,0.0,1.6784445498872849,3.0800611486417875,1.3515548408418276,0.9684888789600299,0.3366184727240501,0.5878090434262441,33.8533961313145
2024-05-09,0.0,25.85041919683327,0.0,0.0,1.6784445498872849,3.0800611486417875,1.3515548408418276,0.9906441839554975,0.3366184727240501,0.5878090434262441,33.87555143630996
2024-05-10,0.0,25.845988135834176,0.0,0.0,1.6784445498872849,3.0800611486417875,1.3515548408418276,0.991382694122013,0.3366184727240501,0.5878090434262441,33.87185888547738
