date,SUNHIGH FINANCIAL HOLDINGS LTD,GRANSING SECURITIES CO LTD,SORRENTO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,YUEN META (INTERNATIONAL) SECURITIES LTD,VALUABLE CAPITAL LTD,PHILLIP SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,LUK FOOK SECURITIES (HK) LTD
2024-03-01,0.0,66.24334727731781,0.0,28.818307287578122,0.0,4.938345435104072,0.0,0.0,0.0,0.0
2024-03-12,24.22776220434339,32.761593175957714,8.740898474174607,28.723060084983093,0.0,2.6158218804297713,0.0,2.9308641801114246,0.0,0.0
2024-03-14,24.22776220434339,27.44217908255706,7.278059598489427,35.50531305406893,0.0,2.6158218804297713,0.0,2.9308641801114246,0.0,0.0
2024-03-18,24.239366734955645,27.45532324356312,7.281545618564089,35.46909964770408,0.0,2.6170747978404516,0.0,2.9375899573726145,0.0,0.0
2024-03-21,24.23807679372687,27.453862159460208,7.281158118098202,35.47253377491559,0.0,2.616935525527052,0.0,2.9374336282720783,0.0,0.0
2024-03-22,24.24065681349209,27.456784483190994,7.281933160277425,35.465665154947224,0.0,2.6172140849786794,0.0,2.9377463031135873,0.0,0.0
2024-03-25,24.240011757059037,27.456053843934885,7.281739384264414,35.467382447022466,0.0,2.617144439556314,0.0,2.9376681281628807,0.0,0.0
2024-04-16,24.391691709326153,27.304373891667773,7.281739384264414,35.467382447022466,0.0,2.617144439556314,0.0,2.9376681281628807,0.0,0.0
2024-05-16,24.38585142809362,27.29783620562672,7.279995864119402,35.48283396386158,0.0,2.616517797512157,0.0,2.936964740786524,0.0,0.0
2024-06-03,24.38390528913596,27.295657672609074,7.2794148762623845,35.48798282530818,0.0,2.6163089835105566,0.0,2.936730353173847,0.0,0.0
2024-06-13,24.398833630927143,27.31236865070385,7.283871487786425,35.448487205939465,0.0,2.617910743125108,0.0,2.93852828151801,0.0,0.0
2024-06-18,24.382608035725788,27.294205510431652,7.2790276025398075,35.49141494306309,0.0,2.6161697926914207,0.0,2.9365741155482397,0.0,0.0
2024-06-20,24.359151585382843,21.118488948742325,7.272025064121698,35.473216657356666,6.229715662657069,2.613652996426597,0.0,2.9337490853128028,0.0,0.0
2024-07-09,24.359151585382843,21.12114645051805,7.272025064121698,35.470559155580936,6.229715662657069,2.613652996426597,0.0,2.9337490853128028,0.0,0.0
2024-07-11,24.359151585382843,21.126461454069503,7.2667100605702455,35.470559155580936,6.229715662657069,2.613652996426597,0.0,2.9337490853128028,0.0,0.0
