date,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIBANK N.A.,CCB INTERNATIONAL SECURITIES LTD,CHIYU BANKING CORPORATION LTD,SHANGHAI PUDONG DEVELOPMENT BANK CO.,CITIC SECURITIES BROKERAGE (HK) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,CANFIELD SECURITIES CO LTD,CHINA INDUSTRIAL SECURITIES,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-08,0.0,11.557263470828689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.557263470828689
2024-03-21,0.0,11.557263470828689,0.0,0.0,0.0,0.6303371980676329,0.0,0.0,0.0,0.0,12.187600668896321
2024-03-26,0.0,11.557263470828689,0.0,0.0,0.0,0.6303371980676329,0.0,0.0,0.0,1.1145299145299146,13.302130583426235
2024-04-02,0.0,11.557412114455593,0.0,0.0,0.0,0.6303371980676329,0.0,0.0,1.5458565589000373,1.1145299145299146,14.848135785953176
2024-04-03,32.15295429208473,11.557412114455593,0.0,0.0,0.0,0.6303371980676329,0.0,0.0,1.5458565589000373,1.1145299145299146,47.001090078037905
2024-04-05,32.15559271646228,11.557523597175772,0.0,0.0,0.0,0.6303371980676329,0.0,0.0,1.5458565589000373,1.1145299145299146,47.003839985135635
2024-04-09,32.15559271646228,11.557412114455593,0.0,0.0,0.0,0.6303371980676329,0.0,0.0,1.5458565589000373,1.1145299145299146,47.00372850241546
2024-04-10,32.15559271646228,11.476364176885916,0.0,0.0,0.0,0.6154728353771832,0.0,0.0,1.5458565589000373,1.1145299145299146,46.90781620215533
2024-04-11,32.15555555555555,11.476364176885916,0.0,0.0,0.0,0.6154728353771832,0.0,0.0,1.5458565589000373,1.1145299145299146,46.9077790412486
2024-04-12,32.15555555555555,11.476364176885916,0.0,0.0,0.0,0.6154728353771832,0.0,0.0,1.5458565589000373,1.2274990709773317,47.02074819769602
2024-04-18,32.15555555555555,11.476215533259012,0.0,0.0,0.0,0.6154728353771832,0.0,0.0,1.5458565589000373,1.2274990709773317,47.02059955406912
2024-04-22,32.15555555555555,11.476215533259012,0.0,0.0,0.0,0.6154728353771832,0.0,2.656150130063174,1.5458565589000373,1.2274990709773317,49.67674968413229
2024-04-24,32.15555555555555,11.476215533259012,0.0,0.0,0.0,0.6130945373467113,0.0,2.656150130063174,1.5458565589000373,1.2274990709773317,49.674371386101825
2024-04-25,32.15555555555555,11.476215533259012,0.0,0.0,0.0,0.6129458937198068,0.0,2.656150130063174,1.5458565589000373,1.2274990709773317,49.67422274247492
