date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,DBS BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,6.097407029788507,87.55628869471869,1.4605205222733328,0.0,0.6618010678920057,0.19663282953563715,0.15796951313397845,0.0
2024-03-04,6.119938353810294,87.54668726412538,1.4358299290693817,0.0,0.659810866515406,0.20468027434747213,0.15773513812156453,0.22768936587337746
2024-03-05,6.128633785944586,0.8538211786981555,1.4363897675524242,0.0,0.6596519682019051,0.20816008782627585,0.15853360214690687,0.2106793014130986
2024-03-06,6.0802140137825225,87.52899393691706,1.464193595825932,0.0,0.659393758442466,0.24503994941948884,0.16060325268025702,0.21069916370228622
2024-03-07,6.111298099115365,87.5258239155627,1.2010805522288428,0.36026228073423094,0.6581940761755337,0.2385799384841069,0.16142555145262455,0.21070710861796127
2024-03-08,6.112429653730384,87.49293990958368,1.2171827710372232,0.0,0.6586548812846865,0.22522397909025316,0.16138185441641179,0.0
2024-03-11,6.128795524565441,87.4737291034814,1.2361568583769522,0.3602503633607184,0.6585794045857736,0.21940140860176954,0.16091707684942144,0.0
2024-03-12,6.117472450607651,87.43948254446411,1.2574971203653136,0.0,0.650710601202892,0.22556908636488807,0.16291037674313436,0.0
2024-03-13,6.196914933628969,87.40977253229727,1.323713146118281,0.3601828315774805,0.6480649442831009,0.218117331468079,0.16196522971214142,0.0
2024-03-14,6.208682426307332,87.35309906531245,1.3424671990183898,0.0,0.6477908446923116,0.21330398375550763,0.16165017408104734,0.21047273360554733
2024-03-15,6.2185374387466865,87.35326590854163,1.3527349101024846,0.0,0.647337984498834,0.2129088036498307,0.16188454909346128,0.0
2024-03-18,6.2534207628930485,87.31050180405201,1.3381715221489154,0.0,0.6549730484625556,0.21114020583369733,0.16191235629832396,0.0
2024-03-19,6.2696902023141,87.29767473769463,1.3161056311496626,0.0,0.6578371905634105,0.24432750896861807,0.16202380360295568,0.21046876114770982
2024-03-20,6.270109733586321,87.28015625821801,1.3080163960813769,0.0,0.6546386469617927,0.1748560341555103,0.1619098933744647,0.0
2024-03-21,6.274126583640179,87.27687103558638,1.3131763010156938,0.0,0.6512819200890848,0.1825647474875396,0.16247428032173095,0.0
2024-03-22,6.313731988280296,0.7451522706648448,1.3677404723379487,0.0,0.648548869096868,0.17618571510517558,0.16282782906927062,0.2049986867054389
2024-03-25,6.3208938927909895,87.26839599541293,1.3827228155573525,0.0,0.6319614741505019,0.1822903301001234,0.1622320199805095,0.20340970357042923
2024-03-26,6.284715368628992,87.27667459754633,1.3307880339400442,0.0,0.6315095077600374,0.21384080184538146,0.16335225309069137,0.20310382431693985
