date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,MORGAN STANLEY HONG KONG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA GALAXY INTERNATIONAL SECURITIES,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIC SECURITIES BROKERAGE (HK) LTD
2024-03-01,11.68621413139169,0.0,45.74109709991938,18.297784379325574,0.0,0.0,8.90580647797029,15.369097911393068,0.0,0.0
2024-03-04,9.8056678430929,0.0,38.45213973303945,15.4234743383087,0.0,0.0,7.448632716501318,12.887194772843506,0.0,15.982890596214123
2024-03-05,9.795320407603777,0.0,38.45370796785296,15.427622839827567,0.0,0.0,7.44868124822053,12.889240187101707,0.0,15.985427349393463
2024-03-06,9.807648191701821,0.0,38.41592689840521,15.436235848396842,0.0,0.0,7.446914425547449,12.900685675650351,0.0,15.99258896029833
2024-03-07,9.819570862662616,0.0,38.35222964832015,15.499589029243321,0.0,0.0,7.446002747191311,12.887482375413018,0.0,15.995125337169592
2024-03-08,9.830913107996912,0.0,38.32091677780184,15.531120538367627,0.0,0.0,7.469697998645103,12.86948229685241,0.0,15.97786928033611
2024-03-11,8.510323894245257,0.0,33.12760556907763,13.52734621319193,0.0,13.42393887697659,6.489785517464005,11.085447910402486,0.0,13.835552018642103
2024-03-12,8.631775108700996,0.0,33.00305393189924,13.592779810297479,0.0,13.42111909477538,6.493130534997308,11.028027690780144,0.0,13.830113828549454
2024-03-13,8.639290347039601,0.0,32.9814097432665,13.624245980855942,0.0,13.422108285198547,6.494591825076423,11.013608336722571,0.0,13.82474548184042
2024-03-14,9.219335977876309,0.0,33.163747841976274,13.485615278690677,0.0,13.239695232542717,6.425229737958063,10.83193895081287,0.0,13.63443698014309
2024-03-15,9.256506131605303,0.0,33.13035588922632,13.584313969287237,0.0,13.258918927414488,6.357315640015145,10.758355612633935,0.0,13.654233829817574
2024-03-18,9.29219936398818,0.0,33.16787671995751,13.611049236217404,0.0,13.273157085107895,6.405444595009834,10.697994249559397,0.0,13.552278750159779
2024-03-19,9.370876036774826,0.0,33.078798418016895,13.647981928286917,0.0,13.301957901869349,6.364927772353446,10.66916851134275,0.0,13.566289431355822
