date,EVERBRIGHT SECURITIES INVESTMENT,KGI ASIA LTD,SUCCESS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),CMB WING LUNG BANK LTD,CITIBANK N.A.
2024-03-04,0.0,0.0,0.0,0.0,66.13585970570449,0.0,0.0,0.0,33.8641402942955,0.0
2024-03-06,0.0,0.0,0.0,0.0,65.88400561910495,0.0,0.0,0.0,34.115994380895046,0.0
2024-03-07,0.0,0.0,0.0,48.2109423757021,34.14811732889536,0.0,0.0,0.0,17.640940295402537,0.0
2024-03-08,0.0,0.0,0.0,48.256842543448855,34.19710687896764,0.0,0.0,0.0,17.546050577583514,0.0
2024-03-11,0.0,0.0,0.0,48.28917170874191,34.279157104110155,0.0,0.0,0.0,17.431671187147924,0.0
2024-03-12,0.0,0.0,0.0,48.310035468391405,34.30002086375965,0.0,0.0,0.0,17.389943667848947,0.0
2024-03-14,0.0,0.0,0.0,48.375639820328004,34.36749190431422,0.0,0.0,0.0,17.25686827535778,0.0
2024-03-15,0.0,0.0,0.0,42.05911597215945,29.621260056042665,0.0,0.0,0.0,14.93265841091928,13.386965560878606
2024-03-18,0.0,0.0,0.0,42.10859728506787,29.547511312217196,0.0,0.0,0.0,14.941176470588236,13.402714932126697
2024-03-19,0.0,0.0,0.0,42.11240836274776,29.550185537152686,0.0,0.0,0.0,14.942528735632186,13.394877364467373
2024-03-22,0.0,0.0,0.0,34.7508514070622,24.384597000657227,0.0,17.48073131385553,0.0,12.330465435860669,11.053354842564378
2024-04-11,0.0,0.0,0.0,34.7550871116552,24.401713867697776,0.0,17.471597270949346,0.0,12.324022513174985,11.0475792365227
2024-04-12,0.0,0.0,0.0,34.6990215964682,24.497375014914688,0.0,17.45465934852643,0.0,12.312074931392434,11.036869108698246
2024-04-17,0.0,0.0,0.0,34.735286213383496,24.418465764878018,0.0,17.47290154976261,0.0,12.32494251843889,11.048403953536983
2024-04-18,0.0,0.0,0.0,35.506615997436015,22.701951986325415,0.0,17.89905834592433,0.0,12.598629488881766,11.293744181432475
2024-04-22,49.19846236709773,0.0,0.0,18.037906888107553,11.532940681736507,0.0,9.092996861539882,0.0,6.400297501024194,5.737395700494128
2024-04-24,44.22489888454293,0.0,0.0,16.144727062272743,10.367054394617183,10.178879289639257,8.173769004374476,0.0,5.753279598491754,5.157391766061657
2024-04-26,44.22295520838385,0.0,0.0,16.14528968108397,10.367415670456467,10.17923400786667,8.174053847604265,0.0,5.7534800914029,5.157571493201873
2024-05-03,44.224496363801066,0.0,0.0,16.142367372060125,10.36777697147644,10.17958875081771,8.174338710687442,0.0,5.753680598288271,5.157751232868952
2024-05-08,44.239913827996226,0.0,0.0,16.11313307535052,10.37139136719338,10.183137540696425,8.1771884339122,0.0,5.7556864360458055,5.159549318805446
2024-05-09,44.247626591903014,0.0,0.0,16.11594223071398,10.373199510249696,10.184912863677097,8.161180091996787,0.0,5.756689879469663,5.160448831989765
2024-05-10,44.283139971583374,0.0,0.0,16.059085206040944,10.371056330368031,10.193087328736548,8.167730298404917,0.0,5.761310229285875,5.1645906355803115
2024-05-27,44.17523261018864,0.0,0.0,16.263629026426965,10.345784560475375,10.168249226496826,8.147827504121352,0.0,5.747271301932988,5.1520057703578575
2024-06-11,44.18907694407123,0.0,0.0,16.23738639657814,10.34902688625997,10.171435913447299,8.150380999320353,0.0,5.749072472818039,5.153620387504965
2024-06-17,44.219873219768296,0.0,0.0,16.2487025647955,10.286547280994277,10.178524596132888,8.156061167308675,0.0,5.753079119553371,5.1572120514469955
2024-06-18,44.17369488633085,0.0,0.0,16.23173422114526,10.380234065506148,10.167895273421683,8.147543881195068,0.0,5.747071241499213,5.151826430901777
2024-06-19,44.30169133105814,0.0,0.0,15.884278167029287,10.515043041558728,10.197357478218143,8.171151973131593,0.0,5.763723792036341,5.166754216967768
2024-08-01,44.26769236959211,0.0,0.0,15.868599539997591,10.506973359963231,10.18953160174389,8.164881091078998,0.0,5.839533002848091,5.16278903477609
2024-08-02,44.27078102773874,0.0,0.0,15.862729499760365,10.507706455526328,10.190242548669458,8.165450773507612,0.0,5.839940440422004,5.1631492543754876
2024-08-13,44.14715110874313,0.0,0.0,16.247496562474385,10.438877910873048,10.123493485278942,8.111964687313897,0.0,5.801687125764103,5.1293291195524935
2024-08-16,44.17037018003794,0.0,0.0,16.24074217503426,10.43453827457406,10.119284960169598,8.108592392253666,0.0,5.799275256187575,5.127196761742898
2024-08-19,44.39191116312094,0.0,0.0,16.176296288521,10.393132342368867,10.079130004003806,8.076416188761145,0.0,5.776262795858394,5.106851217365844
2024-08-28,44.39382989580668,0.0,0.0,16.17573813252118,10.392773731901404,10.078782228049137,8.076137515567208,0.0,5.776063488447195,5.106675007707198
2024-08-29,44.422952991025255,0.0,0.0,16.12074801417089,10.399591565363615,10.085394077831047,8.081435596909055,0.0,5.779852682741929,5.1100250719582165
2024-08-30,44.37698660301997,0.0,0.0,16.207541574318775,10.388830649467579,10.074958275927887,8.073073379197814,0.0,5.773872014345526,5.104737503722449
2024-09-02,44.377751929961214,0.0,0.0,16.206096486880103,10.389009815575795,10.075132028983033,8.073212607681509,0.0,5.77397159072838,5.104825540189966
2024-09-26,44.374690780571555,0.0,0.0,16.204978600547154,10.395191125263196,10.074437052718576,8.072655722558405,0.0,5.773573305803115,5.104473412537999
