date,KINGSTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,LEGO SECURITIES LTD,BOCI SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,HANG SENG SECURITIES LTD,FOUNDER SECURITIES (HONG KONG) LTD,SOOCHOW SECURITIES INTERNATIONAL,GUOSEN SECURITIES (HK) BROKERAGE CO LTD
2024-03-04,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,57.301751761711,42.698248238289,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,38.54490235808344,28.7216316885059,0.0,23.932539151385356,0.0,0.0,0.0,8.800926802025302,0.0
2024-03-21,0.0,35.01876506971381,26.094139846944124,0.0,21.743159660341753,0.0,9.148128734668203,0.0,7.99580668833211,0.0
2024-03-27,0.0,35.01054370291492,26.071244408483597,0.0,21.778301352863988,0.0,9.14598102552708,0.0,7.993929510210412,0.0
2024-04-15,0.0,35.00760843593194,26.06905860801254,0.0,21.78485942209423,0.0,9.145214230919175,0.0,7.993259303042116,0.0
2024-04-17,53.84244774282679,16.15865515780186,12.0328393499465,0.0,10.055357871904864,0.0,4.221207037666959,0.0,3.6894928398530236,0.0
2024-04-18,53.83982419965343,16.16879156623007,12.0403876126584,0.0,10.035334320758189,0.0,4.223855022797897,0.0,3.691807277902013,0.0
2024-04-19,50.35172694762573,15.121271105880224,11.260332262007152,0.0,9.385179484858087,6.478656466434295,3.950205966230592,0.0,3.452627766963922,0.0
2024-04-22,50.15051403677375,15.171487899834135,11.29772711995887,0.0,9.416347077920308,6.5365057852981305,3.963324352753308,0.0,3.4640937274614996,0.0
2024-04-23,50.14614120019255,15.170165033288221,11.296742023088312,0.0,9.415526026576082,6.544655264807128,3.96297877364917,0.0,3.463791678398532,0.0
2024-04-25,50.14176912611731,15.168842397414917,11.295757097992345,0.0,9.414705118401287,6.552803323264486,3.9626332548048016,0.0,3.463489682004857,0.0
2024-04-26,50.153794164724175,15.17248020115877,11.299192785027916,0.0,9.384260125615222,6.562368848006309,3.9635835766363683,0.0,3.464320298831237,0.0
2024-05-02,50.14322639943182,15.169283250412786,11.310616917971325,0.0,9.382282794486011,6.560986109673095,3.970014186406843,0.0,3.463590341618122,0.0
2024-05-03,50.02038490321248,15.132121352687816,11.264063318227365,0.0,9.359297962053276,6.808738872107835,3.960288396550693,0.0,3.4551051951605336,0.0
2024-05-06,50.02401062628774,15.133218203135336,11.262705245551691,0.0,9.362150917205925,6.809232402929115,3.9533269667421114,0.0,3.455355638148083,0.0
2024-05-07,50.01820972163586,15.131463318735358,11.261399195148423,0.0,9.342946133650297,6.838158154603255,3.952868529433614,0.0,3.4549549467931864,0.0
2024-05-08,49.9946573747245,15.171425828967172,11.253198783692495,0.0,9.338546769703873,6.83783592888332,3.951007220693889,0.0,3.453328093334758,0.0
2024-05-10,49.942197368397245,15.155506266022364,11.241390664377478,0.0,9.32874771819815,6.9355921287108115,3.946861380424537,0.0,3.449704473869411,0.0
2024-05-13,49.87722756534764,15.189994633787624,11.226766739601382,0.0,9.262407785163598,7.056659614102479,3.9417269085738345,0.0,3.445216753423445,0.0
2024-05-14,49.9520954410377,15.169055278793708,11.205516873050213,0.0,9.249639588111009,7.046932033264349,3.936293251682073,0.0,3.4404675340609536,0.0
2024-05-16,49.972292568812804,15.17518858201129,11.210047599020221,0.0,9.253379494334869,7.049781318873724,3.8974518188529665,0.0,3.4418586180941255,0.0
2024-05-17,49.97337501872774,15.175517291797158,11.208124319709164,0.0,9.253579931803946,7.049934024198949,3.8975362415634907,0.0,3.441933172199548,0.0
2024-05-21,49.94056155351715,15.165552759513309,11.200764852847001,0.0,9.247503855832454,7.110966799253187,3.894977045395099,0.0,3.4396731336418,0.0
2024-05-23,49.937318607264544,15.171783091716856,11.199316006212221,0.0,9.24690335882076,7.1105050406662444,3.8947241207018153,0.0,3.4394497746175534,0.0
