date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CITIC SECURITIES BROKERAGE (HK) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,DBS VICKERS (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,41.21731644692815,0.0,0.0,31.46426712077131,27.31841643230054,0.0,0.0,0.0,0.0
2024-03-04,31.354824746904086,17.771866444687205,18.432301093774488,0.0,13.68876829223235,11.78764140357773,0.0,0.0,6.964598018824142,0.0
2024-03-05,31.359120755622765,17.79999129421401,18.396805532813353,0.0,13.694754207669824,11.783433420871194,0.0,0.0,6.965894788808853,0.0
2024-03-06,27.7026773195539,15.71907776502652,16.168780318738328,0.0,12.15202965131709,10.421526652617393,0.0,6.304488294225216,6.161148146307946,5.370271852213609
2024-03-07,27.667436545622454,15.734201362255234,16.170589330314453,0.0,12.153632387548456,10.426109507954575,0.0,6.308185234210761,6.165649896887962,5.374195735206106
2024-03-08,27.654608465024832,15.719330134028953,16.184910742317,0.0,12.13951217679167,10.420669332618965,0.0,6.302836099693201,6.2058229925658,5.372310056959578
2024-03-11,27.673019739166648,15.750222501217232,16.067540806055433,0.0,12.171387861207808,10.448754296732238,0.0,6.27272153289679,6.23200593498472,5.384347327739133
2024-03-12,27.68025685888841,15.741148723402295,16.052190795297502,0.0,12.165011486075276,10.452404111551026,0.0,6.2746089787566355,6.2481509323024005,5.386228113726457
2024-03-13,27.649695558522303,15.66401524779841,16.034467844714708,0.0,12.174329266407295,10.467252586516079,0.0,6.388099130854355,6.241252455227267,5.380887909959582
2024-03-14,27.630180285213758,15.624981832021295,16.023071761301626,0.0,12.316785312395844,10.455662272178548,0.0,6.359854359844758,6.212197153548854,5.377267023495317
2024-03-15,27.628002922262795,15.65284730856836,16.022415265511523,0.0,12.335818742260823,10.442714666209298,0.0,6.34419860402964,6.197159216688621,5.376843274468943
2024-03-18,24.181450728363714,13.67857765200369,14.02892821139444,12.545203962297741,10.793153441348412,9.144531493480414,0.0,5.569887377805462,5.3456306257264155,4.712636507579716
2024-03-19,24.179525908827664,13.679611491029814,14.032056803127052,12.679789023354907,10.724104498535391,9.14353826779447,0.0,5.546625637445454,5.30275231353859,4.711996056346654
2024-03-20,24.24352974427176,13.688025877431162,13.826728176267025,12.714468916456934,10.75316943538,9.170142662538298,0.0,5.561795951701414,5.31725562136503,4.724883614588378
2024-03-21,24.22377225907035,13.692394125650068,13.831930973745665,12.71778488314087,10.759433516504586,9.199412896066354,0.0,5.530513093741426,5.318642375511529,4.72611587656915
2024-03-22,24.181556948820536,13.669860390507704,13.985285932777735,12.69562131469289,10.749449634734798,9.21207229694697,0.0,5.52087494475307,5.267398968145889,4.717879568620407
2024-03-25,24.17323421782251,13.675180433450832,13.990828870703634,12.693901452530742,10.693540223316113,9.244558765813712,0.0,5.520127037763403,5.29138855604853,4.717240442550519
2024-03-26,24.227593284526982,13.714983786613974,13.772573605134886,12.722446604146795,10.733379431739424,9.249373918843151,0.0,5.548513670363271,5.303287457986337,4.727848240645181
2024-03-27,24.155566596670607,13.672186648272582,14.000740484991967,12.689643595766062,10.713139963325833,9.231101992620088,0.0,5.5342076216846925,5.287754936302847,4.715658160365326
2024-03-28,24.120711046184848,13.692986112287645,14.043908621606748,12.682346630917591,10.701321576120135,9.224732269395812,0.0,5.531290652779421,5.289756589781443,4.712946500926359
2024-04-02,24.12993235569435,13.701672224223623,14.003083194208571,12.686133131853575,10.690280028913653,9.23648890512666,0.0,5.5442901417260915,5.293371765367834,4.7147482528856415
2024-04-03,24.198840960532237,13.71516138499834,13.778082578276528,12.722781260199447,10.667113323837581,9.280211709918373,0.0,5.602374481748567,5.308663435873207,4.726770864615719
2024-04-05,24.197423199532082,13.744176312786818,13.777010709437073,12.722035858255873,10.664092232152454,9.269018547115754,0.0,5.591396795967989,5.308352412052083,4.72649393269987
2024-04-08,24.047810233819963,14.300347885497908,13.693598534677905,12.64476661623587,10.597999130736108,9.212721736968012,0.0,5.528857700408545,5.276111317008466,4.697786844647224
2024-04-09,24.04749206226626,14.296983290717485,13.693417357536239,12.644599315970218,10.607914312062158,9.207042913107742,0.0,5.52878454924727,5.276041509881792,4.697724689210834
2024-04-10,22.228506987384264,13.02926691290942,12.657767889918297,11.688273206285139,9.805625115510527,8.516818354612138,7.7436671662120595,5.110635987387291,4.87700820517995,4.342430174600915
