date,ABCI SECURITIES CO LTD,CHINA INDUSTRIAL SECURITIES,CHINA GALAXY INTERNATIONAL SECURITIES,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CMB INTERNATIONAL SECURITIES LTD,CLSA LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,41.23781905946938,0.0,13.852139103072616,6.5343503920095065,17.706656107627445,15.361122023457273,0.0,0.0,5.307913314363775
2024-03-04,0.0,41.21859344515158,0.0,13.868577255881961,6.5490503708331484,17.742811053921095,15.310760135360848,0.0,0.0,5.310207738851365
2024-03-05,0.0,41.24205609628215,0.0,13.897787753626483,6.547520592387402,17.763146115221875,15.233195666893861,0.0,0.0,5.31629377558823
2024-03-06,0.0,41.2133264560599,0.0,13.925304054629384,6.547489455096556,17.764488316576212,15.233123224136747,0.0,0.0,5.316268493501191
2024-03-07,0.0,41.04377861914292,0.0,13.57868525923333,6.401962719818719,17.712792751165054,15.962266560516037,0.0,0.0,5.300514090123941
2024-03-08,0.0,40.99550292086146,0.0,13.489659261983983,6.413085621598063,17.704230415247153,16.099569950288302,0.0,0.0,5.297951830021042
2024-03-11,0.0,41.00688373040961,0.0,13.445206311552072,6.408303325560993,17.732578828542525,16.10422554030665,0.0,0.0,5.302802263628146
2024-03-12,0.0,41.0041623666422,0.0,13.444314039475458,6.416884533967254,17.756051362209497,16.076137347040177,0.0,0.0,5.302450350665414
2024-03-13,0.0,41.023608607286334,0.0,13.25672159487035,6.5697908723120575,17.764472176774408,16.08376146170159,0.0,0.0,5.301645287055258
2024-03-14,0.0,39.92973470786176,0.0,12.870181521256194,6.451938360438944,17.26902105673491,15.626296529545375,2.692846501273487,0.0,5.159981322889323
2024-03-15,0.0,39.99212778215953,0.0,12.890292102950676,6.372333907652409,17.290457548784214,15.621126581757721,2.697054267066465,0.0,5.136607809628984
2024-03-18,0.0,39.9885232799514,0.0,12.893305743239909,6.391877238644874,17.279054776515856,15.61455456702564,2.6967176605622067,0.0,5.135966734060109
2024-03-19,0.0,39.94771453242211,0.0,12.88014797656745,6.504029120207669,17.258188913217648,15.584766637490045,2.6939656292006777,0.0,5.1311871908944
2024-03-20,0.0,39.72246691571014,0.0,12.807522479249833,6.489395733669304,17.14251091843243,16.057073732690647,2.678775540241047,0.0,5.1022546800066015
2024-03-21,0.0,39.66164122512137,0.0,12.787910746645595,6.460203288673972,17.122679645560908,16.19844970617124,2.674673620475761,0.0,5.0944417673511575
2024-03-22,0.0,39.62841052242813,0.0,12.776605574844394,6.44212457622384,17.17579292354877,16.184129442254054,2.672309071223683,0.0,5.120627889477126
2024-03-25,0.0,39.754057142222756,0.0,12.738998614719485,6.439574598228144,17.23025083126412,16.019473413276113,2.6807819470574423,0.0,5.136863453231942
2024-03-26,0.0,39.84009970552063,0.0,12.563027487647183,6.459038288249674,17.333395667243405,16.000726971068257,2.6865841561135464,0.0,5.1171277241573065
