date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,ABCI SECURITIES CO LTD,HANG SENG SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,PRUDENTIAL BROKERAGE LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,DAH SING SECURITIES LTD
2024-03-08,0.0,50.38766762233637,49.61233237766362,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,41.72791821342676,22.997481882980512,22.68049592760917,0.0,12.59410397598356,0.0,0.0,0.0,0.0,0.0
2024-03-13,38.1314218107623,21.015347034090137,20.650778769929808,0.0,11.471176535088597,8.731275850129157,0.0,0.0,0.0,0.0
2024-03-14,38.117146352716034,21.007479409683114,20.680485149206593,0.0,11.466882011265684,8.728007077128574,0.0,0.0,0.0,0.0
2024-03-15,38.1299937838016,20.980854883409073,20.68745553217577,0.0,11.470746937958852,8.730948862654701,0.0,0.0,0.0,0.0
2024-03-20,38.16429597826796,20.99972950920528,20.616105026865373,0.0,11.481066157898178,8.738803327763211,0.0,0.0,0.0,0.0
2024-03-22,38.1585746605743,20.996581380282077,20.61301440817476,0.0,11.479344998755387,8.752484552213481,0.0,0.0,0.0,0.0
2024-03-25,38.15428479790736,20.994220902947745,20.610697052200397,0.0,11.478054468016511,8.762742778927993,0.0,0.0,0.0,0.0
2024-03-26,34.3669692834827,18.91026784341213,18.62894678152422,0.0,10.338706318984654,7.906426776688459,9.84868299590783,0.0,0.0,0.0
2024-03-27,34.33915110402529,18.894961017252488,18.69481219265196,0.0,10.330337702439891,7.900026957224409,9.840711026405966,0.0,0.0,0.0
2024-03-28,34.21912424039296,18.82891678387917,18.979001124987267,0.0,10.294229703411887,7.87241371030942,9.806314437019306,0.0,0.0,0.0
2024-04-02,34.0689077241731,19.1187549448997,18.805575137772117,0.0,10.421709240046937,7.879529199831968,9.705523753276173,0.0,0.0,0.0
2024-04-05,34.05273939434338,19.10968161802977,18.911904923131903,0.0,10.41676333354043,7.807992998818899,9.700917732135617,0.0,0.0,0.0
2024-04-08,34.00777986024195,19.081065910266616,19.02235018831145,0.0,10.403010171984253,7.797684173927344,9.688109695268382,0.0,0.0,0.0
2024-04-09,34.00777986024195,19.067524461476218,19.035891637101848,0.0,10.403010171984253,7.797684173927344,9.688109695268382,0.0,0.0,0.0
2024-04-10,34.30554124207655,18.851080284589447,18.948301867096795,0.0,10.425598605524405,7.8146155685735,9.654862432139295,0.0,0.0,0.0
2024-04-11,34.2555311518356,18.913801015915077,18.943160370645302,0.0,10.422769688262534,7.812495124298473,9.652242649043021,0.0,0.0,0.0
2024-04-12,34.302069350636245,18.87156854543124,18.96889579303108,0.0,10.369001641167806,7.823108868677801,9.665355801055824,0.0,0.0,0.0
2024-04-15,34.3125578770693,18.843364507054318,18.974695902724097,0.0,10.372172165566381,7.828898375564902,9.668311172021,0.0,0.0,0.0
2024-04-16,34.316055478057365,18.84528527817708,18.97663006092283,0.0,10.373229437943001,7.819503047555047,9.66929669734468,0.0,0.0,0.0
2024-04-17,31.808625564710898,17.433639942239438,17.621527311912256,0.0,9.615270942178942,7.248142045371083,8.962773659012164,0.0,0.0,7.310020534575219
2024-04-18,31.81062932475899,17.43473816105867,17.628936790097487,0.0,9.615876648820567,7.235999789448068,8.963338262086307,0.0,0.0,7.310481023729904
2024-04-19,31.851194759704445,17.455598721826703,17.550498191942314,0.0,9.60290914535047,7.245227254762489,8.974768457680762,0.0,0.0,7.319803468732815
2024-04-22,29.023242166054864,15.762093120304685,15.9922528182229,0.0,8.750301510721597,6.601949683504552,8.177931166998913,0.0,9.022324989521268,6.669904544671222
2024-04-23,29.02491035546881,15.762999089277224,15.993172016247154,0.0,8.747930572631542,6.602329148435121,8.178401215731675,0.0,9.019969686717069,6.6702879154914
2024-04-26,29.021574168386277,15.761187255466213,15.991333725853288,0.0,8.746925066236592,6.613064482298947,8.17746117229459,0.0,9.018932911547562,6.669521217916528
2024-04-29,27.198762603464793,14.806430493523784,15.087423154292818,0.0,8.217067402734953,6.212468516443234,7.682099609537812,6.057644937955462,8.472597978573603,6.265505303473542
2024-04-30,27.19289005897944,14.911189701230207,15.157035960866692,0.0,8.215293237690565,6.21112716874082,7.6804409505629305,6.056337018551434,8.31153339889579,6.26415250448212
2024-05-02,27.1936239883539,14.908893175293434,15.15744504551703,0.0,8.215514966422372,6.211294805526309,7.680648243763845,6.056500477589069,8.311757725125736,6.264321572408303
2024-05-03,27.143730418684598,14.885015052605516,15.39203906272003,0.0,8.205327817114066,6.203592867444471,7.671124323381058,6.0489904827922505,8.193626093546419,6.256553881711592
2024-05-06,27.051849030346187,14.834629352947593,16.054547118419414,0.0,8.177552824510647,6.18259373738552,7.645157606865792,6.028514681012913,7.7897801696211255,6.2353754788908065
2024-05-07,26.94752174674103,14.792108562090291,16.922001643113767,0.0,8.154113343475926,6.164872446950262,7.593777302365165,6.011235030417493,7.196867025737773,6.217502899108288
2024-05-08,26.92372103864446,14.904836373959043,16.915085031275993,0.0,8.146911431801138,6.159427481326282,7.541570855556865,6.005925761104957,7.190510577345253,6.21201144898601
2024-05-09,26.884864981730068,14.883325856537805,17.1018067589804,0.0,8.135153887076314,6.150538254445978,7.5306869325669155,5.9972580664403825,7.113318928796063,6.203046333426082
2024-05-10,26.802702372492966,14.900050887356574,17.121024791821824,0.0,8.14429570798303,6.157449877751763,7.5391494880634315,6.003997442232876,7.121312469988039,6.210016962309494
2024-05-13,26.78167910877064,14.903240870246625,17.13004256964105,0.0,8.146039337193185,6.15876813900502,7.540763560260519,6.005282850534996,7.122837086588728,6.211346477759237
2024-05-14,26.67320806386893,14.913781671383472,17.21363956756853,0.0,8.148874327559746,6.160911517844874,7.54338790212347,6.007372813316296,7.125315981384983,6.213508154949698
2024-05-16,26.67963618637275,14.944153100549268,17.217787976849184,0.0,8.099961346467651,6.162396269655645,7.545205824490085,6.008820562993711,7.127033150309586,6.2150055823121235
2024-05-17,24.303019831635268,14.195898972731088,15.437672253286008,8.773823085798035,7.300364225155423,5.613451311916024,6.799904600112651,5.473556096756802,6.4921585430451305,5.610151079563567
2024-05-20,24.28643280727653,14.254461024841433,15.427135906466502,8.767834874528342,7.295381662491638,5.609620082122674,6.795263605535823,5.469820346675751,6.4877275878535405,5.606322102207766
2024-05-21,24.227377814355158,14.219799817014,15.438255302172612,8.746514970096108,7.472170520507307,5.595979706161734,6.778740213759509,5.456519908343888,6.471952001960924,5.592689745628762
2024-05-22,24.16875502559866,14.333023543705462,15.383264195659915,8.742900893370246,7.488527801296664,5.593667436636836,6.775939225329148,5.454265263874364,6.46927777900685,5.590378835521852
2024-05-23,24.164643605662718,14.347596611887148,15.429251022453377,8.74141361208526,7.462952045037258,5.592715880969625,6.77478654983609,5.429035562161104,6.468177270618909,5.589427839288513
2024-05-24,24.164056374143552,14.347247947073702,15.431306199024958,8.741201184636346,7.4627706858275635,5.592579970873179,6.774621913921627,5.428903629704214,6.468020085699205,5.589292009095654
2024-05-27,24.18050965250244,14.357016971797954,15.393177725150672,8.747153058529332,7.467852077855512,5.576933699132302,6.779234746237532,5.432600163978926,6.472424153180804,5.5930977516345255
2024-05-28,24.090865413086572,14.332619311540348,15.284479188678871,8.732288545311686,7.275515511665881,6.048131048308874,6.767714423703251,5.423368250874935,6.461425210584121,5.583593096245457
2024-05-31,24.089695786485844,14.312503203431003,15.30801243072754,8.731864587234933,7.275162280832095,6.047837407759333,6.767385846930256,5.423104942950417,6.461111504344211,5.583322009304368
2024-06-05,24.089695786485844,14.331923453898149,15.30801243072754,8.731864587234933,7.275162280832095,6.047837407759333,6.74796559646311,5.423104942950417,6.461111504344211,5.583322009304368
2024-06-11,24.047082004044412,14.34776584106801,15.268816936442178,8.716418241165373,7.439189095305125,6.037139006674501,6.706949849319967,5.413511670530364,6.449682036640827,5.573445318809238
2024-06-12,24.054659722732037,14.328047103298067,15.128188405086412,8.71916495968133,7.4875893466662164,6.041465431178071,6.80602337220511,5.415217576824715,6.444442458918533,5.575201623409509
2024-06-13,24.05291059456428,14.32700524317341,15.127088362900349,8.718530947926183,7.494316361939175,6.041026127630151,6.805528474030371,5.414823810722541,6.443973853003492,5.574796224110046
2024-06-14,24.027867681351207,14.336301556014613,15.062912635973538,8.709453567747346,7.709273263157675,6.03715775753778,6.846868851454533,5.409186116181463,6.437264649253965,5.423713921327877
2024-06-17,23.97363692543144,14.342514005299245,15.122204917500904,8.70734525749329,7.707407068023202,6.035696333866757,6.845211419826313,5.407876706530658,6.435706371118314,5.422400994909881
