date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,FORTUNE ORIGIN SECURITIES LTD,GREAT BAY SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,LUK FOOK SECURITIES (HK) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-06-14,25777983.0,15923458.0,12718290.0,21460501.0,0.0,0.0,168013090.0,0.0,0.0,0.0
2024-06-17,25747983.0,16127458.0,12532290.0,21286501.0,0.0,0.0,167911090.0,0.0,0.0,0.0
2024-06-21,25544883.0,15881458.0,12724290.0,20536501.0,15175800.0,0.0,168001090.0,0.0,0.0,0.0
2024-06-25,25502883.0,16049458.0,12832290.0,20350501.0,15115800.0,0.0,168085090.0,0.0,0.0,0.0
2024-06-27,25502883.0,15893458.0,12784290.0,20194501.0,15055800.0,0.0,172195090.0,0.0,0.0,0.0
2024-06-28,0.0,16079458.0,12730290.0,19888501.0,0.0,25548000.0,172243090.0,0.0,0.0,0.0
2024-07-02,25514883.0,15791458.0,12922290.0,19672501.0,14995800.0,25908000.0,173095090.0,0.0,0.0,0.0
2024-09-27,25518183.0,14973658.0,9292290.0,0.0,0.0,0.0,209355090.0,0.0,0.0,16354005.0
2024-10-09,0.0,14751358.0,9010290.0,0.0,14793900.0,0.0,209079090.0,11612787.0,0.0,0.0
2024-11-08,0.0,14865708.0,9098190.0,0.0,14733900.0,0.0,207843090.0,0.0,0.0,16360005.0
2024-11-19,0.0,14814408.0,9296190.0,19630501.0,14631900.0,32082000.0,203919090.0,0.0,0.0,16396005.0
2024-12-02,0.0,15045408.0,9446190.0,19672501.0,0.0,27078000.0,208077090.0,0.0,0.0,0.0
2024-12-03,25467183.0,15033408.0,9428190.0,0.0,0.0,0.0,207075090.0,0.0,11908460.0,0.0
2024-12-19,0.0,14929908.0,9539490.0,0.0,21371900.0,25530000.0,205449090.0,0.0,0.0,0.0
2025-01-02,26667183.0,16027908.0,11051490.0,19804501.0,0.0,0.0,192951090.0,0.0,0.0,16539960.0
2025-01-03,27153183.0,15937908.0,11351490.0,19822501.0,0.0,24840000.0,193071090.0,0.0,0.0,0.0
2025-01-07,27243183.0,15973908.0,11639490.0,19738501.0,0.0,24006000.0,193671090.0,11600787.0,0.0,16635960.0
2025-01-13,27045183.0,16081908.0,11597490.0,0.0,0.0,24378000.0,193665090.0,0.0,0.0,0.0
2025-01-20,27291183.0,15935768.0,11513490.0,19786501.0,0.0,0.0,193905090.0,0.0,0.0,0.0
2025-01-21,27723183.0,26477768.0,10391490.0,20206501.0,20921900.0,24006000.0,181623090.0,0.0,0.0,0.0
2025-02-11,28965183.0,26657768.0,12461490.0,20134501.0,0.0,0.0,180195090.0,0.0,0.0,0.0
2025-02-20,29481183.0,26777768.0,12659490.0,0.0,0.0,19380000.0,176163090.0,0.0,0.0,0.0
2025-03-31,30513183.0,24235268.0,13847190.0,0.0,0.0,0.0,176793090.0,0.0,0.0,17229960.0
