date,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,REALINK FINANCIAL TRADE LTD,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,HANG SENG BANK LTD,DBS BANK (HONG KONG) LTD,MIB SECURITIES (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-06,0.0,4.708017334777899,0.0,0.0,0.0,0.0,0.47833152762730224,0.0,5.1863488624052
2024-03-07,0.0,4.705308775731311,0.0,0.0,0.0,0.0,0.4794149512459372,0.0,5.184723726977248
2024-03-08,0.0,4.702600216684724,0.0,0.0,0.0,0.0,0.48104008667388953,0.0,5.183640303358613
2024-03-11,4.819772481040087,4.699891657638137,0.0,0.0,0.0,0.0,0.48104008667388953,0.0,10.000704225352113
2024-03-13,4.85498374864572,4.699891657638137,2.968039003250271,0.0,0.0,0.0,0.48104008667388953,0.0,13.003954496208017
2024-03-15,4.85498374864572,4.699891657638137,2.9729144095341278,0.0,0.0,0.0,0.48104008667388953,0.0,13.008829902491875
2024-03-19,4.936240520043337,4.699891657638137,2.9729144095341278,0.0,0.0,0.0,0.48104008667388953,0.0,13.09008667388949
2024-03-21,4.990411700975081,4.645720476706392,2.9729144095341278,0.0,0.0,0.0,0.4799566630552546,0.0,13.089003250270856
2024-03-25,4.990411700975081,4.644095341278439,2.9729144095341278,0.0,0.0,0.0,0.4799566630552546,0.0,13.087378114842904
2024-03-27,4.990411700975081,4.644095341278439,2.9729144095341278,0.0,0.0,0.281148429035753,0.4799566630552546,0.0,13.368526543878655
2024-04-03,4.978494041170097,4.644095341278439,2.9729144095341278,0.0,0.0,0.281148429035753,0.4799566630552546,0.0,13.356608884073673
2024-04-15,4.978494041170097,4.643011917659805,2.9729144095341278,0.0,0.0,0.281148429035753,0.48212351029252437,0.0,13.357692307692307
2024-04-22,4.981744312026002,4.643011917659805,2.9729144095341278,0.0,0.0,0.281148429035753,0.48212351029252437,0.0,13.360942578548213
2024-04-25,4.981744312026002,4.640845070422536,2.9729144095341278,0.0,0.0,0.281148429035753,0.4842903575297941,0.0,13.360942578548213
2024-04-29,5.035915492957747,4.586673889490791,2.9729144095341278,0.0,0.0,0.281148429035753,0.4842903575297941,0.0,13.360942578548213
2024-04-30,5.035915492957747,4.582881906825569,2.9729144095341278,0.0,0.0,0.281148429035753,0.4842903575297941,0.0,13.357150595882992
2024-05-02,5.09008667388949,4.582881906825569,2.9729144095341278,0.0,0.0,0.281148429035753,0.4842903575297941,0.0,13.411321776814736
2024-05-03,5.09008667388949,4.5823401950162514,2.9729144095341278,0.0,0.0,0.281148429035753,0.4848320693391116,0.0,13.411321776814736
2024-05-07,5.09008667388949,4.581798483206933,2.9729144095341278,0.0,0.0,0.281148429035753,0.48537378114842905,0.0,13.411321776814736
2024-05-09,5.09008667388949,4.581256771397616,2.9729144095341278,0.0,0.0,0.281148429035753,0.48591549295774644,0.0,13.411321776814736
2024-05-13,5.09008667388949,4.578006500541712,2.9729144095341278,0.0,0.0,0.281148429035753,0.48591549295774644,0.0,13.40807150595883
2024-05-14,5.09008667388949,4.52112676056338,2.9729144095341278,0.0,0.0,0.281148429035753,0.48591549295774644,0.0,13.3511917659805
2024-05-20,5.09008667388949,4.507583965330444,2.9729144095341278,0.0,0.0,0.281148429035753,0.49133261105092096,0.0,13.343066088840736
2024-05-21,5.144257854821236,4.4534127843987,2.9729144095341278,0.0,0.0,0.281148429035753,0.4891657638136511,0.0,13.340899241603468
2024-05-23,5.202221018418202,4.401950162513542,2.9729144095341278,0.0,0.0,0.281148429035753,0.4886240520043337,0.0,13.34685807150596
2024-05-30,5.202221018418202,4.400325027085591,2.9729144095341278,0.0,0.0,0.281148429035753,0.4886240520043337,0.0,13.345232936078006
2024-05-31,5.202221018418202,4.398699891657638,2.9729144095341278,0.0,0.0,0.281148429035753,0.4886240520043337,0.0,13.343607800650053
2024-06-03,5.256392199349945,4.33477789815818,2.9729144095341278,0.0,0.0,0.281148429035753,0.4886240520043337,0.0,13.33385698808234
2024-06-13,5.256392199349945,4.33261105092091,2.9729144095341278,0.0,0.0,0.281148429035753,0.490249187432286,0.0,13.333315276273023
2024-06-14,5.256392199349945,4.331527627302275,2.9729144095341278,0.0,0.0,0.281148429035753,0.49133261105092096,0.0,13.333315276273023
2024-06-18,5.256392199349945,4.330985915492958,2.9729144095341278,0.0,0.0,0.281148429035753,0.49133261105092096,0.0,13.332773564463704
2024-06-19,5.256392199349945,4.3288190682556875,2.9729144095341278,0.0,0.0,0.281148429035753,0.49133261105092096,0.0,13.330606717226434
