date,CHINA SECURITIES DEPOSITORY AND CLEARING,HAITONG INTERNATIONAL SECURITIES CO LTD,CMB WING LUNG BANK LTD,PHILLIP SECURITIES (HONG KONG) LTD,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS BANK CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,PRUDENTIAL BROKERAGE LTD
2024-03-01,0.0,0.0,20.393390447489452,18.44300031155282,0.0,25.512411731527173,0.0,10.014570016573684,25.636627492856867,0.0
2024-03-04,0.0,0.0,20.863231854999846,18.444709308184407,0.0,25.514775805971478,0.0,9.946000229342655,25.231282801501614,0.0
2024-03-05,0.0,0.0,21.207947926585398,18.520198893428454,0.0,25.416285232197396,0.0,9.862832910453163,24.99273503733559,0.0
2024-03-06,0.0,0.0,21.256822252115747,18.495181488276238,0.0,25.41978892517723,0.0,9.859597448354215,24.968609886076575,0.0
2024-03-07,0.0,0.0,21.75820078528073,18.381928249633724,0.0,25.30814777368452,0.0,9.70192271401073,24.849800477390296,0.0
2024-03-08,0.0,0.0,18.615494187690576,15.172298764303113,0.0,21.464230356675554,0.0,8.13133796707684,20.77717291800268,15.83946580625124
2024-03-11,0.0,0.0,18.768179753528397,15.115183653322603,0.0,21.40695087181191,0.0,8.146018051793032,20.757065195993228,15.806602473550829
2024-03-12,0.0,0.0,18.798507584713033,15.03572812956581,0.0,21.44154273957661,0.0,8.35155248317474,20.59823576429534,15.774433298674467
2024-03-13,0.0,0.0,19.307014709421566,14.87721693640172,0.0,21.14399048072894,0.0,8.332957791314337,20.61399681859978,15.724823263533654
2024-03-14,0.0,0.0,19.32570873231823,14.85560827965347,0.0,21.135073899462995,0.0,8.379281889480025,20.58613521287128,15.718191986213995
2024-03-15,0.0,0.0,19.323653004918,14.795150329637096,0.0,21.275780262350743,0.0,8.366772350868999,20.543917958690333,15.694726093534825
2024-03-18,0.0,0.0,19.662408453841426,14.786957116103617,0.0,21.249176670104973,0.0,8.166619983423464,20.399557576690373,15.735280199836147
