date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,MERRILL LYNCH FAR EAST LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,37.51484448804233,12.290540598446956,9.319733824336982,6.5561316783715125,4.48383636815517,0.0,1.1477078475541782,0.23773578624200917,0.6026133682468046
2024-03-04,37.548904734875826,12.38685589557075,9.413687056371147,6.458201237661457,4.397201714293626,0.5010900571101587,1.1608745639936369,0.2452725736093449,0.0
2024-03-05,37.407404971873426,12.399051877752747,9.109057296724291,6.90155815209115,4.3937383849750775,0.0,1.1542617046818728,0.2615179514969085,0.0
2024-03-06,37.481477269655805,12.420081706488197,9.150408763175781,6.905315833087766,4.484034140839202,0.49904640604182365,1.154341472997766,0.22959480332495436,0.0
2024-03-07,37.41495296635953,12.54988651144148,9.299403781281871,6.587470408262151,4.48383636815517,0.49607981578133725,1.1565169725221225,0.2651762517197983,0.6132271689565447
2024-03-08,37.4496582817641,12.556544858470572,9.291190281714004,0.0,4.4870666553277,0.4949591039051535,1.154176662427739,0.24647321861199176,0.0
2024-03-11,37.657703114194604,12.580739050150537,9.204552166830489,6.587272635578119,4.487182022726718,0.0,1.139211862669285,0.21804405452461048,0.0
2024-03-12,38.058574500640454,12.630841463438752,8.956973728535896,6.361465673584096,0.0,0.4939702404849914,1.1428706573238852,0.2180392750180797,0.0
2024-03-13,37.98933115255987,12.608756847055131,8.974515176746152,6.356059886887209,0.0,0.4941680131690238,1.1424464349166354,0.2140291042281822,0.0
2024-03-14,38.039063730928945,12.66393542590018,8.88491063641272,6.355862114203177,4.482646435839575,0.49298137706482925,1.1422639896156157,0.2353226298756735,0.0
2024-03-15,38.030849407308224,12.65253053445431,9.040320246714831,6.315483524546557,4.483701223487747,0.0,1.1430115703612582,0.2483451370663587,0.0
2024-03-18,37.65718099430876,12.706786174107206,9.030102156183725,6.6285082401988795,4.498435288448163,0.495816118869294,1.174091712467524,0.23263325099397253,0.0
2024-03-19,37.75110719740944,12.746934028965788,8.898469437198273,6.672858764593152,4.483407531051959,0.4966072096054237,1.167425784152211,0.19241897747566902,0.6344547703760253
2024-03-20,37.83364614379525,12.610800498123467,8.94224592637714,6.706117537624605,4.484294541539844,0.5039907231426343,1.1743039884817188,0.23186671703277686,0.6258186965066092
2024-03-21,37.813159036266896,12.591023229720223,8.91533878790396,6.747484990701387,4.52226689687407,0.5051773592468288,1.2059021302095798,0.24174711070589686,0.6224565608780579
2024-03-22,37.941365178690916,12.704808447266881,8.926560574806528,6.7885063415811135,4.5227283664701465,0.5048477381067749,1.252708332097254,0.20983978434866535,0.6065688219274531
2024-03-25,37.98708709183838,12.584430806919144,9.340836334533813,6.234215432466232,4.533860990854332,0.5057047530709153,1.1807881307382921,0.28815776722550634,0.0
2024-03-26,37.94877275457135,12.574805869629564,9.441666617223495,6.175345096852579,4.52707936551886,0.5059025257549478,1.1730090718330166,0.2684965254635627,0.0
2024-03-27,38.01209297557573,12.660639214499637,9.270945940155304,6.204678082105989,4.533144394495854,0.5532361214667085,1.1982580511611562,0.2515869609787902,0.0
2024-03-28,37.936971658515134,12.7781161888149,9.183260454099267,6.220499896828583,4.484953783819953,0.55415906065886,1.2077511399947127,0.3176430374456207,0.0
2024-04-02,37.940678248235045,12.823472057686336,9.092317322316076,0.0,4.510805475402681,0.0,1.2059052616104102,0.2731367670626735,0.0
2024-04-03,37.87319787882204,12.844304113737753,9.139037163465057,6.25194575358974,4.484887859591942,0.550335455434233,1.1851391297870055,0.27114519613446697,0.0
2024-04-05,37.84198720674431,12.81549522609703,9.201562173469057,6.261900312019371,4.490293646288829,0.5505991523462763,1.2076852157667022,0.25902519162524973,0.0
2024-04-08,37.90867335402036,12.80635285415649,9.25744317496356,6.272283377931073,4.508300189927701,0.5498080616101466,1.1899441819561434,0.2212197893984612,0.0
2024-04-09,37.906701230739415,0.0,9.262000516845948,0.0,4.542769331785433,0.0,1.1729357311293547,0.19444894926669185,0.0
2024-04-10,37.9245009371129,12.592890203857491,9.435693387734007,6.272349302159085,4.525431259818589,0.5498739858381573,1.190924804847804,0.21238033928563188,0.6295763775032253
2024-04-11,37.822727773152096,12.466432042339175,9.257477455562126,6.27116266605489,4.582719413959983,0.5490828951020276,1.201737696726137,0.4738214890569078,0.0
2024-04-12,37.76939309496451,12.49530685420791,9.262792102013789,6.270107878406717,4.581598702083799,0.5488191981899845,1.2095167556314124,0.5131123289513498,0.0
2024-04-15,37.82118514621664,12.496032020716031,9.215340666744458,0.0,4.581203156715734,0.5488851224179951,1.1957715540911587,0.5088931783586581,0.0
