date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,BNP PARIBAS,CHINA SECURITIES DEPOSITORY AND CLEARING,ABCI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BOCOM INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,TOTAL_CCASS_PCT
2024-03-01,26.764211459459457,24.417085945945946,15.77182454054054,8.900253621621621,1.3305945945945945,0.0,0.0,0.3876761081081081,0.0,0.0,77.57164627027026
2024-03-04,26.745130162162162,24.373829585585586,15.816797513513514,8.903401477477479,1.36590990990991,0.0,2.5081081081081082,0.38082926126126126,0.0,0.9321081081081082,81.02611412612613
2024-03-05,26.674571603603603,24.368946846846846,15.801157873873874,8.919311243243243,1.3750630630630631,0.0,2.5081081081081082,0.3797481801801802,0.0,0.9282882882882882,80.95519520720721
2024-03-06,26.682978342342345,24.36584774774775,15.78393264864865,8.92233827027027,1.3994954954954957,0.0,2.5081081081081082,0.37607250450450447,0.0,0.9282882882882882,80.9670614054054
2024-03-07,26.65245581981982,24.36855045045045,15.783211927927928,8.922842774774775,1.3996396396396396,0.0,2.5081081081081082,0.37016259459459455,0.0,0.9282882882882882,80.9332596036036
2024-03-08,26.650680612612614,24.391002522522523,15.797338054054055,8.904642954954955,1.3852972972972972,0.0,2.5081081081081082,0.3693698018018018,0.0,0.9282882882882882,80.93472763963963
2024-03-11,26.652194126126126,24.387254774774775,15.795031747747748,8.906372684684685,1.3741261261261262,0.0,2.5081081081081082,0.35971214414414415,0.0,0.9322522522522523,80.91505196396398
2024-03-12,26.633492756756755,24.395198234234233,15.802887603603605,8.908318630630632,1.3737657657657658,0.0,2.5081081081081082,0.3600725045045045,0.0,0.9322522522522523,80.91409585585586
2024-03-13,26.624859351351347,24.38157300900901,15.748112828828829,8.912430342342342,1.4025225225225224,0.0,2.508828828828829,0.3840004324324324,0.0,0.9322522522522523,80.89457956756758
2024-03-14,26.658473405405402,24.391086522522524,15.720220936936938,8.904170882882882,1.4046126126126126,0.0,2.5092612612612615,0.3877481801801802,0.0,0.9323243243243243,80.90789812612613
2024-03-15,26.68102936936937,24.384780216216217,15.719356072072072,8.90265736936937,1.392,0.0,2.5092612612612615,0.38724367567567564,0.0,0.9323243243243243,80.90865228828828
2024-03-18,26.66575023423424,24.388780216216215,15.618238954954954,8.950224936936937,1.3747027027027026,0.0,2.511783783783784,0.3918562882882883,0.0,0.9323243243243243,80.83366144144144
2024-03-19,26.69906702702703,24.390293729729727,15.609157873873874,8.942801513513514,1.3608648648648647,0.0,2.511783783783784,0.3918562882882883,0.0,0.9396036036036035,80.84542868468468
2024-03-20,26.697841801801804,24.425341117117117,15.540617333333334,8.926564936936938,1.3676396396396397,0.0,2.513297297297297,0.3916400720720721,0.0,0.9396036036036035,80.80254580180181
2024-03-21,26.717445405405403,24.471168756756757,15.329518234234236,8.92571027027027,1.3955315315315315,0.0,2.5140180180180183,0.3923607927927928,0.0,0.968,80.713753009009
2024-03-22,26.71787783783784,24.60888972972973,15.285842558558556,8.893281441441442,1.4144864864864866,0.0,2.5161081081081083,0.3926490810810811,0.962018018018018,0.9752792792792793,81.76643254054055
2024-03-25,26.73075855855856,24.55385372972973,15.165188144144146,8.913948828828829,1.4184504504504505,0.0,2.5171891891891893,0.3974058378378378,0.962018018018018,0.9824864864864865,81.64129924324325
2024-03-26,26.733785585585583,24.632702882882885,15.135756396396397,8.888554234234235,1.4642882882882882,0.0,2.5192792792792793,0.4062707027027027,0.962018018018018,0.9824864864864865,81.72514187387388
2024-03-27,26.740707783783783,24.71879326126126,15.102747387387389,8.88804972972973,1.4717117117117116,0.0,2.520144144144144,0.4176580900900901,0.962018018018018,0.9835675675675676,81.80539769369369
2024-03-28,26.774077153153154,24.648861153153153,15.062848792792794,8.870056936936937,1.469981981981982,0.0,2.529873873873874,0.40821664864864865,0.962018018018018,1.0001441441441443,81.7260787027027
2024-04-02,26.842847063063065,24.634825117117117,14.921371315315316,8.864056936936937,1.484828828828829,5.081081081081082,2.532252252252252,0.4227031351351352,0.962018018018018,0.9792432432432432,86.72522699099099
2024-04-03,26.82641463063063,24.830287135135134,14.79214609009009,8.882363243243244,1.4311351351351351,5.105009009009009,2.5300180180180183,0.4222707027027027,0.962018018018018,0.9787387387387387,86.76040072072072
2024-04-05,26.807697333333337,24.809169801801804,14.783487747747747,8.880417297297297,1.4167927927927928,5.105009009009009,2.528144144144144,0.4228472792792793,0.962018018018018,0.9787387387387387,86.69432216216217
2024-04-08,26.78220324324324,24.801804756756756,14.795812072072072,8.86721081081081,1.4044684684684683,5.134918918918919,2.528144144144144,0.4228472792792793,0.962018018018018,0.9787387387387387,86.67816645045046
2024-04-09,26.77953657657658,24.76576183783784,14.795812072072072,8.883506306306305,1.4044684684684683,5.154306306306307,2.539099099099099,0.4220544864864865,0.962018018018018,0.9806846846846847,86.68724785585586
2024-04-10,26.768100360360357,24.724538738738737,14.910983243243242,8.877091891891892,1.3225225225225226,5.158558558558559,2.545081081081081,0.4147031351351351,0.962018018018018,0.9806846846846847,86.66428223423424
2024-04-11,26.80994018018018,24.694338666666667,14.864957153153153,8.88638918918919,1.3084684684684684,5.158558558558559,2.5507747747747747,0.4152076396396397,0.962018018018018,0.9772252252252253,86.62787787387387
2024-04-12,26.819200396396397,24.69369354954955,14.819695891891893,8.886100900900901,1.2962882882882882,5.166774774774774,2.550054054054054,0.4152076396396397,0.962018018018018,0.9765765765765766,86.58561009009009
2024-04-15,26.814659855855854,24.670863243243243,14.919587783783783,8.867823423423424,1.298018018018018,5.17427027027027,2.5499099099099096,0.4166490810810811,0.962018018018018,0.9767927927927929,86.65059239639639
2024-04-16,26.845168324324327,24.625873981981982,14.852272468468469,8.87895135135135,1.2866306306306305,5.247783783783784,2.571171171171171,0.4142707027027027,0.962018018018018,0.9762162162162161,86.66035664864864
2024-04-17,26.842934090090093,24.613477585585585,14.75425445045045,8.88169009009009,1.2799279279279279,5.3385945945945945,2.5703063063063065,0.42162205405405406,0.962018018018018,0.9765765765765766,86.6414016936937
2024-04-18,26.802501657657658,24.688920432432433,14.732632828828828,8.88860900900901,1.2840360360360359,5.374630630630631,2.5718198198198197,0.4767571891891892,0.9614414414414414,0.9765765765765766,86.75792562162162
2024-04-19,26.80181772972973,24.735046558558558,14.63390036036036,8.881906306306306,1.2905945945945945,5.458882882882883,2.5726846846846847,0.48821664864864867,0.9614414414414414,0.9765765765765766,86.80106778378378
2024-04-22,26.802629909909907,24.787734954954953,14.550801261261261,8.904032432432432,1.2872792792792793,5.53527927927928,2.5717477477477475,0.4857661981981982,0.9621621621621621,0.9765765765765766,86.8640098018018
2024-04-23,26.806614486486485,24.913898594594595,14.4937089009009,8.89451891891892,1.289945945945946,5.62572972972973,2.5717477477477475,0.484613045045045,0.9621621621621621,0.9765765765765766,87.0195161081081
