date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CITIBANK N.A.,BNP PARIBAS,BOCI SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,VALUABLE CAPITAL LTD,INTERACTIVE BROKERS HONG KONG LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-01,0.0,95.1973032410566,0.0,0.0,0.0,0.0,0.0,4.802696758943404,0.0,0.0
2024-03-04,0.0,95.19723620832373,0.0,0.0,0.0,0.0,0.0,4.802763791676272,0.0,0.0
2024-03-05,0.0,95.19716917568526,0.0,0.0,0.0,0.0,0.0,4.802830824314738,0.0,0.0
2024-03-06,0.0,95.1971021431412,0.0,0.0,0.0,0.0,0.0,4.802897856858803,0.0,0.0
2024-03-07,0.0,81.38763322395907,0.0,14.506126026588332,0.0,0.0,0.0,4.106240749452592,0.0,0.0
2024-03-08,0.4269980646310293,81.04181715581122,0.0,14.442331503593223,0.0,0.0,0.0,4.088853275964536,0.0,0.0
2024-03-11,0.3741230866793422,71.0063929309097,0.0,12.653944100752627,12.382902421891599,0.0,0.0,3.5826374597667314,0.0,0.0
2024-03-12,0.3743667017952381,70.98157459156336,0.0,12.662131325574478,12.39096570992713,0.0,0.0,3.5909616711397927,0.0,0.0
2024-03-13,0.37445939417970164,70.97849003858244,0.0,12.665266441863743,12.38988077136055,0.0,0.0,3.591903354013563,0.0,0.0
2024-03-14,0.3578022074825908,67.82113311703513,0.0,12.101873692289582,11.838738083070949,0.0,0.0,3.4787372188315895,4.401715681290155,0.0
2024-03-15,0.35768147338563794,67.7982480618567,0.0,12.097790126673942,11.834743307964397,0.0,0.0,3.5012639965737264,4.41027303354559,0.0
2024-03-18,0.32943459523988394,62.44407404391953,0.0,11.14249401811298,10.900128079107057,7.8970308973961885,0.0,3.224854115401811,4.061984250822551,0.0
2024-03-20,0.32944952680634154,62.44690431085247,0.0,11.142999049740926,10.896043392887997,7.897388828965508,0.0,3.225046531185581,4.062168359561182,0.0
2024-03-21,0.3294748221399743,62.444020961486004,0.0,11.143854615937558,10.896879997680154,7.897995195249269,0.0,3.2252941522059486,4.062480255301096,0.0
2024-03-22,0.32947558410787575,62.444165374158565,0.0,11.143649120627813,10.896905198612746,7.898013460738527,0.0,3.225301611260333,4.062489650494133,0.0
2024-03-25,0.3294754317140135,62.444136491570625,0.0,11.143643966304365,10.896900158416903,7.898009807633917,0.0,3.2253463729081333,4.062487771452049,0.0
2024-03-26,0.32947573650187895,62.444194256773244,0.0,11.143469260939131,10.896910238813252,7.897970860342292,0.0,3.2254881170922483,4.0624915295379544,0.0
2024-03-27,0.3294754317140135,62.444136491570625,0.0,11.143458952458618,10.896900158416903,7.897963554172479,0.0,3.225577640215317,4.062487771452049,0.0
2024-03-28,0.32949051939027557,62.43774488149009,0.0,11.143969245138832,10.897399160424412,7.898325225804914,0.0,3.2303971627005144,4.0626738050509585,0.0
2024-04-02,0.32949036698259687,62.437716000562716,0.0,11.143917834875534,10.897347864213483,7.898321572390499,0.0,3.2305344351366574,4.062671925838515,0.0
2024-04-03,0.32940031870266734,62.42018961599084,0.0,11.140826007828739,10.894369666580719,7.896162995560356,0.0,3.2574897800125213,4.06156161532416,0.0
2024-04-05,0.32936148058212783,62.41282993018984,0.0,11.139466205322563,10.892206648282114,7.885984501366543,0.0,3.2571519414042753,4.082999292852542,0.0
2024-04-08,0.3293585871279986,62.413946165011325,0.0,11.139368344654605,10.892110959799515,7.885915222668929,0.0,3.2563372972015,4.082963423536122,0.0
2024-04-10,0.3293582825568371,62.41388844831949,0.0,11.139404280647117,10.892100887425466,7.885907930245252,0.0,3.2563805229505762,4.082959647855265,0.0
2024-04-11,0.31034148963690217,58.8101776725178,0.0,10.49622706095796,10.2632026996185,7.430584089803293,5.773892422654708,3.068360614683129,3.847213950127701,0.0
2024-04-12,0.3104011276167223,58.75607201512884,0.0,10.498244109269422,10.26478278648721,7.432012016905524,5.7750019851569325,3.11553269447034,3.8479532649650108,0.0
2024-04-15,0.31039869296478273,58.75561115796059,0.0,10.498161765591808,10.264702273979049,7.431953723423762,5.7749566885438295,3.1162926142491547,3.847923083287025,0.0
2024-04-16,0.3103988282222218,58.75563676094694,0.0,10.498122764817287,10.264706746863034,7.431956961926536,5.774959205003693,3.116293972185796,3.847924760034492,0.0
2024-04-17,0.31039869296478273,58.75561115796059,0.0,10.498118190221408,10.264702273979049,7.431953723423762,5.7749566885438295,3.116336189619556,3.847923083287025,0.0
2024-04-19,0.31030742107930304,58.73833423143208,0.0,10.495031247322073,10.261683966390557,7.43151088007494,5.773258578347256,3.1431256258670706,3.8467480494867203,0.0
2024-04-22,0.311087053115292,58.6412608114407,0.0,10.521355821846155,10.28746593942738,7.450182183319172,5.787763604762906,3.151022573424885,3.8498620126635066,0.0
2024-04-24,40.07318198393812,18.879165880617872,0.0,10.521355821846155,10.28746593942738,7.450182183319172,5.787763604762906,3.151022573424885,3.8498620126635066,0.0
2024-04-25,40.08368519356815,18.884114123484228,0.0,10.524113476724505,10.290162291600435,7.452134881392529,5.789280581739036,3.1518484586927658,3.824660992798349,0.0
2024-04-26,40.08389531392018,18.880412634516897,0.0,10.524168644566927,10.290216233060974,7.4521739457948435,5.789310929389656,3.151908664495442,3.8279136342550766,0.0
2024-04-29,40.089131524059724,18.869815879821473,0.0,10.525543430079548,10.291560457073027,7.453147432739438,5.790067194427074,3.152320402326276,3.8284136794734365,0.0
2024-04-30,17.414747152933884,8.179999542613304,0.0,4.572853909835418,4.470661158161946,3.2376525282618953,2.515209293793993,1.3694651109319311,1.6630656162967827,0.0
2024-05-02,40.104217352224914,18.837756304756535,0.0,10.530771736706786,10.2954332452005,7.455952105656652,5.792246038304189,3.1537688781087163,3.8298543390417077,0.0
2024-05-03,40.10419982435212,18.83774807156267,0.0,10.530767134147762,10.295428745498072,7.455948846972436,5.792243506756176,3.153811205537891,3.8298526651728704,0.0
2024-05-06,40.10418229649465,18.837739838376006,0.0,10.530762531592764,10.295424245799573,7.455945588291069,5.792240975210375,3.153853532930067,3.829850991305496,0.0
2024-05-07,40.10418229649465,18.837739838376006,0.0,10.530762531592764,10.295424245799573,7.455945588291069,5.792240975210375,3.1538972387203543,3.829807285515209,0.0
2024-05-09,40.10412971301417,18.837715138859185,0.0,10.530748723951906,10.295410746727683,7.455935812264059,5.792233380586253,3.154024220617582,3.829802263979171,0.0
