date,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,NANYANG COMMERCIAL BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,34.77290221747551,17.221320008586417,10.139301292650053,17.18592506724274,2.7818223626284113,6.204946964655181,0.0,3.278683166477852,4.538000956302627,3.8770979639812144
2024-03-04,34.52022823466104,17.10324603102294,10.094803982225395,17.06368660224069,2.767493905181512,6.861069681436294,0.0,3.2554563213283387,4.483652766455372,3.850362475448421
2024-03-05,34.49696180742429,17.089427689386937,10.153363553798744,17.058734812302845,2.766070431938241,6.857976231807629,0.0,3.2492724931351247,4.480520422799908,3.847672557406275
2024-03-06,34.51954935891388,17.08744805037683,10.18239137760221,17.069493185853517,2.7902973649291263,6.728023138929527,0.0,3.251159722232037,4.447406429739399,3.9242313714234847
2024-03-07,34.52614963711535,17.090034798408578,10.211045621771612,17.07275694235895,2.806821256775924,6.7600314987945636,0.0,3.2551835647748266,4.4499578957248795,3.8280187842753173
2024-03-08,34.55206305024367,17.122527907600794,10.185432365539336,17.091789034688357,2.814476422306823,6.694390402830488,0.0,3.2570363695885285,4.458805800426348,3.823478646775665
2024-03-11,34.55829011444782,17.127871354272816,10.173849773130447,17.081109403196702,2.8217075353838537,6.698263290871577,0.0,3.2585063460961203,4.456730706924077,3.82367147567658
2024-03-12,34.56188565351548,17.082652515612136,10.169637911148403,17.092093609649414,2.806703564585147,6.408719856210868,0.0,3.258684775013691,4.471451949541976,4.148170164722885
2024-03-13,33.25038553442889,16.433617021056968,9.799147702227584,16.38305840975117,2.7252988618391365,6.112108190874833,3.8688882852513116,3.134874840776753,4.302383582955641,3.9902375708377193
2024-03-14,33.28558435389633,16.451622964443747,9.764376294743723,16.39517619570081,2.707761324289496,6.049669590542052,3.913914398606956,3.1366461631823306,4.301652845692223,3.9935958689023283
2024-03-15,33.307174877868086,16.463191829729823,9.757739594701063,16.40492652150882,2.708751399073789,6.184576239920494,3.91487119530251,3.1383973525507134,4.301884092462006,3.818486896882699
2024-03-18,33.39469557413627,16.490975699674273,9.807448570447278,16.4341159332205,2.70796425188203,5.9915266489473495,3.924191729799386,3.1458692563069475,4.320038016884166,3.7831743187018043
2024-03-19,33.31326264383861,16.476692323948473,9.789449238087194,16.396515022018864,2.672847411538604,6.214721132251564,3.914429819525932,3.1396840072450485,4.310931878407104,3.771466523138605
2024-03-20,33.31506619193804,16.476764067770034,9.79949457612158,16.399371406029477,2.660195616282921,6.211284264179815,3.9146417430032825,3.1393618136249377,4.312149614329753,3.7716707067201587
2024-03-21,33.38900425429986,16.549174429582877,9.843372631545336,16.43675147624076,2.6934200894889275,5.929532593289267,3.9233683756094586,3.1491553679754687,4.321762382980775,3.764458398987264
2024-03-22,33.309815336914326,16.283312422279668,9.8300330819809,16.406790166664926,2.701959132384224,6.349890363521888,3.9148834647462096,3.140866328523447,4.311512431179302,3.7509372718051104
2024-03-25,33.29304120905742,16.353092403709237,9.815964441443741,16.385029995827942,2.6978774618792905,6.348005637091313,3.913721478646258,3.1381302478483466,4.310232720669418,3.744904403827029
2024-03-26,33.40247595143172,16.440193484090464,9.830731282347065,16.44393750230701,2.725494576404387,5.910923600732578,3.9261024916527187,3.142793573755914,4.33192876568216,3.8454187715959884
2024-03-27,33.31604005790871,16.42178444945386,9.783055767099562,16.409111743359766,2.7151638473490753,6.142564933728313,3.914891126047832,3.139725875456666,4.322104341661348,3.8355578579348704
2024-03-28,33.40988121160429,16.430673150146962,9.862932289948096,16.461089781131125,2.7198500931693856,5.96706153111716,3.925918183862097,3.1485695284817137,4.329507017093133,3.74451721344604
2024-04-02,33.317112191116564,16.44993969293947,9.823145695238539,16.412000651882366,2.7280863984404493,6.1121041372766705,3.915306329681498,3.1408792947515654,4.319773278922575,3.7816523297503006
2024-04-03,33.29979422559551,16.44205212273138,9.837167426530657,16.402822348522204,2.7255767713418275,6.109833939782774,3.915576627215886,3.1606059650200446,4.326869113899568,3.7797014593601466
2024-04-05,33.36716752195399,16.357586996083615,9.8412170648426,16.402575769069053,2.724286821139179,6.118059939505912,3.9209373250350454,3.1613356982248444,4.321549297232018,3.785283566913747
2024-04-08,33.365135820561584,16.359087528646803,9.860514214455259,16.38813248266654,2.72450984251648,6.11478479080653,3.921133935771863,3.163789203600636,4.320203405664905,3.782708775309397
2024-04-09,33.36461429281055,16.36442560226375,9.860117321448012,16.3836942071598,2.7244001789754964,6.113224356263774,3.9201546635229336,3.1628404150386356,4.326929641364038,3.7795993211530114
2024-04-10,33.34681853198284,16.37194390265091,9.940809706400183,16.26103136249674,2.740032873825633,6.161163035158308,3.9185461387213696,3.160885747444347,4.323019330656854,3.775749370662812
2024-04-11,33.38342038632321,16.39949647897985,9.732367386470548,16.256621165771886,2.6893495687297224,6.206974656281464,3.9226046958291167,3.16120537216584,4.3144276035017315,3.9335326859466355
2024-04-12,33.39224501231565,16.420154530056475,9.716669133814532,16.258923300903263,2.6688109107805977,6.206618546286608,3.923834866931794,3.15101229444425,4.302786936879818,3.958944467587014
2024-04-15,33.404983496702826,16.452764893855097,9.646280913379835,16.251365217820453,2.6785450980904884,6.38740018896839,3.9227353796455486,3.1482434610615866,4.290234364919078,3.817446985556698
2024-04-16,33.38714271687001,16.439869604620796,9.64441568989809,16.24383607972541,2.695519612898471,6.384317497457702,3.92064034318916,3.145247414552505,4.288764710753507,3.8502463300343535
2024-04-17,33.416994208893854,16.447824924913572,9.672118202866917,16.252274037443232,2.732798978669056,6.265910761914027,3.9266129606232596,3.1497043629610215,4.28519779951309,3.850563762201968
2024-04-18,33.448774229666725,16.541345238797096,9.711954371113372,16.261496855650645,2.7823463543103886,5.975439943433406,3.930153782082366,3.1517220529466767,4.300256552056079,3.896510619943249
2024-04-19,33.37127555842926,16.503923345404175,9.698978586952405,16.220042378846987,2.8473462843495043,6.262312019527869,3.9210478670560356,3.152961014217125,4.279617226456189,3.742495718760446
2024-04-22,33.38826766971283,16.354464427722796,9.77727209337791,16.227198754675225,2.888941172714732,6.280589580682383,3.923334045313781,3.1602225928269703,4.283755874340959,3.715953788632418
2024-04-23,33.38634328236322,16.355000790456764,9.790183706398201,16.227085128570774,2.91720392701727,6.139081062719446,3.9231079175469925,3.1659534884732903,4.262967597967533,3.8330730984865085
2024-04-24,33.368022657067065,16.254794557930108,9.80020280863413,16.224056616981017,2.9172337473557333,6.137435473551686,3.927477578901253,3.1664928908163152,4.262922647252975,3.9413610215097177
2024-04-25,33.368837016121304,16.278528387042336,9.82098522988853,16.229875987463906,2.935711689840671,6.067598537506763,3.931024695390638,3.1673919000036417,4.2686144477436025,3.9314321089986053
2024-04-26,33.443587562846425,16.29835411794904,9.831058226439936,16.265899107406458,2.939681597843236,5.899405887828926,3.9393753649503442,3.1704006475858146,4.273606802005828,3.9386306851439983
2024-04-29,33.39276079388805,16.257466658096593,9.81693954495334,16.2286792106404,2.94097022856183,6.171687534695466,3.937500030888658,3.1576880090317623,4.266782945237332,3.8295250440065614
2024-04-30,23.431207954158566,11.394848955237661,6.8404378711200104,11.38895875771093,2.018662034819641,4.414894715885812,2.7625127962468192,2.2100962531666024,2.9821570980939796,2.697591420311265
2024-05-02,33.419985237563395,16.26148138142567,9.71974894517934,16.212257703986214,2.886887904764857,6.2104003213285,3.9400812538946255,3.1533399382787057,4.23508126396038,3.960736049618311
2024-05-03,33.437014326176886,16.282076255432465,9.818390113815543,16.225246090521534,2.9019847916544936,6.1556127603847095,3.9424772820762497,3.1569046130339125,4.240950840299393,3.83934292660482
2024-05-06,33.42207712974369,16.333496310463847,9.81255390749272,16.2261258743258,2.900259806010874,6.218456120067082,3.9417799090973573,3.1604602219305833,4.229047194307734,3.7557435265603187
2024-05-07,33.4406084639155,16.33901618775916,9.817269336637677,16.236887749633738,2.901653527741847,6.244723177588641,3.9400509784408553,3.1657668275773454,4.222515643474323,3.6915081072309084
2024-05-08,33.46809675526766,16.392169478458854,9.789737123784942,16.22600535863624,2.9096427215451732,6.105847011933441,3.943289713446368,3.16622638301223,4.195658900910787,3.80332655300431
2024-05-09,33.370196785892034,16.34995501779733,9.76437514387783,16.17917394025605,2.9305287347755606,6.340228829426577,3.933756402951981,3.160407110182564,4.179483152042949,3.791894882797122
2024-05-10,33.4329349948595,16.37985415580377,9.84677623794625,16.222048690314374,2.9725744113081656,6.1580302363774635,3.9413462425923376,3.169016016448948,4.187547099998592,3.6898719143506002
2024-05-13,33.373960167261856,16.324167092893095,9.832529940938839,16.15809239602266,2.921634103519851,6.431248960706829,3.934393810351638,3.1615678387412096,4.186899826634697,3.675505862929322
