date,TIGER BROKERS (HK) GLOBAL LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,BNP PARIBAS,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,21.624155207115393,12.16459433959582,8.120254101913536,0.0,0.0,3.1832094853732356,5.296061916599343,3.0390272493656543,11.176959032515226,1.362739674428154,65.96700100690636
2024-03-04,21.62243208508363,12.145991858765337,8.135151870375733,0.0,8.389398698474237,3.1730430653858472,5.319510333519747,3.0390272493656543,11.165327958800841,1.4457941563590224,74.43567727613005
2024-03-05,21.620708963051868,12.161844581457535,8.120591489207355,0.0,8.389398698474237,3.172181504369967,5.324248919107088,3.0512614157911555,11.163346368464316,1.4301999019715876,74.43378184189511
2024-03-06,21.620708963051868,12.209500967489943,8.124813138185168,0.0,8.389398698474237,3.19794217874479,5.334243026891301,3.0576369673086705,11.1456318124168,1.3706660357742535,74.45054178833703
2024-03-07,21.61381647492483,12.24163719338228,8.122831547848644,0.0,8.388881761864706,3.2375739854752874,5.308740820821241,3.0576369673086705,11.100141390778315,1.3774723677997085,74.44873251020368
2024-03-08,21.61381647492483,12.250683584049025,8.118696054972418,0.0,8.388881761864706,3.283753655926476,5.337430802650058,3.0576369673086705,11.014995211013092,1.362308893920214,74.42820340662949
2024-03-11,21.61381647492483,12.257576072176068,8.118696054972418,0.0,8.388881761864706,3.36129414735571,5.321319611653095,3.0662525774674743,10.96459389158409,1.3667890112027916,74.45921960320118
2024-03-12,21.61381647492483,12.292546833810652,8.118704670582575,0.0,8.388881761864706,3.363878830403351,5.323990450802325,3.0662525774674743,10.92117121638372,1.3505916641042406,74.43983448034388
2024-03-13,21.61381647492483,12.300602429309134,8.118747748633371,0.0,8.388881761864706,3.436422267940479,5.337603114853234,3.0662525774674743,10.78844188327244,1.3519701617296491,74.40273841999532
2024-03-14,21.61381647492483,12.303955280158533,8.140294011142913,0.0,8.388967917966296,3.3648265475208197,5.308205619118176,3.0398888103815342,10.664118628680901,1.3127691355070918,74.1368424254011
