date,EMPEROR SECURITIES LTD,KINGSTON SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,LONG BRIDGE HK LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,TIGER BROKERS (HK) GLOBAL LTD,CHINA MERCHANTS BANK CO LTD,CMB WING LUNG BANK LTD
2024-03-01,0.0,0.0,1.9385822602180987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,1.9378083262885943,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,1.9378325117238915,0.0,0.0,0.5814251362942635,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.4687319557505881,0.0,0.0,0.02760283730447421
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,0.46718408789157967,0.0,0.0,0.02905396342229464
2024-03-18,0.0,0.0,0.0,0.0,0.0,0.0,0.4667971209268275,0.0,0.0,0.0
2024-03-19,0.0,0.0,0.0,0.0,0.0,0.0,0.4836301838935445,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,0.0,0.0,0.566139941186555,0.437581115088043,0.0,0.0,0.0
2024-03-25,0.0,2.3314011490182995,0.0,0.0,0.0,0.0,0.43429189588765005,0.0,0.0,0.0
2024-03-26,0.0,2.3346903682186926,0.0,0.0,0.0,0.0,0.4330342532522057,0.0,0.0,0.0
2024-03-27,0.0,2.336431719560077,0.0,0.0,0.0,0.0,0.4325505445462655,0.0,0.0,0.0
2024-03-28,0.0,2.3376893621955217,0.0,0.0,0.0,0.0,0.4315831271343852,0.0,0.0,0.028860479939918582
2024-04-02,0.0,2.3391404883133418,0.0,0.0,0.0,0.0,0.43100267668725706,0.0,0.0,0.0
2024-04-03,0.0,2.3406883561723504,1.9376390282415155,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.0,2.3427199327372987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-08,0.0,2.3444612840786836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-09,0.0,2.34610589367888,0.0,0.0,0.18960365484571096,0.0,0.0,0.0,0.0,0.0
2024-04-10,0.0,2.349782079844025,0.0,0.0,0.0,0.0,0.43032548449894087,0.0,0.0,0.0
