date,HSBC BROKING SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD
2024-07-16,83.33333333333334,0.0,16.666666666666664
2024-08-01,96.15384615384616,0.0,3.8461538461538463
2024-10-15,92.5925925925926,0.0,7.4074074074074066
2024-11-18,86.20689655172413,0.0,13.793103448275861
2024-12-12,75.75757575757575,12.151515151515152,12.090909090909092
2024-12-17,75.75757575757575,12.181818181818182,12.06060606060606
2024-12-20,75.75757575757575,12.212121212121211,12.03030303030303
2024-12-27,75.75757575757575,12.242424242424242,12.0
2025-01-02,75.75757575757575,12.181818181818182,12.06060606060606
2025-01-03,75.75757575757575,12.121212121212121,12.121212121212121
2025-01-06,70.14590347923682,11.22334455667789,18.6307519640853
2025-02-04,76.59313725490196,12.254901960784313,11.151960784313726
2025-02-28,78.5175879396985,12.562814070351758,8.919597989949748
2025-03-04,82.23684210526315,13.157894736842104,4.605263157894736
2025-03-06,85.88114050154586,13.740982480247338,0.37787701820680175
