date,CCB INTERNATIONAL SECURITIES LTD,ORIENT SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA GALAXY INTERNATIONAL SECURITIES,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FORTUNE (HK) SECURITIES LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-06,0.0,0.0,0.0,0.0,88.42792693314824,0.0,0.0,0.0,0.0,11.572073066851752
2024-03-07,0.0,78.23014518303013,0.0,0.0,13.024277287249122,7.0411624920943705,0.0,0.0,0.0,1.7044150376263791
2024-03-08,0.0,75.25748469984535,0.0,0.0,12.529368907323926,6.773605970922629,3.799891303064603,0.0,0.0,1.6396491188434892
2024-03-19,0.0,73.33531518433085,0.0,0.0,12.209353282853517,6.6005996718237006,3.7093713231106142,0.0,2.547590091504113,1.5977704463772053
2024-03-25,0.0,73.34426077916171,0.0,0.0,12.21084260525352,6.588988792847792,3.7098237999677783,0.0,2.5479008518614723,1.5981831709077219
2024-03-28,0.0,73.3466572912237,0.0,0.0,12.21124159259458,6.585936602905432,3.7099450178707203,0.0,2.5479841041167863,1.5982353912887801
2024-04-03,0.0,73.3466572912237,0.0,0.0,12.21124159259458,6.585936602905432,3.528055069427742,0.0,2.5479841041167863,1.7801253397317585
2024-04-05,0.0,73.34601820602754,0.0,0.0,12.21113519342089,6.58653270935038,3.528024328725311,0.0,2.547961902983413,1.780327659492471
2024-04-09,0.0,73.34266319145527,0.0,0.0,12.210576628177408,6.5862314262847,3.532437177467599,0.0,2.5478453533802696,1.780246223234756
2024-04-10,0.0,73.34298270342873,0.0,0.0,12.210629822665663,6.577982907026364,3.5346307798772743,0.0,2.527163423642781,1.8066103633591815
2024-04-11,0.0,73.32828803336828,0.0,0.0,12.208183355807341,6.577318305120164,3.5339225971557475,0.0,2.5266570925483745,1.8256306160000881
2024-04-15,0.0,73.33148202594143,0.0,0.0,12.208715113032495,6.573249052182463,3.534076525780458,0.0,2.526767147265386,1.8257101357977705
2024-04-18,0.0,73.32397658471437,0.0,0.0,12.207465557027254,6.5725762833651835,3.5337148147809887,0.0,2.526508533886871,1.8357582262253338
2024-04-19,0.0,73.32461528585647,0.0,0.0,12.206700825016968,6.57263353492428,3.5337455958132398,0.0,2.526530541475129,1.835774216913923
2024-04-23,0.0,73.40627164882511,0.0,0.0,12.16933473624642,6.552513961941961,3.522928401755769,0.0,2.5187965463647726,1.830154704865974
2024-04-24,0.0,73.45945451923953,0.0,0.0,12.144998165466978,6.539410064048258,3.5158831525076844,0.0,2.5137593876574,1.8264947110801484
2024-04-25,0.0,73.4592953578938,0.0,0.0,12.144971851437496,6.539395895398179,3.5158755347994175,0.0,2.513753941206298,1.8267074192648078
2024-04-26,0.0,73.50888647137265,0.0,0.0,12.12227905991581,6.527177081756838,3.509306146948761,0.0,2.5090570102605207,1.8232942297454275
2024-04-29,0.0,73.50507136884671,0.0,0.0,12.12164991506433,6.526838322037201,3.5091240143742084,0.0,2.508926790498026,1.8283895891795217
