date,YUANTA SECURITIES (HONG KONG) CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA MERCHANTS SECURITIES (HK) CO LTD,FULBRIGHT SECURITIES LTD,LONG BRIDGE HK LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SINOPAC SECURITIES (ASIA) LTD,ICBC (ASIA) SECURITIES LTD
2024-03-08,69.28215340789195,0.0,17.06188014349019,0.0,10.674720405148767,0.0,0.0,0.0,0.0,2.981246043469086
2024-03-11,69.2586330212031,0.0,17.05608785790329,0.0,10.705045171539787,0.0,0.0,0.0,0.0,2.980233949353821
2024-03-12,63.31533980055954,0.0,15.593357207532273,0.0,9.78641279865975,0.0,8.580399152099337,0.0,0.0,2.7244910411490952
2024-03-19,63.302941615064015,0.0,15.609885417247213,0.0,9.784496457981554,0.0,8.578718968740162,0.0,0.0,2.723957540967062
2024-03-20,63.27434894088563,0.0,15.648002746214546,0.0,9.780076996388065,0.0,8.574844132751771,0.0,0.0,2.722727183759995
2024-03-21,63.25530150349119,0.0,15.673395174800229,0.0,9.777132905971971,0.0,8.572262852825235,0.0,0.0,2.721907562911375
2024-03-22,46.27399942083178,26.768582656444238,11.454758263332156,0.0,7.2404836384977305,0.0,6.270982460892381,0.0,0.0,1.9911935600017177
2024-03-25,46.26970963946781,26.75591468024903,11.479052506578592,0.0,7.237057148737273,0.0,6.268014778308858,0.0,0.0,1.9902512466584272
2024-03-26,46.20025384754861,26.715751185446074,11.57347018390211,0.0,7.264655300303848,0.0,6.258605816515475,0.0,0.0,1.9872636662838807
2024-03-28,41.691269067067054,24.142670436333287,10.503397364078147,0.0,6.5603313707647075,5.228973506812094,5.6518205445507705,2.431692985859781,2.0121207550315425,1.7777239695026166
2024-04-02,41.665137728410976,24.145389631319265,10.536483772593161,0.0,6.5562194728882055,5.230853147546674,5.648278084942851,2.430168844370615,2.0108595938809413,1.7766097240473062
2024-04-03,41.65018484425793,24.136922553775353,10.537064520510327,0.0,6.5538665611830025,5.223424114715466,5.646251017411744,2.468952212133199,2.01013793178657,1.7731962442264053
2024-04-05,41.670510169163705,24.12886395984904,10.542206616775525,0.0,6.55706485352536,5.225973150035459,5.654759247962944,2.4354415564449337,2.011118880772073,1.7740615654709655
2024-04-10,41.66323704271543,24.12465253364089,10.550283576183766,0.0,6.555920390411862,5.225061014249715,5.6613091808471285,2.4350164770704437,2.0107678622253116,1.7737519226554512
2024-04-11,41.659766672781636,24.122643052986994,10.553371246114105,0.0,6.555374310207199,5.228988898860138,5.660837617940315,2.4348136505843097,2.0106003738391895,1.773604176686119
2024-04-12,41.66695583463294,24.11819467977209,10.55499429430293,0.0,6.554165456292179,5.228024639093593,5.659793722444358,2.4343646550160067,2.010229605974772,1.7732771124711368
2024-04-15,41.622553646219686,24.09249324315625,10.650509004008054,0.0,6.547181041816668,5.222255344814438,5.6537623908481285,2.431770486185733,2.0080874145924055,1.771387428358639
2024-04-16,41.630539367773096,24.105719294108088,10.629600966345377,0.0,6.55077524641708,5.217789395766591,5.656866135599501,2.427159933529073,2.0091897939183263,1.7723598665428677
2024-04-17,41.65431440222807,24.119485973941764,10.578561889058653,0.0,6.554516367948427,5.22076925441236,5.660096749214495,2.4285460748552183,2.010337234170181,1.7733720541708349
2024-04-18,41.652910260643,24.069100286430682,10.626984764346568,0.0,6.554295419191153,5.220593265458483,5.664070052081009,2.4284642100452003,2.0102694669256342,1.7733122748782744
2024-04-19,41.65613166716739,24.076910949756233,10.614123542575776,0.0,6.554802323748218,5.220997022437318,5.6645081072398495,2.4286520257440687,2.010424939739803,1.773449421591345
2024-04-22,41.64300136490557,24.06119376207426,10.643488052367967,0.0,6.552736204491996,5.219351327883623,5.6696611327031174,2.427886497743495,2.00979123982392,1.7728904180060483
2024-04-23,41.641515437155626,24.06033519774566,10.646676519010365,0.0,6.552502386269361,5.219165088210194,5.669458824835439,2.427799864604613,2.0097195253826703,1.772827156786074
2024-04-24,41.666460046831624,24.0747481138915,10.597118099600017,0.0,6.556427546358052,5.222291536289551,5.668887912541295,2.429254194961187,2.0109234121430974,1.773889137383677
2024-04-26,41.66596416758818,24.074461596441555,10.59699198159287,0.0,6.556349517259162,5.222229384957925,5.670010562280262,2.429225284016245,2.010899479820094,1.7738680260437072
2024-04-30,41.681838159935154,24.034026476281376,10.620872072315192,0.0,6.558847369982369,5.224218961605126,5.663836749110297,2.4301507757056355,2.011665596807686,1.774543838257165
2024-05-02,41.678281996057564,24.031975968420856,10.619172287494036,0.0,6.558287789668126,5.223773247606416,5.672678860365057,2.4299434428530753,2.0114939677998267,1.7743924397350415
2024-05-07,41.677455068167816,24.031499156272602,10.61896159527473,0.0,6.558157668395786,5.223669604087985,5.674550384067093,2.4298952309809163,2.0114540582742326,1.7743572344788385
2024-05-08,41.6764627980132,24.030927006669305,10.618708775647264,0.0,6.55800152968451,5.223545237294542,5.676796114482303,2.429837379259581,2.011406168933913,1.774314990015386
2024-05-09,41.678033914245155,24.031832922789686,10.62902958592796,0.0,6.55824875274426,5.223742154119044,5.663319818295994,2.4299289790905476,2.011481994775861,1.774381878011494
2024-05-10,41.67712430619969,24.033490900613568,10.628797611194056,0.0,6.558105621332593,5.2236281478321684,5.663196218385274,2.429875946767721,2.011438094907419,1.7743431527675129
2024-05-13,41.69068985330061,24.041313596114744,10.5997080500582,0.0,6.560240228558499,5.225328394066926,5.665039540263192,2.4306668505825604,2.012092800784355,1.7749206862709102
2024-05-14,41.68622217371244,24.049453520735455,10.598572158580692,0.0,6.559537216651866,5.224768434682953,5.664432460322579,2.4304063741857385,2.0118771798395536,1.7747304812887288
2024-05-16,41.65728819105318,24.102170022260452,10.59121579748442,0.0,6.554984308612168,5.221141976073732,5.660500835386682,2.4287194538504635,2.0104807563595983,1.7734986589193023
2024-05-20,41.65728819105318,24.181494573704903,10.59121579748442,0.0,6.554984308612168,5.221141976073732,5.581176283942232,2.4287194538504635,2.0104807563595983,1.7734986589193023
2024-05-21,41.65348842512495,24.17849568761668,10.600164385137125,0.0,6.554386396287157,5.220665730061362,5.580667197431706,2.428497918416192,2.0102973705318323,1.7733368893929944
