date,ELSTONE SECURITIES LTD,CITIBANK N.A.,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,HANG SENG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,KINGKEY SECURITIES GROUP LTD,BANK OF CHINA (HONG KONG) LTD,CNI SECURITIES GROUP LTD
2024-03-07,80.84945966323197,0.0,0.0,0.0,0.0,19.15054033676803,0.0,0.0,0.0,0.0
2024-03-08,80.82914572864321,0.0,0.0,0.0,0.0,19.17085427135678,0.0,0.0,0.0,0.0
2024-03-11,80.80884199949762,0.0,0.0,0.0,0.0,19.191158000502387,0.0,0.0,0.0,0.0
2024-03-13,80.76826512678885,0.0,0.0,0.0,0.0,19.23173487321115,0.0,0.0,0.0,0.0
2024-03-18,80.70747616658304,0.0,0.0,0.0,0.0,19.292523833416958,0.0,0.0,0.0,0.0
2024-03-19,80.68723350890393,0.0,0.0,0.0,0.0,19.312766491096063,0.0,0.0,0.0,0.0
2024-04-09,80.64677864126347,0.0,0.0,0.0,0.0,19.353221358736526,0.0,0.0,0.0,0.0
2024-04-18,80.6265664160401,0.0,0.0,0.0,0.0,19.3734335839599,0.0,0.0,0.0,0.0
2024-05-06,80.60636431971938,0.0,0.0,0.0,0.0,19.39363568028063,0.0,0.0,0.0,0.0
2024-05-13,80.58617234468937,0.0,0.0,0.0,0.0,19.413827655310623,0.0,0.0,0.0,0.0
2024-05-23,80.56599048334586,0.0,0.0,0.0,0.0,19.434009516654143,0.0,0.0,0.0,0.0
2024-06-20,62.068300212232295,0.0,0.0,0.0,23.133320470769824,14.798379316997877,0.0,0.0,0.0,0.0
2024-06-21,62.05632716049383,0.0,0.0,0.0,23.128858024691358,14.814814814814813,0.0,0.0,0.0,0.0
2024-07-09,49.423874635120605,0.0,0.0,20.341066216008606,18.420648333077278,11.814410815793517,0.0,0.0,0.0,0.0
2024-07-22,49.431468961278426,0.0,0.0,20.344191763982792,18.423478795328826,11.800860479409957,0.0,0.0,0.0,0.0
2024-07-24,49.423874635120605,0.0,0.0,20.341066216008606,18.420648333077278,11.814410815793517,0.0,0.0,0.0,0.0
