date,UOB KAY HIAN (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHIEF SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS VICKERS (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,53.931240657698055,38.176382660687594,0.0,0.0,0.0,0.0,7.8923766816143495,0.0
2024-03-07,0.0,53.89901404242605,38.15357036151777,0.0,0.0,0.0,0.0,7.947415596056169,0.0
2024-03-11,0.0,53.858784893267654,38.12509329750709,0.0,0.0,0.0,0.0,8.016121809225258,0.0
2024-03-12,51.91299978465294,25.89907400760893,18.333213696073507,0.0,0.0,0.0,0.0,3.8547125116646326,0.0
2024-03-13,51.89809831359885,25.920344456404738,18.32795120200933,0.0,0.0,0.0,0.0,3.853606027987083,0.0
2024-03-15,49.6124031007752,24.75132057350621,17.520751869383275,0.0,0.0,4.431638883172121,0.0,3.6838855731632023,0.0
2024-03-19,49.6023038946791,24.73944048272079,17.53976961053209,0.0,0.0,4.429511793746572,0.0,3.688974218321448,0.0
2024-03-20,49.65063707357172,24.715714481435814,17.522948349088914,0.0,0.0,4.425263734758186,0.0,3.6854363611453627,0.0
2024-03-21,49.61404467518273,24.646492246738166,17.644647858460278,0.0,0.0,4.41286973153904,0.0,3.6819454880797866,0.0
2024-03-22,44.624734123366764,21.926466119720452,15.69735642661805,0.0,10.549984807049528,3.9258584017016105,0.0,3.2756001215436035,0.0
2024-03-25,39.09386147047862,19.267422669435128,13.634669648086033,12.420806048022149,9.242400042591706,3.439280200181015,0.0,2.9015599212053456,0.0
2024-03-27,38.77594127897766,19.929239055816655,13.513228072028305,12.319797222368907,9.167238738976605,3.4113111897343824,0.0,2.883244442097481,0.0
2024-04-02,38.86048595372371,19.923048542665896,13.487587624519055,12.296421230169189,9.149844515891004,3.404838454646076,0.0,2.877773678385074,0.0
2024-04-05,37.95038089355569,19.636606959028207,13.171710932674491,12.008441424747787,8.935556928144946,3.3250977969940294,2.1669754992793906,2.805229565575458,0.0
2024-04-08,38.04504319210202,19.616412998765938,13.158165364047717,11.996092143150968,8.926367749897162,3.3216783216783217,2.164747017688194,2.771493212669683,0.0
2024-04-09,38.04431648758418,19.61338748650455,13.156135931314585,11.994241941288365,8.924991003033263,3.3211660068891056,2.16441314071256,2.781348002673384,0.0
2024-04-10,38.33624499023738,19.34539101839482,13.148700030829307,11.987462747919022,8.919946562532113,3.319288870619669,2.163189805775357,2.7797759736923235,0.0
2024-04-11,38.85405960945529,18.72045220966084,13.252826310380266,11.98869475847893,8.920863309352518,3.3196300102774927,2.163412127440904,2.7800616649537515,0.0
2024-04-12,38.862047697368425,18.724300986842106,13.234991776315788,11.991159539473683,8.922697368421053,3.3203125,2.1638569078947367,2.7806332236842106,0.0
2024-04-15,38.8671875,18.724300986842106,13.224712171052634,11.991159539473683,8.922697368421053,3.3203125,2.1638569078947367,2.7857730263157894,0.0
2024-04-18,39.18821469042958,17.85824662614608,13.227567734624499,12.017101061089935,8.942000618110642,3.6056454105284845,2.3230658287833523,2.8381580302874214,0.0
2024-04-19,39.25696594427245,17.693498452012385,13.400412796697628,12.063983488132095,8.957688338493291,3.611971104231166,2.17234262125903,2.843137254901961,0.0
2024-04-22,39.25696594427245,17.68833849329205,13.400412796697628,12.063983488132095,8.957688338493291,3.611971104231166,2.17234262125903,2.848297213622291,0.0
2024-04-26,39.30767243606304,17.582020149832083,13.41772151898734,12.079566003616636,8.969258589511755,3.616636528028933,2.1751485404288298,2.851976233531387,0.0
2024-05-08,39.295490935385565,17.576571458085844,13.444553483807656,12.075822529828004,8.966479004183668,3.6155157274934147,2.1744744589638967,2.8510924022519495,0.0
2024-05-13,39.295490935385565,17.550746345746603,13.444553483807656,12.075822529828004,8.966479004183668,3.6155157274934147,2.1744744589638967,2.8769175145911885,0.0
2024-05-23,39.234696508689595,17.667990304780567,13.449538445670672,12.041668815429839,8.952606879480172,3.60992212882265,2.1711103089061936,2.8724666082203085,0.0
2024-05-27,38.181270701595906,17.053096456890497,13.158687142426981,11.708320786911573,8.722272407909264,3.5129980929438926,2.112817424470541,2.7953427682424974,2.7551942186088527
2024-05-28,38.16786233883509,17.037074198565193,13.199217378217027,11.704209100486631,8.719209351326946,3.5117644107760997,2.1120754527667684,2.794361109717554,2.754226659308684
2024-05-29,38.15624843601421,17.186327010660126,13.137480606576247,11.67609228767329,8.698263350182673,3.5033281617536662,2.10700165156899,2.78764826585256,2.7476102297182323
2024-05-30,38.29893558542801,17.160561691069912,13.067812703013344,11.658587776722802,8.685223127279997,3.498076058168008,2.103842886412473,2.7834690919994003,2.7434910799060517
2024-05-31,38.27215980024969,17.188514357053684,13.038701622971285,11.65043695380774,8.679151061173533,3.495630461922597,2.102372034956305,2.8314606741573036,2.741573033707865
2024-06-03,38.34714043317696,17.092524204012378,13.030242539175566,11.642878530791496,8.673520311408325,3.4933626110390263,2.1010080846391856,2.879528895099311,2.73979439065775
2024-06-04,38.57221088266043,16.97615373126898,12.998456713297157,11.614477024941504,8.65236222432419,3.4848409419027235,2.0958829093443523,2.8725046049683876,2.7331109672922786
2024-06-05,38.704871629339024,16.92903610269653,12.966181655658737,11.58563837711675,8.620946516362913,3.4761881114366586,2.0906788498783335,2.900134081541441,2.7263246759696083
2024-06-06,38.619116115272064,17.05768563067308,12.950746490749468,11.56688656316651,8.610683993849513,3.4720499975199646,2.0881900699370073,2.9115619264917414,2.7230792123406578
2024-06-07,38.746594005449595,16.997770621748824,12.91057716125836,11.553133514986376,8.600445875650236,3.467921724052514,2.0857072083230124,2.9180084220956153,2.7198414664354718
2024-06-11,38.74275523851984,16.981225541189875,12.909298063109922,11.551988903749939,8.599593797988804,3.467578144350324,2.0855005696735525,2.942487739634418,2.719572001783326
2024-06-12,38.84047925537182,17.07594811367462,12.902267551242696,11.54569759382117,8.594910387167046,3.3666699673234977,2.1091197148232497,2.9012773541934846,2.663630062382414
2024-06-13,39.00232362683542,17.01191476739012,12.88376921936026,11.529144213180402,8.582587630395016,3.3124042121916246,2.1060958125278093,2.911949374598309,2.6598111435210363
2024-06-14,39.00232362683542,17.051465862461068,12.844218124289316,11.529144213180402,8.582587630395016,3.3124042121916246,2.1060958125278093,2.911949374598309,2.6598111435210363
2024-06-17,39.01402884805375,17.086544161232958,12.833432128037936,11.519462556806955,8.575380359612724,3.3096226042284136,2.104327208061648,2.9144437858130803,2.642758348152539
2024-06-19,39.10944734508915,17.03773027287952,12.850950645256626,11.486553048960694,8.550881686533346,3.3001674711851052,2.098315436902768,2.930745739336026,2.635208353856763
2024-06-20,39.14541695382495,17.0276656493059,12.843359259623904,11.479767647927536,8.545830461750517,3.2982179777493354,2.097075908240622,2.929014472777395,2.6336516687998426
2024-06-24,39.124231242312426,17.018450184501845,12.83640836408364,11.473554735547356,8.54120541205412,3.296432964329643,2.095940959409594,2.981549815498155,2.6322263222632225
2024-06-26,39.13193248363761,17.02180010826239,12.819251021111167,11.47581319816938,8.542886668963142,3.297081836523793,2.096353525909158,2.982136705870774,2.6327444515525813
