date,BOCOM INTERNATIONAL SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BANK OF CHINA (HONG KONG) LTD,CATHAY SECURITIES (HONG KONG) LTD,BOCI SECURITIES LTD,YUANTA SECURITIES (HONG KONG) CO LTD,FUTU SECURITIES INTERNATIONAL,CITIC SECURITIES BROKERAGE (HK) LTD
2024-03-01,0.0,0.0,0.0,65.1922000262064,34.807799973793614,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,50.66153133132602,27.06134940172438,0.0,0.0,22.2771192669496,0.0
2024-03-06,0.0,53.38073682518112,0.0,23.6180326197442,12.615801696247164,0.0,0.0,10.385428858827517,0.0
2024-03-08,0.0,53.38110541225364,0.0,23.61750521215441,12.615888806723552,0.0,0.0,10.385500568868396,0.0
2024-03-11,38.97840812948179,32.57355044834437,0.0,14.385876857934104,7.724222299454926,0.0,0.0,6.337942264784807,0.0
2024-03-12,38.923304266066424,32.52750114666698,0.0,14.351654935694425,7.868557350050439,0.0,0.0,6.3289823015217355,0.0
2024-03-13,38.964392920961195,32.50561863889303,0.0,14.342000022478581,7.863263867264725,0.0,0.0,6.324724550402467,0.0
2024-03-14,38.96447483630143,32.505686975869715,0.0,14.342030173848164,7.863280398304651,0.0,0.0,6.324527615676042,0.0
2024-03-15,38.95929030260946,32.500835764437355,0.0,14.339889741597208,7.870094463376214,0.0,0.0,6.32988972797976,0.0
2024-03-18,38.95085721232178,32.49380066497076,0.0,14.33678574293689,7.869021373544202,0.0,0.0,6.349535006226366,0.0
2024-03-19,38.95020236780744,32.49325437693917,0.0,14.336544711900117,7.87057028595004,0.0,0.0,6.349428257403232,0.0
2024-03-21,38.856085651647135,32.39359197009958,0.0,14.292572060371391,8.127796850379589,0.0,0.0,6.3299534675023095,0.0
2024-03-22,38.83824541489106,32.37697317957109,0.0,14.28523958358389,8.172835792118603,0.0,0.0,6.326706029835361,0.0
2024-03-25,38.820605509122075,32.36226791289719,0.0,14.278123473067303,8.215170595676192,0.0,0.0,6.323832509237246,0.0
2024-03-26,38.814953119935275,32.26631036375582,0.0,14.251456501633006,8.3552584035022,0.0,0.0,6.3120216111737,0.0
2024-03-27,38.79655455036872,32.25101589839734,0.0,14.244492394018081,8.397236979943095,0.0,0.0,6.310700177272764,0.0
2024-03-28,38.795744441799826,32.25034246683525,0.0,14.246283049717945,8.397061637732655,0.0,0.0,6.310568403914317,0.0
2024-04-02,38.77805838724024,32.23546680473465,0.0,14.23971186700709,8.466238026760605,0.0,0.0,6.280524914257417,0.0
2024-04-03,38.77908358956915,32.226578834065975,0.0,14.240088332110712,8.473558287419149,0.0,0.0,6.280690956835014,0.0
2024-04-05,38.77792055264062,32.224224805628495,0.0,14.239048148073222,8.480243944239339,0.0,0.0,6.278562549418328,0.0
2024-04-09,38.77735404513374,32.22584104439764,0.0,14.23884012950101,8.480537456803996,0.0,0.0,6.277427324163614,0.0
2024-04-10,38.77856801006002,32.224762838951,0.0,14.239285891026876,8.481846483008113,0.0,0.0,6.2755367769539845,0.0
2024-04-11,38.75567734158747,32.20574082755126,0.0,14.223788713896731,8.54296073754816,0.0,0.0,6.271832379416374,0.0
2024-04-12,38.720141231918674,32.176210528598524,0.0,14.20824583554457,8.62932083417214,0.0,0.0,6.266081569766089,0.0
2024-04-15,38.71949572403171,32.17567411532606,0.0,14.204883134391899,8.633761530119683,0.0,0.0,6.266185496130648,0.0
2024-04-16,38.718446819617974,32.174802481903065,0.0,14.203873176737345,8.633527643019486,0.0,0.0,6.26934987872213,0.0
2024-04-17,38.718446819617974,32.174802481903065,0.0,14.204915093133645,8.633527643019486,0.0,0.0,6.26830796232583,0.0
2024-04-18,38.71521977783615,32.17107899953106,0.0,14.213107631109684,8.660520736076627,0.0,0.0,6.2400728554464795,0.0
2024-04-19,38.71715593835109,32.17164600381551,0.0,14.213818433164995,8.66199573314523,0.0,0.0,6.235383891523174,0.0
2024-04-22,35.6797454199416,29.644867246647788,0.0,13.093425105033809,8.066162377685778,7.770146436682684,0.0,5.745653414008347,0.0
2024-04-23,35.68396964742402,29.644867246647788,0.0,13.093425105033809,8.066162377685778,7.770146436682684,0.0,5.741429186525924,0.0
2024-04-24,35.74911089538034,29.516433633656625,0.0,13.117327211772261,8.080887193581889,7.784330874139894,0.0,5.751910191468998,0.0
2024-04-25,35.73117163782476,29.50162199521823,0.0,13.099401211883007,8.187960905598473,7.743702133378402,0.0,5.736142116097133,0.0
2024-04-26,35.731996036406365,29.502302664063194,0.0,13.099703444563438,8.188726626582225,7.741958110389811,0.0,5.7353131179949655,0.0
2024-04-29,35.70844696345915,29.48209068506961,0.0,13.091070121317557,8.250003160016174,7.736855794356023,0.0,5.731533275781474,0.0
2024-04-30,35.707843336018215,29.37509157798626,0.0,13.08096033836052,8.263135564289826,7.736558490715825,0.0,5.836410692629353,0.0
2024-05-02,35.70681425849553,29.374245006374945,0.0,13.080583353334216,8.263473813319987,7.736335527979857,0.0,5.838548040495465,0.0
2024-05-03,35.707843336018215,29.37509157798626,0.0,13.08096033836052,8.263711968286684,7.736558490715825,0.0,5.835834288632494,0.0
2024-05-06,35.69700669675465,29.36617680629957,0.0,13.076990520103118,8.326125900149158,7.734210594968766,0.0,5.799489481724731,0.0
2024-05-07,35.69673243682248,29.36595118610325,0.0,13.076890049647332,8.326830230086566,7.734151173065658,0.0,5.799444924274707,0.0
2024-05-09,35.69810377862771,29.36554266367832,0.0,13.065867481790272,8.34021171101123,7.734448291712311,0.0,5.79582607318016,0.0
2024-05-13,35.69817234848379,29.365599069784555,0.0,13.065700496423435,8.340227731109112,7.734463148243892,0.0,5.795837205955226,0.0
2024-05-14,35.69885806153301,29.366163142765206,0.0,13.065951470653719,8.340387935472878,7.734611716698818,0.0,5.794027672876371,0.0
2024-05-21,35.7021518089173,29.364132581444096,0.0,13.065048008544938,8.339811228564914,7.734076896970775,0.0,5.7947794755579745,0.0
