date,THE HONGKONG AND SHANGHAI BANKING,MORGAN STANLEY HONG KONG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CLSA LTD,PHILLIP SECURITIES (HONG KONG) LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,BNP PARIBAS
2025-04-15,31.393491268477558,7.366376631448104,12.538539343642988,10.81295165673479,5.705650812220475,2.5036863720006335,22.960309045930366,1.3801533043298115,2.25508475609013,3.0837568091251417
2025-04-16,30.773954438484786,7.06212445198361,14.269331390139886,10.599562781474358,7.488944105314714,2.4542772156586348,22.50719738146719,0.05972930678166549,2.21058164398944,2.5742972847057137
2025-04-17,34.0388029204921,11.806246536094303,12.258811458426418,12.202659723961732,8.335986004084688,6.718877400541631,7.1471631509422515,2.0402780755199736,2.6322210713811125,2.8189536585557833
2025-04-22,31.079100612873567,12.545450076564451,13.08110295765247,12.477613518106175,8.513986226750573,6.9256407276593945,6.493720330827162,2.369596431239824,3.608086408896892,2.9057027094294905
2025-04-23,31.39330238374354,12.710095706563102,13.226616122310947,11.21151067532988,8.377952434645193,6.924676944345079,6.438535871932189,3.1811341951570684,3.594461475288435,2.9417141906845705
2025-04-24,32.2684485738309,12.921363237168123,12.459631363998056,10.631183459317715,8.390266593539783,6.960724759607961,6.380314597897177,3.32852636198371,3.716303907317611,2.9432371453389616
2025-04-25,32.01594463993771,13.056818802478091,12.461433855686344,10.626566410029676,8.387051595971837,6.96005704261067,6.27358402049083,3.549449229804248,3.730935909739529,2.938158493251071
2025-04-28,32.21119756132091,13.282047574725212,12.700650334505081,9.632746255079326,8.433666784142561,6.9937316067388995,6.3786398701138305,3.603937551019179,3.7947726238994166,2.9686098384555835
2025-04-29,32.16497245768002,13.256004099122007,12.60845583689432,9.626306347247674,8.20368569750243,6.934411778022842,6.318563854589167,4.167247570745754,3.800815069649354,2.9195372885464352
2025-04-30,31.815990718237803,13.547063401757756,12.526666832840178,9.269352724631833,8.16274422821199,6.906115555988109,6.298134670621597,4.507946256631349,3.7204622867731616,3.245523324306225
2025-05-02,31.787812890362577,13.554804464541343,12.206069946443954,9.063751931722466,8.132280745307547,6.891365918114378,6.264500347477048,4.889486152474246,3.749914592534114,3.4600130110223266
