date,BOCI SECURITIES LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHINA MERCHANTS BANK CO LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,GUOYUAN SECURITIES BROKERAGE (HONG KONG),BANK OF CHINA (HONG KONG) LTD,TOTAL_CCASS_PCT
2024-03-15,0.0,0.0,0.0,1.3307083547812246,0.0,0.0,0.0,0.0,1.3307083547812246
2024-03-19,0.0,0.0,0.0,1.3455858541626484,1.268093888056482,0.0,0.0,1.3112657876989822,3.9249455299181126
2024-03-20,0.0,0.0,0.0,1.3427963230286313,1.270883419190499,0.0,0.0,1.3112657876989822,3.9249455299181126
2024-03-21,0.0,0.0,0.0,1.3288486673585465,1.2773923251698718,0.0,0.0,1.316844849967016,3.9230858424954342
2024-03-25,6.851742145274729,0.0,0.0,1.3241994488018516,1.3024981053760245,0.0,0.0,1.314985162544338,10.793424861996943
2024-03-26,6.851742145274729,0.0,0.0,1.3241994488018516,1.3117965424894142,0.0,0.0,1.314985162544338,10.802723299110333
2024-04-08,6.851742145274729,0.0,0.0,1.3241994488018516,1.3127263862007532,0.0,0.0,1.314985162544338,10.803653142821672
2024-04-09,6.851742145274729,0.0,0.0,1.3111816368431057,1.3127263862007532,0.0,0.0,1.3242835996577278,10.799933767976317
2024-04-12,6.851742145274729,0.0,0.0,1.312111480554445,1.3127263862007532,0.0,0.0,1.3242835996577278,10.800863611687655
2024-04-15,6.851742145274729,0.0,0.0,1.291654918904987,1.3127263862007532,0.0,0.0,1.3456700050185244,10.801793455398995
2024-04-17,6.851742145274729,0.0,0.0,1.2897952314823091,1.3127263862007532,0.0,0.0,1.3549684421319144,10.809232205089705
2024-04-18,6.851742145274729,0.0,0.0,1.2897952314823091,1.3127112297482586,0.0,0.0,1.3549684421319144,10.809217048637212
2024-04-19,6.851742145274729,0.0,0.0,1.293514606327665,1.3127112297482586,0.0,0.0,1.3549684421319144,10.812936423482569
2024-04-30,6.851742145274729,0.0,0.0,1.293514606327665,1.3127112297482586,0.0,0.0,1.3558982858432533,10.813866267193905
2024-05-02,6.85081230156339,0.0,0.0,1.2944444500390042,1.3127112297482586,0.0,0.0,1.3558982858432533,10.813866267193905
2024-05-03,6.85081230156339,0.0,0.0,1.296304137461682,1.3127112297482586,0.0,0.0,1.3540385984205756,10.813866267193905
2024-05-06,6.85081230156339,0.0,0.0,1.297233981173021,1.3127112297482586,0.0,0.0,1.3540385984205756,10.814796110905245
2024-05-14,6.85081230156339,0.0,0.0,1.373481165502818,1.3127112297482586,0.0,0.0,1.3721705507916857,10.909175247606152
2024-05-17,6.85081230156339,0.0,0.0,1.378130384059513,1.3127112297482586,0.0,0.0,1.3721705507916857,10.913824466162847
2024-05-20,6.85081230156339,0.0,0.0,1.3641827283894281,1.311897616500837,0.0,0.0,1.3721705507916857,10.899063197245342
2024-05-22,6.85081230156339,0.0,0.0,1.3651125721007673,1.311897616500837,0.0,0.0,1.3714731680081815,10.899295658173177
2024-05-23,6.85081230156339,0.0,0.0,1.3651125721007673,1.311897616500837,0.0,0.0,1.3686836368741646,10.896506127039158
2024-05-24,6.85081230156339,0.0,0.0,1.3655754483002718,1.311897616500837,0.0,0.0,1.368218715018495,10.896504081382993
2024-05-29,6.85081230156339,0.0,0.0,1.4315943518053398,1.311897616500837,0.0,0.0,1.368218715018495,10.962522984888063
2024-05-30,6.85081230156339,0.0,0.0,1.4092781027332042,1.3165468350575318,0.0,0.0,1.368218715018495,10.944855954372622
2024-06-04,6.85081230156339,0.0,0.0,1.407418415310526,1.3165468350575318,0.0,0.0,1.368218715018495,10.942996266949944
2024-06-06,6.85081230156339,0.0,0.0,1.3953304470631194,1.3453719901090404,0.0,0.0,1.368218715018495,10.959733453754044
2024-06-07,6.85081230156339,0.0,0.0,1.3944006033517804,1.3453719901090404,0.0,0.0,1.368218715018495,10.958803610042706
2024-06-11,6.85081230156339,0.0,0.0,1.3832424788157125,1.3528107397997524,0.0,0.0,1.3728679335751899,10.959733453754044
2024-06-13,6.85081230156339,0.0,0.0,1.404628884176509,1.3695479266038542,0.0,0.0,1.3728679335751899,10.997857045918943
2024-06-14,6.85081230156339,0.0,0.0,1.404628884176509,1.3695479266038542,0.0,0.0,1.3727517031112726,10.997740815455026
2024-06-18,6.85081230156339,0.0,0.0,1.405558727887848,1.3807060511399218,0.0,0.0,1.3701946329050905,11.00727171349625
2024-06-24,6.851742145274729,3.4461576588563894,0.0,1.3692948231456277,1.3574599583564473,0.0,0.0,1.4529507232142602,14.477605308847455
2024-06-25,6.851742145274729,3.4461576588563894,0.0,1.34883826149617,1.3574599583564473,0.0,0.0,1.4390030675441754,14.44320109152791
2024-06-27,6.851742145274729,3.4461576588563894,0.0,1.346048730362153,1.3574599583564473,0.0,0.0,1.4390030675441754,14.440411560393896
2024-06-28,6.851742145274729,3.4461576588563894,0.0,1.343259199228136,1.3574599583564473,0.0,0.0,1.4390030675441754,14.437622029259877
2024-07-02,6.851742145274729,3.4461576588563894,0.0,1.3655754483002718,1.3574599583564473,0.0,0.0,1.4529507232142602,14.473885934002098
2024-07-04,6.851742145274729,3.4461576588563894,0.0,1.3665052920116108,1.3574599583564473,0.0,0.0,1.4529507232142602,14.474815777713438
2024-07-05,6.851742145274729,3.4461576588563894,0.0,1.344189042939475,1.3574599583564473,0.0,0.0,1.4529507232142602,14.452499528641303
2024-07-09,6.851742145274729,3.4461576588563894,0.0,1.343259199228136,1.3574599583564473,0.0,0.0,1.4483015046575654,14.446920466373268
2024-07-10,6.851742145274729,3.4461576588563894,0.0,1.338609980671441,1.3574599583564473,0.0,0.0,1.4483015046575654,14.44227124781657
2024-07-11,6.851742145274729,3.4461576588563894,0.0,1.3376801369601021,1.3574599583564473,0.0,0.0,1.4492313483689043,14.44227124781657
2024-07-12,6.851742145274729,3.4461576588563894,0.0,1.332101074692068,1.3574599583564473,0.0,0.0,1.4610868556884764,14.448547692868111
2024-07-15,6.851742145274729,3.4461576588563894,0.0,1.3283816998467122,1.3583898020677863,0.0,0.0,1.4248229509462558,14.409494256991874
2024-07-24,6.851742145274729,3.4461576588563894,0.0,1.340469668094119,1.3583898020677863,0.0,0.0,1.4248229509462558,14.421582225239279
2024-07-25,6.851742145274729,3.4461576588563894,0.0,1.343259199228136,1.3583898020677863,0.0,0.0,1.4248229509462558,14.424371756373297
2024-08-02,6.851742145274729,3.4461576588563894,0.0,1.346048730362153,1.3583898020677863,0.0,0.0,1.42438127518337,14.42671961174443
2024-08-07,6.851742145274729,3.4461576588563894,0.0,1.3506979489188478,1.3583898020677863,0.0,0.0,1.42438127518337,14.431368830301123
2024-08-09,6.851742145274729,3.4461576588563894,0.0,1.351627792630187,1.3583898020677863,0.0,0.0,1.42438127518337,14.432298674012461
2024-08-12,6.851742145274729,3.4461576588563894,0.0,1.3553471674755428,1.3583898020677863,0.0,0.0,1.42438127518337,14.436018048857818
2024-08-13,6.851742145274729,3.4461576588563894,0.0,1.3562770111868818,1.3583898020677863,0.0,0.0,1.42438127518337,14.436947892569158
