date,ARISTO SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,WEALTH LINK SECURITIES LTD,CITIBANK N.A.,HANG SENG SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,89.592408885055,0.0,0.0,10.407591114945006,0.0,0.0,0.0,0.0,0.0
2024-05-07,80.69616565013014,0.0,0.0,9.374150188415369,9.929684161454489,0.0,0.0,0.0,0.0
2024-05-08,80.73209507929737,0.0,0.0,9.356702470045368,9.911202450657257,0.0,0.0,0.0,0.0
2024-05-10,80.82429668506154,0.0,0.0,9.311928375718752,9.863774939219697,0.0,0.0,0.0,0.0
2024-05-13,77.29536316352504,0.0,0.0,8.901102954738278,9.428603046958575,0.0,0.0,4.374930834778118,0.0
2024-05-14,77.39376354354134,0.0,0.0,8.862526168876483,9.387740110919308,0.0,0.0,4.355970176662871,0.0
2024-05-30,73.74274323284605,0.0,0.0,8.438833321675876,8.938938238791355,0.0,4.731761908092607,4.147723298594111,0.0
2024-06-05,67.20611659764256,0.0,8.875438037591591,7.687161516406499,8.142720611659763,0.0,4.310289901242434,3.778273335457152,0.0
2024-06-18,65.68329718004338,0.0,8.633405639913232,7.322590641462659,7.920669352339635,0.0,4.192748682987295,3.675240161140378,2.572048342113418
2024-07-15,68.48465266558966,0.0,4.736672051696284,7.634894991922455,8.258481421647819,0.0,4.3715670436187395,3.831987075928918,2.6817447495961226
2024-08-06,65.68329718004338,0.0,8.633405639913232,7.322590641462659,7.920669352339635,0.0,4.192748682987295,3.675240161140378,2.572048342113418
2024-08-12,65.76386736907345,0.0,8.552835450883173,7.322590641462659,7.920669352339635,0.0,4.192748682987295,3.675240161140378,2.572048342113418
2024-08-15,65.83204214440657,0.0,8.484660675550046,7.322590641462659,7.920669352339635,0.0,4.192748682987295,3.675240161140378,2.572048342113418
2024-08-23,66.0048097675279,0.0,8.441758648331996,7.285564531047665,7.880619103410001,0.0,4.171548375161867,3.656656594931245,2.55904297958932
2024-08-28,66.02947524202996,0.0,8.441758648331996,7.285564531047665,7.880619103410001,0.0,4.146882900659802,3.656656594931245,2.55904297958932
2024-09-10,66.10963803416168,0.0,8.361595856200283,7.285564531047665,7.880619103410001,0.0,4.146882900659802,3.656656594931245,2.55904297958932
2024-09-12,66.35629277918234,0.0,8.361595856200283,7.285564531047665,7.633964358389345,0.0,4.146882900659802,3.656656594931245,2.55904297958932
2024-09-19,66.3604414575498,0.0,8.360564769714532,7.284666132313952,7.633022997718725,0.0,4.146371539552377,3.656205684690795,2.558727418459831
2024-09-23,66.49408284023669,0.0,8.357988165680473,7.282421104536489,7.630670611439842,0.0,4.021819526627219,3.655078895463511,2.557938856015779
2024-09-26,66.50437569333168,0.0,8.35079502033773,7.281523480833231,7.629730062862074,0.0,4.021323801306545,3.6546283742142243,2.557623567114508
2024-09-27,66.57234251968504,0.0,8.335383858267717,7.26808562992126,7.615649606299213,0.0,4.013902559055118,3.6417322834645667,2.5529035433070866
2024-09-30,66.58464566929135,0.0,8.335383858267717,7.26808562992126,7.615649606299213,0.0,4.013902559055118,3.635580708661417,2.546751968503937
2024-10-02,55.79874343392729,16.258111031002162,6.952312287568235,6.084560716860644,6.375527860747759,0.0,3.360284272324647,3.0384179627150063,2.1320424348542586
2024-10-07,55.82449273869605,16.258111031002162,6.926562982799464,6.084560716860644,6.375527860747759,0.0,3.360284272324647,3.0384179627150063,2.1320424348542586
2024-10-09,55.8267675987435,16.257273804006385,6.926206292806015,6.084247386580153,6.3751995468355735,0.0,3.360111231268345,3.038261496472527,2.131932643287502
2024-10-14,55.11947127605491,16.04982206405694,6.837824097610574,6.006609049313676,6.293848500254194,1.2760549059481443,3.317234367056431,2.994407727503813,2.104728012201322
2024-10-16,55.12227362855254,16.04555391733184,6.838171742335655,6.006914433880726,6.2941684884844165,1.2812039249580558,3.3174030199806803,2.9894758249021303,2.1048350195739487
2024-10-18,55.21491138724791,16.072519861478916,6.849663882664493,5.854043593399878,6.3047463841923,1.283357099205541,3.3229782033000608,2.989407211244653,2.1083723772662455
2024-10-21,55.21772345301758,16.0733384262796,6.850012732365673,5.8543417366946775,6.305067481538069,1.2834224598930482,3.323147440794499,2.984466513878279,2.1084797555385792
2024-10-23,55.20085535359706,16.06842828776539,6.847920166997606,5.888193065526195,6.303141387913039,1.2830303956010387,3.322132274324118,2.9784634183595537,2.1078356499159923
2024-10-24,55.203665987780035,16.069246435845212,6.84826883910387,5.888492871690428,6.303462321792261,1.2830957230142568,3.3223014256619146,2.973523421588595,2.107942973523422
2024-10-29,55.20647690819288,16.07006466724375,6.848617546718265,5.888792708386374,6.303783288354804,1.2831610570802994,3.3224705942257753,2.9685829217373594,2.1080503080604918
2024-11-07,55.20085535359706,16.06842828776539,6.847920166997606,5.898375846443664,6.303141387913039,1.2830303956010387,3.322132274324118,2.9682806374420854,2.1078356499159923
2024-11-13,55.26302388348526,16.071701380047866,6.783113510210318,5.899577328512502,6.304425319549829,1.2781993176147068,3.3228089830422163,2.9688852676070683,2.108265009930234
2024-11-18,55.19556482376278,16.052082803519657,6.77483342658054,6.014444840038656,6.296729566146178,1.276639031585372,3.3187528609938455,2.9652611769492907,2.1056914704236815
2024-12-03,55.23208469055375,16.06270358306189,6.72842019543974,6.003155537459284,6.300895765472313,1.277483713355049,3.3209486970684035,2.9672231270358305,2.1070846905537457
2024-12-11,55.226463104325695,16.061068702290076,6.7277353689567425,6.002544529262086,6.300254452926208,1.287531806615776,3.3206106870229006,2.9669211195928753,2.1068702290076335
2024-12-17,55.22927375438954,16.061886101073846,6.728077764771744,6.002850017812611,6.300575092880045,1.2875973331976183,3.3207796834444503,2.961982798106774,2.1069774543233755
2024-12-18,55.23208469055375,16.06270358306189,6.723330618892508,6.003155537459284,6.300895765472313,1.2876628664495116,3.3209486970684035,2.9621335504885993,2.1070846905537457
2025-01-10,55.4069233125702,16.11355049525171,6.744613499438374,6.02215868477484,6.320841417338915,1.2917389972429285,3.0149086081895233,2.9715102624323495,2.113754722761156
2025-01-17,55.409752361501155,16.114373244830226,6.744957875925453,6.022466173091652,6.321164156242022,1.2866990043400561,3.0150625478682667,2.971661986213939,2.1138626499872353
2025-01-24,55.42390194075587,16.11848825331971,6.72114402451481,6.024004085801839,6.3227783452502555,1.2870275791624106,3.0158324821246167,2.972420837589377,2.1144024514811033
2025-02-12,55.42673272383677,16.11931150722713,6.71637979467797,6.024311762602789,6.323101281985802,1.2870933142652843,3.0159865161652792,2.972572654374585,2.1145104448643957
2025-02-25,55.43239515758288,16.12095826735455,6.706849874853144,6.02492721050212,6.323747254431221,1.2872248046176638,3.0162946314552794,2.972876334474128,2.114726464729019
2025-02-26,55.435226808336736,16.121781773600325,6.707192480588475,6.025234981610135,6.324070290151205,1.2872905598692277,3.01644871270944,2.967919901920719,2.114834491213731
2025-03-04,55.435226808336736,16.121781773600325,6.707192480588475,6.025234981610135,4.536166734777279,3.075194115243155,3.01644871270944,2.967919901920719,2.114834491213731
2025-04-16,55.43805874840358,16.122605363984675,6.707535121328225,6.025542784163474,4.53639846743295,3.075351213282248,3.0166028097062583,2.9629629629629632,2.1149425287356323
2025-04-24,55.435226808336736,16.126890069472825,6.707192480588475,6.025234981610135,4.536166734777279,3.075194115243155,3.01644871270944,2.962811606048222,2.114834491213731
