date,SORRENTO SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,VALUABLE CAPITAL LTD,CITIBANK N.A.,LONG BRIDGE HK LTD,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,FULBRIGHT SECURITIES LTD
2024-03-01,0.0,65.96942267687042,0.0,26.029216611918987,8.001360711210593,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,66.04730749300032,0.0,25.905952451777765,8.046740055221916,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,43.441822364218034,34.226202379526235,17.039328737288468,5.292646518967261,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,43.4867237676967,34.19071120671878,17.032148717963683,5.290416307620832,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,42.02438784773534,33.07302119755865,16.475369938443684,5.137853490204915,0.0,0.0,0.0,3.289367526057411,0.0
2024-03-11,0.0,42.01753723447616,33.067629792968575,16.468608823439244,5.1573928399065485,0.0,0.0,0.0,3.28883130920947,0.0
2024-03-12,0.0,41.99716033664958,33.067629792968575,16.468608823439244,5.177769737733126,0.0,0.0,0.0,3.28883130920947,0.0
2024-03-13,0.0,42.00245983379795,33.06746726719862,16.478682356239936,5.201326242361801,0.0,0.0,0.0,3.2500643004016903,0.0
2024-03-15,0.0,41.982070471812996,33.06746726719862,16.478682356239936,5.221715604346755,0.0,0.0,0.0,3.2500643004016903,0.0
2024-03-18,0.0,42.20542328340638,32.80845287695553,16.502235259618782,5.229178977961359,0.0,0.0,0.0,3.254709602057949,0.0
2024-03-20,0.0,40.36027148612064,31.178862785150134,15.780784633616193,5.00056786026863,0.0,0.0,4.567094191787711,3.112419043056695,0.0
2024-03-21,0.0,40.3734907161855,31.17399319769334,15.77441539562639,4.999786859925641,0.0,0.0,4.56638089237254,3.1119329381965923,0.0
2024-03-25,0.0,40.35020010425923,31.186170019487548,15.78057701386895,5.001739818380988,0.0,0.0,4.568164558841519,3.1131484851617706,0.0
2024-03-26,0.0,40.35252998419553,31.184951909251712,15.779960635442999,5.001544453882366,0.0,0.0,4.56798612949272,3.113026887734671,0.0
2024-03-28,0.0,40.1486666936045,31.027403747695715,15.700239371328994,4.976276365095736,0.0,0.0,4.544908402170609,3.60250542010445,0.0
2024-04-03,0.0,40.13703472721514,31.033433850913212,15.703290676063297,4.97724349274729,0.0,0.0,4.5457916944693135,3.6032055585917515,0.0
2024-04-05,0.0,40.127081776939875,31.066981226824115,15.722235269493853,5.022164508733122,0.0,0.0,4.551275779126995,3.510261438882043,0.0
2024-04-08,0.0,40.10377230705018,31.079076091830903,15.728356183264042,5.024119716460953,0.0,0.0,4.553047662457252,3.5116280389366747,0.0
2024-04-09,0.0,40.16982375393568,31.05489577193313,15.716119117951877,5.059112107152578,0.0,0.0,4.549505274367505,3.450543974659236,0.0
2024-04-10,0.0,40.34145431309909,30.94141876533163,15.737546495271282,5.066009707203045,0.0,0.0,4.5557080757969715,3.357862643297981,0.0
2024-04-11,0.0,37.703380601572086,29.78074977471114,15.222188604472771,5.325891357796446,4.351071397904102,0.0,4.384815165746528,3.2319030977969287,0.0
2024-04-12,0.0,36.741438421889164,30.541080786886543,15.289351110853278,5.419367685822872,4.365967510862507,0.0,4.399826802200519,3.2429676814851196,0.0
2024-04-15,0.0,36.550130889929235,30.582058061888407,15.25340346738381,5.419962430874785,4.366446651183748,0.1843652614459316,4.400309658388101,3.24332357890598,0.0
2024-04-17,0.0,36.31049554011068,30.659791692435228,15.311012012950535,5.34601319791107,4.515124534159439,0.185061566017409,4.416928601170609,3.255572855245032,0.0
2024-04-18,0.0,36.322520289207944,30.654003041611166,15.308121252856822,5.345003856294729,4.514272066549169,0.18502662589787475,4.416094673215603,3.2549581943666945,0.0
2024-04-22,0.0,36.50234819124792,30.567434837575203,15.264890469515874,5.329909338825782,4.501523570869814,0.18450410286292004,4.403623434656836,3.245766054445655,0.0
2024-04-24,0.0,36.19591922833167,30.578949004008827,15.270640460981987,5.3319170134484475,4.503219208461759,0.18457360201976256,4.4052821951451495,3.5294992876023987,0.0
