date,CS WEALTH SECURITIES LTD,ZHONGRONG PT SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIC SECURITIES BROKERAGE (HK) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL
2024-03-01,0.0,0.0,62.291172289280375,0.0,37.70882771071963,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,62.331895225084644,0.0,37.66810477491536,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,62.29932391899998,0.0,37.70067608100002,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,62.250361207162456,0.0,37.749638792837544,0.0,0.0,0.0,0.0,0.0
2024-03-15,0.0,0.0,62.25521234142176,0.0,37.74478765857825,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,51.32690229712528,0.0,31.06504052728677,0.0,0.0,0.0,17.608057175587955,0.0
2024-03-27,0.0,0.0,51.37887677003533,0.0,31.031868422293744,0.0,0.0,0.0,17.58925480767092,0.0
2024-03-28,0.0,0.0,51.38802236072828,0.0,31.05519247902013,0.0,0.0,0.0,17.55678516025159,0.0
2024-04-02,0.0,0.0,51.405322350902196,0.0,31.044140582947872,0.0,0.0,0.0,17.55053706614993,0.0
2024-04-03,0.0,0.0,51.42032787818972,0.0,31.024011946791212,0.0,0.0,0.0,17.555660175019067,0.0
2024-04-08,0.0,0.0,37.522705502248634,27.417141558293963,22.639001185199618,0.0,0.0,0.0,12.421151754257789,0.0
2024-04-09,0.0,0.0,37.49672852434529,27.417141558293963,22.66497816310295,0.0,0.0,0.0,12.421151754257789,0.0
2024-04-10,0.0,0.0,32.74310488680751,24.175830468660973,20.329066531979823,0.0,0.0,0.0,10.952697545000124,11.79930056755158
2024-04-11,0.0,0.0,32.337521128601175,24.19800157393391,20.347709857377286,0.0,0.0,0.0,11.306646001858228,11.810121438229398
2024-04-16,0.0,0.0,32.18810221819843,24.252195865654706,20.43498179261992,0.0,0.0,0.0,11.310535740189774,11.814184383337166
2024-04-17,0.0,0.0,32.09396170721385,24.258779558472067,20.549026300733132,0.0,0.0,0.0,11.297580341715381,11.800652091865576
2024-04-19,0.0,0.0,32.07472708495979,24.26155854406363,20.562835899289354,0.0,0.0,0.0,11.298874545857574,11.802003925829657
2024-04-24,0.0,0.0,32.05916104116191,24.290034850152363,20.544631741653983,0.0,0.0,0.0,11.301463843897901,11.804708523133844
2024-04-26,0.0,0.0,32.0046236596748,24.309532915193344,20.561123301604923,0.0,0.0,0.0,11.310535740189774,11.814184383337166
2024-04-30,0.0,0.0,4.566815204105217,3.4683290306403824,2.9307648375890056,0.0,0.0,0.0,1.6024520936521414,1.683983684528318
2024-05-02,0.0,0.0,32.00814734491631,24.369552738977028,20.56338706597526,0.0,0.0,0.0,11.243427733887804,11.815485116243597
2024-05-03,0.0,0.0,31.992548241133683,24.375143749774157,20.568104843127056,0.0,0.0,0.0,11.246007269365139,11.818195896599963
2024-05-06,0.0,0.0,31.98474600480359,24.377940217325836,20.570464543581902,0.0,0.0,0.0,11.247297481014249,11.81955175327443
2024-05-07,0.0,0.0,31.985479919299742,24.37849958783668,20.568641972050912,0.0,0.0,0.0,11.247555558869944,11.819822961942727
2024-05-08,0.0,0.0,32.22523514321744,24.770243170952448,20.7722755964345,0.0,0.0,0.0,11.295400485178215,10.936845604217398
2024-05-10,0.0,0.0,32.4698975639349,25.377305303973618,20.892634789556723,0.0,0.0,0.0,11.360848552342402,9.89931379019235
2024-05-17,0.0,0.0,32.40435481522434,25.407691062673997,20.91765078521609,0.0,0.0,0.0,11.35913650884996,9.911166828035617
2024-05-20,0.0,0.0,26.926847594596463,21.16524661625524,17.542798797600817,0.0,16.58493650803641,0.0,9.508810541762264,8.271359941748804
2024-05-21,0.0,0.0,26.934671614678802,21.13265441027983,17.567267185391128,0.0,16.618812099352184,0.0,9.47283137451651,8.273763315781547
2024-05-22,0.0,0.0,26.820337762044446,21.17492932830542,17.60089506990192,0.0,16.61398464418696,0.0,9.518493253812446,8.271359941748804
2024-05-24,0.0,0.0,22.43361010704045,17.913739315324246,14.856182065861443,0.0,13.982308233219578,0.0,8.034163501896247,6.981510243591156
2024-05-27,26.16761610892097,19.945963094293234,10.944400872696088,8.817103321406048,7.295538135462867,6.743746753983902,6.866398276826373,5.845372510755538,3.941384211132877,3.4324767145220987
2024-05-28,26.16761610892097,19.945963094293234,10.944400872696088,8.837170651714043,7.295538135462867,6.743746753983902,6.846330946518378,5.845372510755538,3.941384211132877,3.4324767145220987
2024-06-07,26.18443056066458,19.958779715896544,10.951433385691182,8.842849127691938,7.300226008955499,6.748080064435031,6.8507301742065945,5.849128555387054,3.8796600956071714,3.434682311464409
2024-06-11,26.184325403235903,19.9586995608613,10.951389404418704,8.843215217440152,7.300196691037201,6.748052963950779,6.850702661476539,5.8491050651180005,3.879644514780281,3.4346685176811396
2024-06-12,26.218018945827627,19.98438207447863,10.96548146520904,8.766128190238952,7.309590459421512,6.7567362432199864,6.859518028622837,5.856631593588757,3.8444248089413877,3.4390881904512707
2024-06-14,26.21822980314134,19.984542798030215,10.965569654632128,8.766198691455909,7.3096492464950815,6.756790583986795,6.859573196007829,5.856678695301811,3.8436514817756193,3.4391158491732723
2024-06-17,26.21822980314134,19.984542798030215,10.985675799393675,8.766198691455909,7.289543101733534,6.756790583986795,6.859573196007829,5.856678695301811,3.8436514817756193,3.4391158491732723
2024-06-18,26.212959387580586,19.980525484652155,10.963365344525219,8.76443650116545,7.28807775027073,6.755432326983862,6.858194277538359,5.855501379717891,3.883083033002889,3.438424514562858
2024-06-19,26.22877699488489,19.992582273097018,10.969980935126388,8.649039799811888,7.232132873658741,6.759508737210542,6.862332697100025,5.859034747317661,4.006111589058815,3.440499352734034
