date,CAITONG INTERNATIONAL SECURITIES CO LTD,HANG SENG SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,VALUABLE CAPITAL LTD
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,44.445146014206784,47.84846093133386,0.0,0.0,7.706393054459353
2024-03-13,0.0,0.0,0.0,44.35731225296443,47.92411067193676,0.0,0.0,7.718577075098815
2024-03-19,0.0,0.0,0.0,44.38538205980066,47.85951589938301,0.0,0.0,7.755102040816326
2024-03-25,0.0,0.0,0.0,44.36191974822974,47.609756097560975,0.0,0.0,8.028324154209283
2024-04-11,0.0,0.0,0.0,44.36191974822974,47.515342250196696,0.0,0.0,8.122738001573564
2024-04-15,0.0,0.0,0.0,44.257720645869256,47.33657313058473,0.0,0.0,8.40570622354601
2024-04-19,0.0,0.0,0.0,44.26049603361239,47.33954159219891,0.0,0.0,8.399962374188693
2024-04-23,0.0,0.0,0.0,44.24384892650055,47.321736404952205,0.0,0.0,8.43441466854725
2024-04-30,0.0,0.0,0.0,44.24384892650055,44.701457451810064,0.0,0.0,11.05469362168939
2024-05-10,0.0,0.0,0.0,44.240353571764416,44.7042597874808,0.0,0.0,11.055386640754788
2024-05-16,0.0,0.0,0.0,31.172675857193354,31.5084835630965,29.526776246023328,0.0,7.792064333686816
2024-05-17,0.0,0.0,0.0,31.163551195368775,31.51266074506165,29.530690706615403,0.0,7.793097352954175
2024-05-22,0.0,47.595457307099124,0.0,16.71496004112726,17.014067392625133,15.615506846754219,0.0,3.060008412394261
2024-05-23,0.0,47.55323122898768,0.0,16.781845349271574,16.99897273066866,15.601652969742249,0.0,3.064297721329847
2024-05-24,0.0,47.298144578872815,0.0,16.708078861203354,16.907786266632606,15.517962055592967,0.0,3.5680282376982566
2024-05-29,0.0,47.13069233617178,0.0,16.77156608663458,16.847926693817104,15.46302295446131,0.0,3.7867919289152168
2024-05-30,0.0,47.00319104657078,0.0,16.75993155436341,16.90560976737733,15.452296166119408,0.0,3.87897146556907
2024-06-03,0.0,46.913152853746915,0.0,16.72782662881673,16.873225784116876,15.422696115765422,0.0,4.063098617554063
2024-06-04,0.0,32.35913416996547,24.207713452217792,10.744010474491397,11.204949350321202,10.217988867024493,8.247130617214,3.019073068765649
