date,KGI ASIA LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA),UPBEST SECURITIES CO LTD,HANG SENG BANK LTD,CMB WING LUNG BANK LTD
2024-03-08,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,60.624575695858795,39.37542430414121,0.0,0.0,0.0,0.0,0.0
2024-03-22,64.4074844074844,0.0,18.565488565488568,12.058212058212058,0.0,0.0,0.0,4.968814968814969,0.0
2024-03-25,64.51813471502591,0.0,18.507772020725387,12.020725388601036,0.0,0.0,0.0,4.953367875647668,0.0
2024-03-26,64.54385419902661,0.0,18.494356425390908,12.012012012012011,0.0,0.0,0.0,4.949777363570467,0.0
2024-03-27,60.60019361084221,0.0,16.85382381413359,11.210067763794772,0.0,6.708615682478218,0.0,4.62729912875121,0.0
2024-03-28,60.60400735649986,0.0,16.852192430548836,11.20898267350692,0.0,6.70796631497435,0.0,4.626851224470042,0.0
2024-04-02,60.611632633310755,0.0,16.848930610664862,11.206813123003968,0.0,6.706667957030872,0.0,4.625955675989548,0.0
2024-04-03,60.509430293602954,0.0,16.925918724479875,11.180244993194634,0.0,6.737312852420767,0.0,4.647093136301769,0.0
2024-04-05,60.50509956289461,0.0,16.911121903836815,11.131617289946576,0.0,6.8091306459446335,0.0,4.643030597377368,0.0
2024-04-08,60.520438877560935,0.0,16.904553840178657,11.127293912030293,0.0,6.806486066608408,0.0,4.641227303621711,0.0
2024-04-09,60.547254026780514,0.0,16.893071996895014,11.119736076072192,0.0,6.801862992431593,0.0,4.638074907820687,0.0
2024-04-10,60.56256062075654,0.0,16.886517943743936,11.115421920465568,0.0,6.799224054316198,0.0,4.63627546071775,0.0
2024-04-12,60.41098558628749,0.0,16.955590183093104,11.151149201402415,0.0,6.827035449941567,0.0,4.655239579275419,0.0
2024-04-15,60.35808115208718,0.0,16.940741461516005,11.228957867081833,0.0,6.8210567286173,0.0,4.651162790697675,0.0
2024-04-16,57.73416426378941,0.0,16.193842433262024,10.724583759650265,0.0,6.520323690819459,0.0,4.44609803739187,4.380987815086969
2024-04-17,57.81264506545353,0.0,16.163773094420204,10.704669947080122,0.0,6.508216507288088,0.0,4.437842354470337,4.372853031287717
2024-04-18,57.949287432907646,0.0,16.11141958171386,10.669998149176383,0.0,6.48713677586526,0.0,4.423468443457339,4.358689616879512
2024-04-22,57.97262301146874,0.0,16.102478727339992,10.664076951535332,0.0,6.4835368109507945,0.0,4.4210136884942655,4.356270810210877
2024-04-26,57.976509756774256,0.0,16.1009895496162,10.663090724128365,0.0,6.4829372052159435,0.0,4.420604827522427,4.3558679367428095
2024-04-29,57.998890327353436,0.0,16.099500647309046,10.64361013501017,0.0,6.48233771037544,0.0,4.42019604216756,4.355465137784353
2024-05-03,58.14276455883714,0.0,15.933709841681326,10.656420701786871,0.0,6.490139801870197,0.0,4.425516155911489,4.351448939912971
