date,CITIBANK N.A.,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,ABN AMRO CLEARING HONG KONG LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,BNP PARIBAS,BOOM SECURITIES (H.K.) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA CITIC BANK INTERNATIONAL LTD,THE HONGKONG AND SHANGHAI BANKING,PHILLIP SECURITIES (HONG KONG) LTD
2024-06-17,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,79.16666666666666,16.666666666666664,4.156666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.01
2024-08-12,79.16666666666666,16.666666666666664,3.1566666666666667,1.0,0.0,0.0,0.0,0.0,0.0,0.01
2024-08-15,79.16666666666666,16.666666666666664,3.1566666666666667,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.043333333333333335
2024-08-19,79.16666666666666,16.666666666666664,3.6566666666666663,0.46666666666666673,0.0,0.0,0.0,0.0,0.0,0.043333333333333335
2024-08-20,79.16666666666666,16.666666666666664,2.6566666666666667,1.4666666666666666,0.0,0.0,0.0,0.0,0.0,0.043333333333333335
2024-08-26,79.16666666666666,16.666666666666664,2.1566666666666667,1.4666666666666666,0.5,0.0,0.0,0.0,0.0,0.043333333333333335
2024-09-03,77.49535027898327,16.31481058504911,2.1111364897053546,1.9153587626847652,2.120925376056384,0.0,0.0,0.0,0.0,0.042418507521127684
2024-09-09,78.72874995921298,16.31481058504911,2.1111364897053546,1.4259144451332921,1.3769700133781446,0.0,0.0,0.0,0.0,0.042418507521127684
2024-09-11,78.72874995921298,16.31481058504911,2.1111364897053546,1.4177570398407673,1.3769700133781446,0.0,0.0,0.0,0.008157405292524554,0.042418507521127684
2024-09-13,78.72874995921298,16.31481058504911,2.1111364897053546,0.9283127222892942,1.866414330929618,0.0,0.0,0.0,0.008157405292524554,0.042418507521127684
2024-09-20,78.72874995921298,16.31481058504911,2.1111364897053546,0.4225535941527718,2.339543837896042,0.0,0.0,0.0,0.04078702646262277,0.042418507521127684
2024-09-23,80.66776519724606,16.31481058504911,2.1111364897053546,0.4225535941527718,0.4005285998629556,0.0,0.0,0.0,0.04078702646262277,0.042418507521127684
2024-09-25,80.66776519724606,16.31481058504911,2.1111364897053546,0.40623878356772275,0.4005285998629556,0.0,0.0,0.0,0.05710183704767188,0.042418507521127684
2024-09-26,80.66776519724606,16.31481058504911,2.1111364897053546,0.402975821450713,0.4005285998629556,0.0,0.0,0.0,0.05710183704767188,0.045681469638137503
2024-10-04,79.8520246679936,16.31481058504911,2.1111364897053546,0.8924201390021862,0.7268248115639377,0.0,0.0,0.0,0.05710183704767188,0.045681469638137503
2024-10-22,79.8520246679936,16.31481058504911,2.1111364897053546,1.3818644565536595,0.2373804940124645,0.0,0.0,0.0,0.05710183704767188,0.045681469638137503
2024-11-06,79.8520246679936,16.31481058504911,2.1111364897053546,0.8924201390021862,0.7268248115639377,0.0,0.0,0.0,0.05710183704767188,0.045681469638137503
2024-11-12,79.8520246679936,16.31481058504911,2.1111364897053546,0.8190034913694652,0.7268248115639377,0.0,0.0,0.07341664763272099,0.05710183704767188,0.045681469638137503
2024-11-28,78.9547100858159,16.31481058504911,2.1111364897053546,1.3084478089209384,1.1346950761901655,0.0,0.0,0.07341664763272099,0.05710183704767188,0.045681469638137503
2024-12-12,78.9547100858159,16.31481058504911,2.1111364897053546,1.7978921264724117,0.6452507586386922,0.0,0.0,0.07341664763272099,0.05710183704767188,0.045681469638137503
2024-12-23,78.9547100858159,16.31481058504911,2.1111364897053546,1.571116259340229,0.6452507586386922,0.0,0.22677586713218256,0.07341664763272099,0.05710183704767188,0.045681469638137503
2025-01-02,78.9547100858159,16.31481058504911,2.1111364897053546,1.5499070055796653,0.6452507586386922,0.0,0.24798512089274644,0.07341664763272099,0.05710183704767188,0.045681469638137503
2025-01-21,78.90965122535832,16.305499845097753,2.109931679955649,1.6060917347421284,0.644882518873616,0.0,0.2478435976454858,0.07337474930293988,0.057069249457842135,0.04565539956627371
2025-02-14,78.90965122535832,16.305499845097753,2.109931679955649,1.6020153597808542,0.644882518873616,0.0,0.2478435976454858,0.07337474930293988,0.057069249457842135,0.049731774527548143
2025-03-07,78.90965122535832,16.305499845097753,2.109931679955649,1.1128503644279215,0.644882518873616,0.48916499535293256,0.2478435976454858,0.07337474930293988,0.057069249457842135,0.049731774527548143
2025-03-11,78.90965122535832,16.305499845097753,2.109931679955649,1.1120350894356665,0.644882518873616,0.48916499535293256,0.2478435976454858,0.07337474930293988,0.057069249457842135,0.05054704951980303
2025-04-09,78.5255318113226,16.226127310194876,2.099660873939217,1.5934057018611367,0.6417433351182074,0.48678381930584624,0.24663713511496213,0.07301757289587694,0.05679144558568207,0.05030099466160412
2025-04-11,78.5255318113226,16.226127310194876,2.099660873939217,1.5925943954956272,0.6417433351182074,0.48678381930584624,0.24663713511496213,0.07301757289587694,0.05679144558568207,0.05111230102711386
