date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,TAT LEE SECURITIES CO LTD,KCG SECURITIES ASIA LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),BOCI SECURITIES LTD,HANG SENG SECURITIES LTD
2024-03-01,34.39497984774664,15.006968154030897,16.043398964723522,9.437048474915716,7.700444280726317,1.6709230713530323,0.0,7.404747220346426,4.231870826428871,4.109619159728576
2024-03-04,34.513316830474984,15.020847412917378,16.041622965419723,9.414119266494936,7.641403924359115,1.5943552804856178,0.0,7.415483135626334,4.245550406445876,4.113300777776032
2024-03-05,34.5989906880204,15.019673798430455,16.044557001637035,9.351330891444528,7.645511575063346,1.5943552804856178,0.0,7.3908372314009405,4.245550406445876,4.1091931270718005
2024-03-06,34.68291740890055,14.908187982434182,16.026230360837666,9.390407046262466,7.649380956541127,1.5938165689357549,0.0,7.39420605500007,4.247048935993694,4.10780468509449
2024-03-07,34.60769090349844,14.998090120299976,16.01879663666623,9.385635160997944,7.653214518953298,1.590225133679727,0.0,7.409735072648267,4.238064112246928,4.098548341009189
2024-03-08,34.59657044801816,15.040230793698923,15.936856438390501,9.45118731961853,7.657896815997625,1.587298698027022,0.0,7.412661508300972,4.219920211200159,4.097377766748107
2024-03-11,34.56635582999721,15.013302801069745,15.84511604894664,9.624167732874431,7.850825742524005,1.5872550628988447,0.0,7.182446213825451,4.244385588548091,4.086144979315585
2024-03-12,34.63877333662408,14.76241762661889,15.86324351951371,9.665445405141629,7.977005594207036,1.589423199727388,0.0,7.181121853340593,4.2402200774438255,4.082349387382849
2024-03-13,34.61902611650714,14.753645927709655,15.876973061753882,9.69109584039403,8.062950492898088,1.5889203412832158,0.0,7.136080293816213,4.189078333397859,4.082229592239919
2024-03-14,34.53736572610294,14.8201468306046,15.902030115131058,9.634045786871795,8.141109316588155,1.5865685877110576,0.0,7.127273268467482,4.18112304438456,4.070337324138349
2024-03-15,34.553225986679536,14.821196382450013,15.870128402204228,9.578132253342304,8.227094718385645,1.5889389599958603,0.0,7.0781606105125325,4.226038612997839,4.057084073432041
2024-03-18,34.42261683041472,14.784165284547099,15.868694492285297,9.538572634467675,8.312135010595691,1.5861602975468279,0.0,7.102044429613248,4.335621786767932,4.04998923376152
2024-03-19,34.39445415906513,14.827586644180629,15.845776998052397,9.465317152275889,8.332216371424844,1.584862589374679,0.0,7.092727598540001,4.410382729354979,4.046675757731453
2024-03-20,34.354440984483375,15.015980405729243,15.840184233504942,9.31946878908242,8.324857829937677,1.5830188216793564,0.0,7.152770147809304,4.367310775739286,4.041968012034398
2024-03-21,34.33765785836869,14.9893787087517,15.908496571791728,9.329327345032125,8.30756990013105,1.585289161916367,0.0,7.122110305600669,4.372405210595289,4.047764937812386
2024-03-22,34.26102734043399,15.071005771024096,15.913728693853102,9.357576582488665,8.280803380605699,1.5845296527342592,0.0,7.118698115381347,4.367389068653609,4.045241394825229
2024-03-25,34.23807586913766,15.00918789873403,15.937041981661077,9.411106318381544,8.284137450371167,1.5852794782251343,0.0,7.122066800403775,4.3688712464065835,4.044232956679035
2024-03-26,34.22533697516606,14.969971146274434,15.934687022741029,9.419329165593734,8.346229946919962,1.583419070727313,0.0,7.113708686482884,4.3637441499321294,4.043573836162461
2024-03-27,34.12540374125839,14.929972595918292,16.011094543339347,9.437375722953105,8.408943565744988,1.5856664546169106,0.0,7.117958487649805,4.374615196697539,4.0089696918216315
2024-03-28,34.10159700252296,14.895696709617589,15.986302744284488,9.498544205865562,8.447846247517132,1.5830955654551175,0.0,7.107585400066929,4.367522500271088,4.011809624399136
2024-04-02,34.14633122735602,14.888562618722357,15.969418990690226,9.477125242107807,8.458851371919373,1.5807886521944143,0.0,7.094313674726481,4.381559107133264,4.003049115150055
2024-04-03,34.23448444009335,14.676298061485918,15.977531474025906,9.500839734608125,8.471725114553069,1.5858171252531694,0.0,7.107524763072372,4.424149103858952,4.02163018304914
