date,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,KOREA INVESTMENT & SECURITIES ASIA LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-07-03,0.0,0.0,100.0,0.0
2024-08-07,0.0,97.9035639412998,2.0964360587002098,0.0
2024-08-08,0.0,98.79081015719467,1.2091898428053205,0.0
2024-08-30,0.0,92.1259842519685,7.874015748031496,0.0
2024-09-23,39.004149377593365,56.84647302904564,4.149377593360995,0.0
2024-10-29,12.5,81.54761904761905,5.952380952380952,0.0
2025-02-11,0.6329113924050633,93.0379746835443,6.329113924050633,0.0
2025-02-14,1.2658227848101267,92.40506329113924,6.329113924050633,0.0
2025-02-20,0.8658008658008658,94.8051948051948,4.329004329004329,0.0
2025-02-24,0.8658008658008658,94.8051948051948,4.329004329004329,0.0
2025-02-25,1.2987012987012987,94.37229437229438,4.329004329004329,0.0
2025-03-27,1.7316017316017316,93.93939393939394,4.329004329004329,0.0
2025-04-24,99.40717139797863,0.5667128045754877,0.02611579744587501,0.0
