date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,SDICS INTERNATIONAL SECURITIES (HONG,FUTU SECURITIES INTERNATIONAL,KINGKEY SECURITIES GROUP LTD,DBS BANK (HONG KONG) LTD,CHINA DEMETER SECURITIES LTD,CITIC SECURITIES BROKERAGE (HK) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,93.42912580628244,6.570874193717552,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,89.93588988540948,6.325194770230022,0.0,3.7389153443604974,0.0,0.0,0.0,0.0,0.0
2024-03-07,89.9569125122025,6.304911300366917,0.0,3.7381761874305717,0.0,0.0,0.0,0.0,0.0
2024-03-08,87.88962613979264,6.160019075339369,0.0,3.6530919316247754,0.0,0.0,0.0,0.0,2.2972628532432187
2024-03-11,87.8925167942509,6.157754956051275,0.0,3.6523898404032265,0.0,0.0,0.0,0.0,2.2973384092946003
2024-03-13,87.89613037972602,6.153896755307777,0.0,3.6525400036180047,0.0,0.0,0.0,0.0,2.2974328613482
2024-03-14,87.87746495115401,6.162995667287195,0.0,3.658094594817219,0.0,0.0,0.0,0.0,2.3014447867415693
2024-03-15,87.8847040991169,6.164327138526426,0.0,3.649334387768551,0.0,0.0,0.0,0.0,2.301634374588111
2024-03-18,87.88108437605541,6.164073247279587,0.0,3.6533027999044463,0.0,0.0,0.0,0.0,2.301539576760546
2024-03-19,87.88180829681373,6.164124023855811,0.0,3.6525091436291146,0.0,0.0,0.0,0.0,2.301558535701341
2024-03-21,87.88108437605541,6.164073247279587,0.0,3.6533027999044463,0.0,0.0,0.0,0.0,2.301539576760546
2024-03-22,87.87818881228327,6.167165015115197,0.0,3.6531824284808194,0.0,0.0,0.0,0.0,2.3014637441207237
2024-03-26,87.88832412037533,6.156342936228755,0.0,3.6536037631706852,0.0,0.0,0.0,0.0,2.30172918022523
2024-03-27,87.88760009226613,6.156292219988796,0.0,3.654397469272086,0.0,0.0,0.0,0.0,2.3017102184729956
