date,KOALA SECURITIES LTD,SUPREME CHINA SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,55.29666922220097,0.0,44.70333077779903,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,55.28503428173677,0.0,44.71496571826324,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,55.07860575521869,0.0,44.92139424478131,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,48.16263125034237,0.0,39.24453712339954,0.0,1.9318192949022828,10.661012331355803,0.0
2024-03-13,0.0,0.0,0.0,48.250152918313816,0.0,39.13413162205353,0.0,1.935329818362482,10.680385641270172,0.0
2024-03-14,0.0,0.0,0.0,48.306515702300516,0.0,39.09150910756301,0.0,1.9332219749069603,10.668753215229506,0.0
2024-03-15,0.0,0.0,0.0,48.34161619985547,0.0,39.04725175833043,0.0,1.934626693343322,10.676505348470773,0.0
2024-03-18,0.0,0.0,0.0,48.48803889243262,0.0,38.90998591743091,0.0,1.9332219749069603,10.668753215229506,0.0
2024-03-19,0.0,0.0,0.0,48.452857623285446,0.0,38.95431075045647,0.0,1.9318192949022828,10.661012331355803,0.0
2024-03-22,0.0,0.0,0.0,42.22292983140857,0.0,33.46608491420554,13.370070700243906,1.6784048629298756,9.262509691212117,0.0
2024-03-25,0.0,0.0,0.0,42.39868208747627,0.0,33.297992905814205,13.365857870038026,1.6778760074837997,9.259591129187708,0.0
2024-03-26,0.0,0.0,0.0,30.204904030783418,28.759804447541182,23.7215552611459,9.521863283878798,1.1953221488592474,6.596550827791453,0.0
2024-03-27,0.0,0.0,0.0,30.203501070514804,28.759804447541182,23.7215552611459,9.523266244147411,1.1953221488592474,6.596550827791453,0.0
2024-04-03,0.0,0.0,0.0,30.273517682412194,28.805066294713015,23.579026436497863,9.538253850273367,1.1972033330140792,6.606932403089481,0.0
2024-04-05,0.0,0.0,0.0,30.282383784140915,28.792119807652632,23.5909013889407,9.533966865519096,1.1966652478973523,6.603962905849299,0.0
2024-04-09,0.0,0.0,0.0,30.255187291220704,28.766261715103237,23.659524107820037,9.525404446384332,1.1955905274204477,6.598031912051239,0.0
2024-04-11,0.0,0.0,0.0,30.248395799110455,28.759804447541182,23.67666053255025,9.523266244147411,1.1953221488592474,6.596550827791453,0.0
2024-04-15,0.0,0.0,0.0,30.165377674137478,28.766261715103237,23.749333724903263,9.525404446384332,1.1955905274204477,6.598031912051239,0.0
2024-04-16,0.0,0.0,0.0,30.163417675163416,28.767069077434005,23.75000028066293,9.525671789176785,1.195624083214538,6.598217094348325,0.0
2024-04-17,0.0,0.0,0.0,30.05641068648063,28.729171973551086,23.872873807969118,9.513122878741129,1.2388959049389006,6.589524748319138,0.0
