date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,BOCI SECURITIES LTD,CHIYU BANKING CORPORATION LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,HANG SENG BANK LTD,TOTAL_CCASS_PCT
2024-03-01,47.0832,16.139200000000002,6.2251764000000005,4.316606800000001,2.3800600000000003,0.0,0.0,1.1032,0.0,0.0,77.24744319999999
2024-03-04,47.354400000000005,16.12,6.392254,4.3104468,2.38166,0.0,0.0,1.1032,0.0,0.0,77.6619608
2024-03-05,47.392,16.115199999999998,6.358654,4.3119292,2.3776599999999997,0.0,0.0,1.1032,0.0,0.0,77.6586432
2024-03-06,47.4328,16.1528,6.333054000000001,4.2919292,2.37366,0.0,0.0,1.1032,0.0,0.0,77.68744319999999
2024-03-07,47.4352,16.1768,6.3114539999999995,4.2310092,2.37846,0.0,1.492,1.1032,0.0,0.0,79.1281232
2024-03-08,47.564,16.1064,6.165054,4.2350091999999995,2.37846,0.0,1.508,1.1032,0.0,0.0,79.06012319999999
2024-03-11,47.5816,16.1856,6.109854,4.2358092,2.3776599999999997,0.0,1.508,1.1032,0.0,0.0,79.1017232
2024-03-12,47.6352,16.061600000000002,6.021054,4.3932164,2.37126,0.0,1.5096,1.1032,1.0804,0.0,80.1755304
2024-03-13,47.5608,16.0912,6.033054,4.395536399999999,2.36886,0.0,1.5096,1.1016,1.0804,0.0,80.1410504
2024-03-14,47.6168,16.0712,5.969854,4.4083364,2.36646,0.0,1.5096,1.1016,1.0804,0.0,80.1242504
2024-03-15,47.6352,16.088,5.9394540000000005,4.3534964,2.35846,0.0,1.5096,1.1016,1.0804,0.0,80.0662104
2024-03-18,47.6688,16.1048,5.927454,4.3534964,2.35446,0.0,1.5096,1.1016,1.0796000000000001,0.0,80.09981040000001
2024-03-19,47.6952,16.0496,5.928254,4.3550964,2.3480600000000003,0.0,1.508,1.1016,1.0788,0.0,80.0646104
2024-03-20,47.6856,16.0624,5.928254,4.3494964,2.34406,0.0,1.508,1.1016,1.0788,0.0,80.0582104
2024-03-21,47.7488,16.0744,5.928254,4.2921764,2.32486,0.0,1.508,1.1016,1.0788,0.0,80.0568904
2024-03-22,47.7584,16.1048,5.928254,4.2913764,2.32326,0.0,1.508,1.1016,1.0788,0.0,80.0944904
2024-03-25,47.836800000000004,16.1352,5.928254,4.2344564,2.32166,0.0,1.508,1.1016,1.0788,0.0,80.1447704
2024-03-26,47.94,16.125600000000002,5.928254,4.2960564,2.32166,0.0,1.508,1.1016,1.0796000000000001,0.0,80.3007704
2024-03-27,47.9592,16.131999999999998,5.928254,4.2387764,2.32166,0.0,1.508,1.1016,1.0796000000000001,0.0,80.2690904
2024-03-28,48.001599999999996,16.1688,5.925854,4.2435764,2.32166,0.0,1.508,1.1016,1.0796000000000001,0.0,80.3506904
2024-04-02,48.0368,16.1352,5.925854,4.2403764,2.32166,0.0,1.508,1.1016,1.0796000000000001,0.0,80.3490904
2024-04-03,48.0712,16.108,5.911454,4.2403764,2.32166,0.0,1.508,1.1016,1.0796000000000001,0.0,80.34189040000001
2024-04-05,48.0624,16.098399999999998,5.908254,4.1723764,2.3240600000000002,0.0,1.5064,1.1016,1.0796000000000001,0.0,80.2530904
2024-04-08,48.1096,16.0904,5.908254,4.2069092,2.3240600000000002,0.0,1.5064,1.1016,1.0796000000000001,0.0,80.32682319999999
2024-04-09,48.1096,16.0904,5.928254,4.2069092,2.3240600000000002,0.0,1.5064,1.1016,1.0796000000000001,0.0,80.34682319999999
2024-04-10,48.098400000000005,16.0928,5.928254,4.2085092,2.32326,0.0,1.5296,1.1016,1.0796000000000001,0.0,80.3620232
2024-04-11,48.1184,16.098399999999998,5.928254,4.2069092,2.32326,4.2008,1.5328,1.1016,1.0796000000000001,0.0,84.59002319999999
2024-04-12,48.0752,16.081599999999998,5.941053999999999,4.2077092,2.32006,4.196,1.5984000000000003,1.1008,1.0796000000000001,0.0,84.6004232
2024-04-15,48.0776,16.0912,5.948254,4.2069092,2.32006,4.196,1.5976000000000001,1.1008,1.0796000000000001,0.0,84.61802320000001
2024-04-16,48.068,16.088,5.9554540000000005,4.2069092,2.32006,4.196,1.5984000000000003,1.1008,1.0796000000000001,0.0,84.6132232
2024-04-17,48.0848,16.1096,5.942654,4.1487891999999995,2.3240600000000002,4.196,1.5968,1.1008,1.0796000000000001,0.0,84.5831032
2024-04-18,48.1568,16.0992,5.949854,4.0871091999999996,2.3240600000000002,4.196,1.5968,1.1008,1.0796000000000001,0.0,84.5902232
2024-04-19,48.1728,16.0928,5.950654,4.0879091999999995,2.3240600000000002,4.196,1.5968,1.1008,1.0796000000000001,0.0,84.6014232
2024-04-22,48.187999999999995,16.081599999999998,5.949854,4.0871091999999996,2.32486,4.196,1.6039999999999999,1.1008,1.0796000000000001,0.0,84.6118232
2024-04-23,48.2064,16.084,5.949854,4.0879091999999995,2.32806,4.196,1.6039999999999999,1.1008,1.0796000000000001,0.0,84.6366232
2024-04-24,48.2528,16.0624,5.949854,4.0879091999999995,2.3240600000000002,4.196,1.6072,1.1008,1.0796000000000001,0.0,84.66062319999999
2024-04-25,48.2376,16.0872,5.948254,4.0631092,2.32246,4.196,1.628,1.1008,1.0796000000000001,0.0,84.6630232
2024-04-26,48.296,16.1008,5.945054000000001,4.0143092,2.32246,4.196,1.6296000000000002,1.1008,1.0796000000000001,0.0,84.6846232
