date,THE HONGKONG AND SHANGHAI BANKING,BNP PARIBAS,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,DBS BANK LTD,HANG SENG BANK LTD,TOTAL_CCASS_PCT
2024-03-04,0.0,8.975236414257736,0.0,0.0,0.0,0.0,0.0,0.0,8.975236414257736
2024-03-06,0.0,8.988834143654492,5.12459832812683,0.0,0.0,0.0,0.0,0.0,14.113432471781321
2024-03-11,0.0,8.985159081655368,5.12459832812683,0.0,0.0,0.0,0.0,0.0,14.109757409782198
2024-03-12,0.0,8.984791575455455,5.12459832812683,0.0,0.0,0.0,0.0,0.0,14.109389903582287
2024-03-13,0.0,8.982586538255982,5.12459832812683,0.0,0.0,0.0,0.0,0.0,14.107184866382813
2024-03-19,0.0,8.976706439057386,5.12459832812683,0.0,0.0,0.0,0.0,0.0,14.101304767184217
2024-04-02,0.0,8.973031377058263,5.12459832812683,0.0,0.0,0.0,0.0,0.0,14.097629705185094
2024-04-03,0.0,9.186184973007386,5.12459832812683,0.0,0.0,0.0,0.0,0.0,14.310783301134217
2024-04-05,0.0,9.42359397815072,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.549294824877288
2024-04-08,0.0,9.423226471950807,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.548927318677373
2024-04-09,0.0,9.412936298353264,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.53863714507983
2024-04-10,0.0,9.409628742554053,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.535329589280622
2024-04-11,0.0,9.400441087556247,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.526141934282814
2024-04-15,0.0,9.396766025557124,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.52246687228369
2024-04-18,0.0,9.396398519357211,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.52209936608378
2024-04-23,0.0,9.405218668155106,5.125700846726567,0.0,0.0,0.0,0.0,0.0,14.530919514881674
2024-04-25,2.058574218610247,9.405218668155106,5.125700846726567,0.0,0.0,0.0,0.0,0.0,16.58949373349192
2024-04-26,2.0277036978176155,9.406688692954756,5.125700846726567,0.0,0.0,0.0,0.0,0.0,16.560093237498936
2024-05-03,2.0277036978176155,9.435354176547913,5.124965834326742,0.0,0.0,0.0,0.0,0.0,16.58802370869227
2024-05-10,2.2103542791740196,9.448216893544844,5.124965834326742,0.7059029687419108,0.0,0.0,0.0,0.0,17.489439975787516
2024-05-14,2.2103542791740196,9.44270430054616,5.124965834326742,0.7059029687419108,0.0,0.0,0.0,0.0,17.48392738278883
