date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,ABN AMRO CLEARING HONG KONG LTD,DEUTSCHE BANK AG,DBS VICKERS (HONG KONG) LTD,DBS BANK LTD,IFAST SECURITIES (HK) LTD
2024-03-01,34.72737217290287,60.54493407574988,0.0,0.0,0.25841571011946707,4.469278041227784,0.0,0.0,0.0,0.0
2024-03-04,34.721127931264455,60.59851635926636,0.0,0.0,0.227134289597312,4.453221419871862,0.0,0.0,0.0,0.0
2024-03-05,34.721127931264455,60.76041616443265,0.0,0.0,0.22691128096736865,4.2915446233355246,0.0,0.0,0.0,0.0
2024-03-06,19.28586062065209,26.902887395680075,51.61017012414061,0.0,0.11162729229927891,1.9465755827458113,0.0,0.0,0.0,0.14287898448213765
2024-03-08,18.982815311402863,26.649012384796787,51.61215766674117,0.0,0.11461172508321664,2.498222189149121,0.0,0.0,0.0,0.14318072282684643
2024-03-11,18.982796566778497,26.673021646257546,51.612106702198105,0.0,0.10045055867877936,2.4884439446443727,0.0,0.0,0.0,0.1431805814427144
2024-03-12,18.982777822191142,26.672995307947357,51.61205573775568,0.0,0.11032497259625122,2.478665719450705,0.0,0.0,0.0,0.14318044005886157
2024-03-13,19.404296211412845,27.265277329221423,52.758117225846576,0.0,0.11277477236608976,0.3131746556173963,0.0,0.0,0.0,0.14635980553566297
2024-03-14,19.413344760099484,27.236384307081448,52.75843674506903,0.0,0.11963926712417067,0.3258342286906605,0.0,0.0,0.0,0.14636069193521095
2024-03-15,19.508541319918677,26.898331649901593,53.01425499382021,0.0,0.10540178733713124,0.3263998746514128,0.0,0.0,0.0,0.14707037437098508
2024-03-18,60.50092269552827,6.777058947354699,32.35724399183573,0.0,0.07557566361689957,0.19681414599452327,0.0,0.0,0.0,0.09238455566988515
2024-03-19,61.99657105212596,4.652185230997099,33.11408267930766,0.0,0.0746048272905551,0.06801077199864837,0.0,0.0,0.0,0.09454543828008259
2024-03-20,62.26762572213591,3.7907872846528092,33.71346379918329,0.0,0.07988891631409807,0.053298343134202765,0.0,0.0,0.0,0.09493593457968677
2024-03-21,62.27088478894968,3.7907821718543033,33.71341832837883,0.0,0.07995428153449131,0.05002462274720195,0.0,0.0,0.0,0.09493580653549223
2024-03-22,62.27084401837865,3.804856369257095,33.713396255217006,0.0,0.0799542291860828,0.036013383582931956,0.0,0.0,0.0,0.09493574437824077
