date,THE HONGKONG AND SHANGHAI BANKING,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,PHILLIP SECURITIES (HONG KONG) LTD,GUOSEN SECURITIES (HK) BROKERAGE CO LTD,BOCI SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.6148440961191459,0.4281031013508043,0.274188245936626,0.0,0.0,0.1721728459844135,0.0,0.11994194751858835,0.11433975235579386,0.0,1.723589989265372
2024-03-04,0.6148440961191459,0.4281031013508043,0.2741801619609221,0.0,0.0,0.1721728459844135,0.0,0.11992577956718056,0.11433975235579386,0.0,1.7235657373382605
2024-03-05,0.6148440961191459,0.4281031013508043,0.27400231449543655,0.0,0.0,0.1721728459844135,0.0,0.11968326029606392,0.11433975235579386,0.0,1.723145370601658
2024-03-06,0.6148440961191459,0.4281031013508043,0.2748107120658254,0.0,0.0,0.1721728459844135,0.0,0.11968326029606392,0.11433975235579386,0.0,1.7239537681720467
2024-03-07,0.6143186376983932,0.4281031013508043,0.27620923986259804,0.0,0.0,0.1721728459844135,0.0,0.11775119010283466,0.11474395114098826,0.0,1.723298966140032
2024-03-08,0.614116538305796,0.4281031013508043,0.27620923986259804,0.0,0.0,0.1721728459844135,0.0,0.11775119010283466,0.11474395114098826,0.0,1.7230968667474347
2024-03-11,0.6139548587917183,0.4281031013508043,0.27620923986259804,0.0,0.0,0.1721728459844135,0.0,0.11775119010283466,0.11474395114098826,0.0,1.722935187233357
2024-03-13,0.6136719196420822,0.4281031013508043,0.27579695710169977,0.0,0.0,0.1720111664703357,0.0,0.11753292275882969,0.11467119535965328,0.0,1.7217872626834048
2024-03-15,0.6136719196420822,0.4281031013508043,0.27579695710169977,0.0,0.0,0.1720111664703357,0.0,0.11788861768980076,0.11475203511669214,0.0,1.722223797371415
2024-03-18,0.6136719196420822,0.4281031013508043,0.27519874289961205,0.0,0.0,0.1720111664703357,0.1323912701025761,0.11788053371409686,0.11475203511669214,0.0,1.8540087692961993
