date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,BRIGHT SMART SECURITIES INTERNATIONAL,KGI ASIA LTD,SHANGHAI COMMERCIAL BANK LTD
2024-03-07,69.08057155681904,0.0,0.0,0.0,30.91942844318097,0.0,0.0,0.0
2024-03-15,47.285948381810734,0.0,0.0,16.43281442031954,21.16448176976649,15.116755428103238,0.0,0.0
2024-03-18,47.2057318321392,0.0,0.0,16.535312180143297,21.15148413510747,15.10747185261003,0.0,0.0
2024-03-19,47.2081478069502,0.0,0.0,16.53104048313629,21.152566661548697,15.108245048364811,0.0,0.0
2024-03-20,47.21625217480299,0.0,0.0,16.533619895609455,21.14931941459421,15.100808514993346,0.0,0.0
2024-03-21,35.96850270923479,23.981600592523293,0.0,12.442989124079055,16.11117608077028,11.495731493392586,0.0,0.0
2024-04-09,35.95728927165738,23.97412415728148,0.0,12.470285647480612,16.10615330657418,11.492147617006353,0.0,0.0
2024-04-10,35.96429685063923,23.97879638291238,0.0,12.453227315247895,16.10929217337075,11.494387277829746,0.0,0.0
2024-04-11,35.969596569869424,23.979731046579612,0.0,12.449814850906256,16.109920093549015,11.490937439095692,0.0,0.0
2024-04-18,35.969596569869424,23.979731046579612,0.0,12.48879360748392,16.07094133697135,11.490937439095692,0.0,0.0
2024-05-03,35.96819457436857,23.982694106641723,0.0,12.488306828811973,16.07031493607733,11.490489554100405,0.0,0.0
2024-05-06,35.99298382381602,23.979731046579612,0.0,12.465406353537322,16.07094133697135,11.490937439095692,0.0,0.0
2024-05-13,35.98176362857032,24.003429061294472,0.0,12.461520476951254,16.06593149670732,11.48735533647664,0.0,0.0
2024-05-17,35.954005067238356,24.01091405184175,0.0,12.516078737088288,16.028064704735918,11.490937439095692,0.0,0.0
2024-05-21,35.95650140318054,24.009978172747115,0.0,12.51559089491737,16.02743997505457,11.490489554100405,0.0,0.0
2024-05-29,35.9410916741341,23.999688315736158,0.0,12.553083726185374,16.02057116141349,11.485565122530875,0.0,0.0
2024-06-03,30.732584868574474,20.52170436752507,14.515108105406934,10.710597328180697,13.698903954425825,9.821101375886998,0.0,0.0
2024-06-04,30.72644306032042,20.51760317090231,14.532191986143955,10.708456849748526,13.6961662725244,9.819138660360391,0.0,0.0
2024-06-07,30.65293238079415,20.70775876391427,14.497424821398901,10.682837680677853,13.663399235753449,9.795647117461373,0.0,0.0
2024-06-24,30.651913875598087,20.707070707070706,14.500265816055292,10.682482721956406,13.66294524189261,9.7953216374269,0.0,0.0
2024-06-26,30.54604672804015,20.681976802153613,14.619960783010402,10.688291402173551,13.666123832629864,9.797600451992421,0.0,0.0
2024-06-27,30.55823386640955,20.690228413738073,14.625793795923794,10.652658177344815,13.671576287528675,9.801509459055092,0.0,0.0
2024-07-16,30.559249900252695,20.690916345258678,14.626280090437557,10.646362548211199,13.672030855166911,9.805160260672961,0.0,0.0
2024-07-25,31.244900734294262,21.155153657873267,14.954446559695404,10.885232526516182,11.735110144139243,10.025156377481641,0.0,0.0
2024-08-08,31.243838596729784,21.1544345106571,14.953938199000577,10.88826188938369,11.73471122140259,10.024815582826257,0.0,0.0
2024-08-09,31.24277653137535,21.153715412332584,14.953429872866952,10.891291046298186,11.734312325786933,10.024474811339996,0.0,0.0
2024-08-14,31.238101713353277,21.155153657873267,14.954446559695404,10.892031547457167,11.735110144139243,10.025156377481641,0.0,0.0
2024-08-21,29.115558424790187,21.144371580986036,14.885664775236995,13.105229180116204,11.729129149536204,10.020046889334374,0.0,0.0
2024-08-23,29.06913630504105,21.110658796390528,14.861930931542167,13.521948571816269,11.710428115883031,9.725897279326956,0.0,0.0
2024-08-26,29.068150208623088,21.10994267105397,14.861426778384612,13.52488211947488,11.710030869432478,9.725567353030971,0.0,0.0
2024-08-28,29.068150208623088,21.086196953763697,14.861426778384612,13.548627836765153,11.710030869432478,9.725567353030971,0.0,0.0
2024-08-29,29.06913630504105,21.086912273559943,14.861930931542167,13.538910373838117,11.71721283669177,9.725897279326956,0.0,0.0
2024-08-30,29.070122468365167,21.08762764189029,14.862435118906268,13.53597720256471,11.717610340265292,9.726227228008277,0.0,0.0
2024-09-03,29.070122468365167,21.08762764189029,14.862435118906268,13.539369678054076,11.717610340265292,9.722834752518914,0.0,0.0
2024-09-04,29.08467906093093,21.08834305875967,14.862939340480391,13.526258651105985,11.71800787081015,9.719772017912879,0.0,0.0
2024-09-05,29.113236990297846,21.086912273559943,14.861930931542167,13.525340932220638,11.7138204762874,9.698758396092002,0.0,0.0
2024-09-11,29.114224649726907,21.08762764189029,14.862435118906268,13.5563320555009,11.714217864775927,9.665162669199715,0.0,0.0
2024-09-12,29.10533812656854,21.081191073729904,14.803635623685818,13.636980261819168,11.710642338737028,9.66221257545954,0.0,0.0
2024-09-13,29.106325250127185,21.081906053925724,14.804137697134138,13.637442767508903,11.707647956588096,9.662540274715957,0.0,0.0
2024-09-16,29.106325250127185,21.081906053925724,14.804137697134138,13.640834322536882,11.704256401560114,9.662540274715957,0.0,0.0
2024-09-17,29.106325250127185,21.081906053925724,14.804137697134138,13.644225877564864,11.704256401560114,9.659148719687977,0.0,0.0
2024-09-19,29.034555257892773,21.1061751839669,14.802129607650311,13.69663264268032,11.702668791752856,9.657838516056835,0.0,0.0
2024-09-20,28.77021686426887,20.72000265683637,14.506326591611037,11.441001627312279,11.467569991033177,10.062767759290626,0.0,3.032114509647637
2024-09-23,28.89838367779544,20.724032856385797,14.50052994170641,11.43018018018018,11.436804451510334,9.986089030206676,0.0,3.0239798622151564
2024-09-26,29.02209248324819,20.66609168712267,14.522656405493267,11.304982418894713,11.454255954355471,10.001326875870763,0.0,3.0285941750149274
2024-09-27,29.007379828468853,20.74662588923609,14.553553620105047,11.455355362010506,11.478625091416795,9.72342264477096,0.0,3.035037563991756
2024-09-30,28.96885996945754,20.719075758581766,14.667020782152578,11.440143416771795,11.463382245534826,9.710510590266251,0.0,3.0310072372352432
2024-10-02,28.922770964534305,21.31256214782897,14.643685780576732,11.468346039111701,11.445144182963208,9.247596950613191,0.0,2.9598939343718924
2024-10-03,28.929483141597323,21.320823525511386,14.62056161522395,11.471007525776614,11.447800285117529,9.249743062692703,0.0,2.960580844080496
2024-10-04,28.823412829490653,21.242650459139856,14.923696901631764,11.352976151152806,11.40582678205721,9.215828763955871,0.0,3.0356081125718437
2024-10-07,28.856330202407726,21.2726551131102,14.777086916258764,11.370551660272522,11.420161397010187,9.263791506813071,0.0,3.0394232041275298
