date,THE HONGKONG AND SHANGHAI BANKING,IFAST SECURITIES (HK) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,ABN AMRO CLEARING HONG KONG LTD,UBS SECURITIES HONG KONG LTD,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-07,94.26041325024597,0.0,0.0,0.0,0.0,0.0,5.739586749754018,0.0,0.0
2024-03-08,94.469746258946,0.0,0.0,0.0,0.0,0.0,5.530253741054001,0.0,0.0
2024-03-11,94.47872685936993,0.0,0.0,0.0,0.0,0.0,5.521273140630075,0.0,0.0
2024-03-12,95.29067879181552,0.0,0.0,0.0,0.0,0.0,4.709321208184476,0.0,0.0
2024-03-13,98.71959026888605,0.0,0.0,0.0,0.0,0.0,1.2804097311139564,0.0,0.0
2024-03-14,99.03969270166453,0.0,0.0,0.0,0.0,0.0,0.9603072983354672,0.0,0.0
2024-03-15,94.50213805742212,0.0,0.0,0.0,0.0,0.0,5.497861942577886,0.0,0.0
2024-03-19,94.59297086212077,0.0,0.0,0.0,0.0,0.0,5.407029137879243,0.0,0.0
2024-03-20,94.665085951393,0.0,0.0,0.0,0.0,0.0,5.334914048606994,0.0,0.0
2024-03-25,94.81327800829875,0.0,0.0,0.0,0.0,0.0,5.186721991701245,0.0,0.0
2024-04-03,94.82095294465819,0.0,0.0,0.0,0.0,0.0,5.179047055341817,0.0,0.0
2024-04-05,97.07088459285296,0.0,0.0,0.0,0.0,0.0,2.9291154071470418,0.0,0.0
2024-04-08,97.07943925233646,0.0,0.0,0.0,0.0,0.0,2.9205607476635516,0.0,0.0
2024-04-09,97.3714953271028,0.0,0.0,0.0,0.0,0.0,2.628504672897196,0.0,0.0
2024-04-10,97.3753280839895,0.0,0.0,0.0,0.0,0.0,2.6246719160104988,0.0,0.0
2024-04-11,97.37914967967384,0.0,0.0,0.0,0.0,0.0,2.6208503203261504,0.0,0.0
2024-04-12,97.52475247524752,0.0,0.0,0.0,0.0,0.0,2.4752475247524752,0.0,0.0
2024-04-15,97.24557842853001,0.0,0.0,2.6094520150768337,0.0,0.0,0.14496955639315745,0.0,0.0
2024-04-16,97.24956572090329,0.0,0.0,2.605674580196873,0.0,0.0,0.1447596988998263,0.0,0.0
2024-04-17,95.07103508263265,0.0,0.0,2.6094520150768337,0.0,0.0,2.319512902290519,0.0,0.0
2024-04-18,95.70692615912994,0.0,0.0,2.575844304522038,0.0,0.0,1.7172295363480254,0.0,0.0
2024-04-19,95.85002862049228,0.0,0.0,2.575844304522038,0.0,0.0,1.5741270749856897,0.0,0.0
2024-04-22,88.43878736664202,0.0,0.0,2.376676877574733,7.203971691137637,0.0,1.980564064645611,0.0,0.0
2024-04-23,76.6046022233405,0.0,0.0,2.058648611555881,6.239992680360492,0.0,10.636351159705384,4.460405325037742,0.0
2024-04-24,76.71897159064916,0.0,0.0,2.058648611555881,6.239992680360492,0.0,10.521981792396724,4.460405325037742,0.0
2024-04-25,76.83334095795782,0.0,0.0,2.058648611555881,6.239992680360492,0.0,10.407612425088065,4.460405325037742,0.0
2024-04-26,77.65824830324577,0.0,0.0,2.0776582483032455,6.297613001523617,0.0,9.464887575603676,4.501592871323699,0.0
2024-04-29,77.8890992197239,0.0,0.0,2.0776582483032455,6.297613001523617,0.0,9.234036659125538,4.501592871323699,0.0
2024-04-30,70.81185296952933,0.0,8.38258099668888,1.886080724254998,5.716920239741817,0.0,9.116056833899158,4.086508235885829,0.0
2024-05-02,71.85967559411543,0.0,8.38258099668888,1.886080724254998,5.716920239741817,0.0,8.068234209313047,4.086508235885829,0.0
2024-05-03,71.96445785657404,0.0,8.38258099668888,1.886080724254998,5.716920239741817,0.0,7.963451946854437,4.086508235885829,0.0
2024-05-06,71.99380338301792,0.0,8.373806732540613,1.884106514821638,5.7109361915926975,0.0,7.955116395913582,4.082230782113549,0.0
2024-05-07,71.91852440503575,0.0,8.365050817683716,1.9866995691998828,5.7049646576602955,0.0,7.946798276799531,4.0779622736208125,0.0
2024-05-09,71.94785660566558,0.0,8.356313194618533,1.984624383721902,5.6990055987298405,0.0,7.938497534887608,4.073702682376536,0.0
