date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,SHANGHAI COMMERCIAL BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HANG SENG BANK LTD,CLSA LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-01,41.897974991365246,26.675324183196196,7.090488724057178,6.5296777656752685,5.286057889188841,5.426568041374239,3.998994192876934,0.0,0.0,3.0949142122660955
2024-03-04,41.950459426264466,26.70690915089252,7.083996712657635,6.517678489967617,5.275689843432615,5.411901737536505,3.977151808835523,0.0,0.0,3.076212830413117
2024-03-05,41.909829370156814,26.74573999830418,7.076099913395837,6.5241832458224875,5.268767866462395,5.405413081009961,3.9962486859185207,0.0,0.0,3.073717838929804
2024-03-06,41.960042490940594,26.638028172808966,7.076015477690987,6.553936696267057,5.268704996783625,5.40833171084868,4.019469414906797,0.0,0.0,3.0754710397532934
2024-03-07,41.99787067709012,26.532152139404168,7.083721748043483,6.608379410761852,5.273706272839498,5.416435325617312,3.997750081779218,0.0,0.0,3.0899843444643476
2024-03-08,42.09570524146552,26.352578445706104,7.082500373526675,6.611419147149855,5.333693202139311,5.420874620424003,4.017956552313395,0.0,0.0,3.08527241727514
2024-03-11,42.16509404085566,26.232206958096,7.087239358102411,6.695299952006762,5.33965172420134,5.428086319102357,3.965682259429007,0.0,0.0,3.086739388206467
2024-03-12,42.17224499405951,26.199854292697477,7.0794473343791795,6.759523605964516,5.34198931769913,5.422575539299633,3.957478459398791,0.0,0.0,3.0668864565017664
2024-03-13,42.18288498379094,26.126417288733904,7.077743906190048,6.778183974772572,5.340703949680977,5.414110727453965,4.0102266280322585,0.0,0.0,3.069728541345334
2024-03-14,42.18670749329838,26.079462670300558,7.07698383244775,6.829360883768626,5.340130415389352,5.408756453674442,4.010392579775724,0.0,0.0,3.068205671345171
2024-03-15,41.768849901756035,26.187694601434835,7.146046501589441,6.907935200918196,5.387136841932589,5.467919601967535,4.040126485625571,0.0,0.0,3.094290864775796
2024-03-18,41.84500713473192,26.10885264305624,7.152161012834989,6.913845972344065,5.3489156070853365,5.48285347136165,4.053838664527714,0.0,0.0,3.094525494058088
2024-03-19,41.749526182476245,26.219197447727122,7.168807445273849,6.9390463000881795,5.283682697810277,5.481387601294176,4.055938458554766,0.0,0.0,3.1024138667753896
