date,CHINA MERCHANTS SECURITIES (HK) CO LTD,ICBC (ASIA) SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,68.32989226772936,14.927415639654143,7.539605835673273,3.577323873376115,4.526712204901392,0.0,1.0990501786657165,0.0
2024-03-04,0.0,64.55117233497376,23.43532046304716,5.116544213077103,2.580756476770803,1.2336308263270326,1.5298290362392906,0.8906806923951232,0.3767319305360001,0.28533402663373036
2024-03-05,0.0,64.53834793774298,23.448853654840995,5.120487751863262,2.5623997594951655,1.3254357703029696,1.4675516936052466,0.8812962379801672,0.368784935589044,0.2868422585801588
2024-03-06,0.0,64.54509929445932,23.443692994284334,5.120500624663094,2.558645408271519,1.3180767478547695,1.4772653091261598,0.8811459680387848,0.36870258214362506,0.2868710711584002
2024-03-07,0.0,64.53156360579301,23.461511022754987,5.1194685897346,2.5253472140131232,1.4022440310514366,1.4318152607194898,0.8802867324485484,0.36604384413494606,0.28171969934985996
2024-03-08,0.0,64.53167576189325,23.317274262402808,5.116257783328993,2.5444021529957492,1.579890868573376,1.385474252794236,0.8833336450023945,0.36132740981428363,0.28036386319489615
2024-03-11,0.0,64.52232544274702,23.368271887895208,5.101202133027461,2.537839812872226,1.5959601264347822,1.353814184555036,0.8831063115042463,0.35715349269669944,0.28032660826731653
2024-03-12,0.0,64.49037982459166,23.3590746776652,5.0962202466141235,2.5189473128053157,1.6881741858479893,1.3312723984440766,0.8807658346366045,0.35575035892361756,0.27941516047141135
2024-03-13,44.19000950412092,36.00687844580207,13.049540819945198,2.8453333354952193,1.4070799204901174,0.921355196797936,0.7361358230748455,0.49041929854461,0.19833451288803752,0.15491314284104024
2024-03-14,44.196821868571796,36.01276242021418,13.054404118004639,2.8440996742336386,1.4104581834352674,0.9069395627434664,0.737116537083353,0.48140052175691717,0.19836508828279623,0.1576320256739483
2024-03-15,44.19237010449386,36.01042105212102,13.054288634291805,2.8400761668463255,1.395665947338523,0.9287697352672051,0.7565152305706843,0.46936112168642363,0.1983183306546431,0.15421367672951034
2024-03-18,44.179728984699175,35.999612932398286,13.049937964130665,2.835297622179074,1.4030757998687498,0.9583681769006633,0.7521822204462508,0.46942005121713554,0.19820885691764753,0.1541673912423575
2024-03-19,44.18094676612307,36.00189545447597,13.03747845275952,2.8338774489239524,1.3428749131591384,1.0396992076663267,0.7424301960324736,0.46885789543076445,0.19788876423701413,0.15405090119175918
2024-03-20,44.160362489656556,35.98402111531903,13.037440139068677,2.831710430907095,1.3344958097348074,1.074356981002157,0.7612128128810881,0.4662068158692879,0.19620746459795016,0.1539859409633482
2024-03-21,44.15586179615106,35.980486871254975,13.032942647922852,2.8311555495237837,1.3158125066248214,1.1243916834374543,0.7424244733178252,0.4667667568818533,0.19618746771359816,0.1539702471717813
2024-03-22,44.14955688862737,35.97534930552412,13.021689955463254,2.8306647665076583,1.3068075950717148,1.1567594719687126,0.7466407329397132,0.46596793791647995,0.19283140694110049,0.15373193903987442
2024-03-25,44.158496561565144,35.98130232618757,13.018887536099419,2.8298598461506987,1.3066461291294644,1.154959850864967,0.7510327085583111,0.465629556162625,0.18954173109928682,0.14364375418252195
2024-03-26,44.15628592251326,35.97950104946273,12.986045337202276,2.8297181792196575,1.311666748376032,1.181823383804797,0.7593164979767033,0.4659690585473019,0.1862036874758891,0.14347013542135018
2024-03-27,44.179788714178905,35.998788178090585,12.990499557785421,2.8311410775507957,1.335555863171899,1.188986526289042,0.6833166358364072,0.46373931404237523,0.18463763367658956,0.14354649937797842
2024-03-28,44.169940965083335,35.990610826878736,12.986228835336004,2.8303501914076916,1.3345323161671518,1.1885350424793233,0.7082613308387218,0.4632030998218662,0.1848228893649674,0.14351450262220922
2024-04-02,44.170682197915845,35.991214799214305,12.984488933879712,2.8287961317210963,1.3316612542262585,1.1909123729323061,0.7121555767968317,0.46331076221478107,0.18326106010437854,0.14351691099448594
2024-04-03,44.1653371427353,35.98010118267572,12.982385014410976,2.8285370525329405,1.3122821227545844,1.2315780510151164,0.7071911681197108,0.4604548089220527,0.1832388838456032,0.14889457298800277
2024-04-05,44.16432442002276,35.97761156914179,12.981145172415562,2.8218172009239173,1.3204151341584969,1.2531127853588215,0.7029994186432911,0.4570418481962636,0.18287180359877173,0.13866064754031981
2024-04-08,44.1585681023653,35.97308873278934,12.974598279490438,2.821416121859119,1.3011327785199265,1.283567086562677,0.7104209936170699,0.4573817252171085,0.18259831381893196,0.13722786576008209
2024-04-09,44.160164990987354,35.974389613197516,12.975067474694416,2.821518151600949,1.300191163217003,1.2836135036854293,0.7082195522925084,0.4570310934726589,0.18257162857570733,0.1372328282764606
2024-04-10,44.1470675042522,35.9637199499193,12.972081108294251,2.820518250897688,1.2936257028278066,1.305376376455722,0.7209227625959492,0.4569787388782378,0.18251747955964334,0.13719212631920238
2024-04-11,44.16510694299203,35.978415497315076,12.965749484815467,2.8216707751553125,1.2693383014561683,1.2976166946572654,0.7260620610834194,0.4562133133229644,0.18259206011680373,0.1372348690854933
2024-04-12,44.18088254361395,35.99115694080141,12.938052518726357,2.822135808070037,1.2772901865453408,1.3071489019160916,0.7072321358977179,0.45615979431916165,0.1826572812747838,0.13728388883515422
2024-04-15,44.17697389846965,35.987468987419106,12.902487838067659,2.8217862326815264,1.279811306235544,1.3357155346451368,0.7203898886184172,0.45611943824969353,0.18264112174028782,0.1366057538729798
2024-04-16,44.17059216033049,35.982270292644394,12.901489669052008,2.8209990235573965,1.2781464046444897,1.3351629788229165,0.7390818685919307,0.4530568779552175,0.1826147376829491,0.13658598671819994
2024-04-17,44.161864978010406,35.97514097708324,12.88841105603931,2.8174622203132484,1.264954142184821,1.3940484142938807,0.7303308727681844,0.4493720699431749,0.18188622994994544,0.13652903941378958
2024-04-18,44.132819208552206,35.95147971070406,12.881521075887203,2.8153962285187277,1.3051553437802879,1.4257506686372319,0.7205022572219295,0.44907651273446053,0.18185975127869128,0.1364392426852063
2024-04-19,44.12416436283371,35.944077063680396,12.875362975274074,2.8148165198480646,1.2421307291660695,1.4290326556612565,0.80324808603505,0.4489840449156909,0.18182230515526715,0.1363612574304209
2024-04-22,44.11672975738007,35.938020744309306,12.870200582436494,2.813251466152659,1.2556753092298734,1.437125678407769,0.8021415536402466,0.4487753727018046,0.18179166939998384,0.13628786634179152
2024-04-23,44.08755188892754,35.91425210036202,12.861558894707304,2.810540066046658,1.2539394876660714,1.5083681319212945,0.7968793941734817,0.44837620329314903,0.18167143624932444,0.13686239665315733
2024-04-24,44.11183070845759,35.93449544387368,12.869898612936085,2.8119115839368614,1.2080928588908995,1.4741082517601776,0.8248805763096301,0.44574019864054104,0.18177148190451467,0.13727028329002308
2024-04-25,44.11009421018936,35.93308085309144,12.860254768073565,2.81339691009031,1.2154601412301829,1.4808266544456627,0.8220947048276792,0.4452105955048384,0.18156482390267953,0.13801633864427967
2024-04-26,44.09841500400998,35.923567519845065,12.863300530187766,2.812352884935985,1.222130949726761,1.484687866252002,0.8309227250746506,0.4451259669791149,0.1815167543624509,0.13797979862622958
2024-04-29,44.100097381159586,35.92493802237043,12.860623226356891,2.812323881881155,1.2197155080987165,1.4901099067897732,0.8279592427742009,0.4451429487630514,0.18152367931972618,0.13756620248646914
2024-04-30,44.111455358953435,35.93419048829533,12.861943718548549,2.813377384907522,1.2143500355192773,1.4744498695726294,0.8398222883711096,0.4321232804798596,0.181636933593804,0.13665064175848338
2024-05-02,44.11820646281635,35.93945729475561,12.872475747651958,2.8119788539275588,1.2105683848308635,1.4542127928515267,0.8427476934773334,0.43271154278321033,0.1809696712446307,0.1366715556609592
2024-05-03,44.107940468548115,35.93142692531375,12.853225084950934,2.8105598044090754,1.2008197023984388,1.4903782438313116,0.8564304974629724,0.4316699133856902,0.1809275608834743,0.1366217988162341
2024-05-06,44.108760276976746,35.93209476167911,12.853463980309632,2.8106120426363046,1.193327657297504,1.4904059446179083,0.8604097437207661,0.43204035502356325,0.1822608996129589,0.13662433812550617
2024-05-07,44.109807695061235,35.93513533396856,12.853362267067764,2.8112547841415996,1.1903823155010074,1.4903941505972023,0.8580954450581222,0.432036936161131,0.18290781546645876,0.13662325697692473
2024-05-08,44.10936189322464,35.934772150582205,12.862817991611383,2.8137832044690168,1.1890147976916317,1.4872437259568227,0.8634220411662407,0.42034561679266086,0.18261670233020982,0.13662187617519234
2024-05-09,44.109728542101685,35.93507085007116,12.856029052534213,2.813031889930193,1.1889681576738382,1.4916682406585102,0.8659295486474263,0.42023273905386377,0.18261822028934513,0.1367227590397601
2024-05-10,44.13164162484977,35.952922879705504,12.866590575990958,2.814429363970828,1.2017212532093327,1.496178271839197,0.7981383852811372,0.4206078326392142,0.1809791315615762,0.13679068095248564
2024-05-13,44.0927734212113,35.92072616478993,12.850931176378873,2.8116182395317093,1.2480088571801782,1.4955551764734518,0.8425765422778878,0.42032048007860756,0.18081973722497646,0.13667020485308506
2024-05-14,44.095597524253144,35.92301023623898,12.862295500883603,2.8049146435961188,1.2502116294604875,1.5042796603023372,0.8224779524290873,0.41990200635233543,0.18083131856881812,0.13647952791509071
2024-05-16,44.089326411778316,35.917901398843085,12.877604890352051,2.804422684678471,1.23814945899827,1.5021780532418028,0.8391648703385473,0.4140563028216731,0.18080560140879795,0.13639032753897656
2024-05-17,44.089331950428964,35.917955761523174,12.8763436274411,2.804339952726968,1.2442949246645985,1.501686383175183,0.8348449269597346,0.4140065042852769,0.18080562412221052,0.13639034467279187
2024-05-20,44.09400264184528,35.921760801886585,12.872246833086804,2.8046204174686182,1.24399146687645,1.5034375302407823,0.8410877713198739,0.4016063470814314,0.18082477812702868,0.1364214120671514
2024-05-21,44.100618624971894,35.927187166227554,12.82364008982142,2.804978070086654,1.2395075883879656,1.524376330315172,0.8612503127954717,0.40081560463819454,0.18118433165178274,0.13644188110389718
2024-05-22,44.103760652294724,35.929746862831095,12.80761229645977,2.8037550478574205,1.2461280930324863,1.5368419465430485,0.8563549076638419,0.3985669079291896,0.18078168323906954,0.13645160214935578
2024-05-23,44.107252416671145,35.932797610324656,12.790702724901632,2.803920505316512,1.2471842705847043,1.5558014894467758,0.8470825681698715,0.3981496257772602,0.18064638356926968,0.13646240523817282
2024-05-24,44.10333508611183,35.929076079883096,12.78145483029061,2.8035234661150126,1.250360445912405,1.566760251038931,0.8503055709652492,0.39810835291095364,0.18062765745839296,0.13644825931351878
2024-05-27,44.103835448486414,35.92948370342877,12.784774654159284,2.803485460033165,1.2500097771015264,1.5706742394795974,0.8462244599801314,0.39395070323310344,0.18107850260809186,0.13648305148991471
2024-05-28,44.105008258988136,35.93043914132619,12.777248854619499,2.8031411231010295,1.2481580245453623,1.5791303224363986,0.845708792359734,0.39343923230718547,0.1810833178530096,0.1366429324634481
2024-05-29,44.109161249756575,35.933612939582645,12.785158131393565,2.8028930493096365,1.2482755528932326,1.584073399455232,0.827332109092849,0.3923491666793663,0.18052850066428283,0.13661590117262237
2024-05-30,44.14499774360262,35.96277393296444,12.8014384668238,2.8041553675500133,1.1644263265006711,1.5866780766991562,0.8350566472861393,0.38380342639349857,0.1806086207348721,0.13606139144478727
2024-05-31,44.13438987208959,35.95440323149434,12.814190965470573,2.802670986322486,1.166327956465137,1.5940101693364688,0.8355893388558016,0.3818211759526607,0.18056658224112532,0.13602972177182174
2024-06-03,44.125050922601275,35.94656569141048,12.824075156684115,2.8017386780941638,1.1646576141390155,1.60755243018048,0.8416288914398886,0.3722013040232384,0.1805283738916791,0.13600093753566894
2024-06-04,44.127360851047136,35.948447479485175,12.823974810535487,2.7955223037863886,1.1635914964429166,1.6116247134787394,0.8414101795955617,0.3715222840207046,0.18053782447853214,0.13600805712936254
2024-06-05,44.13081735251607,35.950308627974245,12.826100335378687,2.7849801376421226,1.1645262009600854,1.6103538336295378,0.8592782391672715,0.35858479414982025,0.17986005967055646,0.13519041891160716
2024-06-06,44.121941334201146,35.94331020816233,12.855939412317339,2.7781115126465394,1.16269267584373,1.6159219016047202,0.8519439337052012,0.35739784211001757,0.17830198343694692,0.1344391959720342
2024-06-07,44.09677509147093,35.92208427041566,12.870687526701536,2.773362552604958,1.1699232387668566,1.6551366848773668,0.8466966702066104,0.35371848709729153,0.1775188777357484,0.13409660012304578
2024-06-11,44.09035817774953,35.91604081623366,12.895454605406655,2.7679966810327694,1.16686758870025,1.661114434791592,0.8397440120311844,0.3513247782070055,0.17710792595342556,0.13399097989392608
2024-06-12,44.089413650576965,35.91534451809676,12.90334058327122,2.772221225543045,1.1671616363069697,1.649008318723344,0.8405336049057419,0.3521899725858771,0.17710413185295887,0.1336823581371271
2024-06-13,44.09161238364906,35.91730178893935,12.913994603004527,2.773688895744914,1.1632061908617608,1.603807189003786,0.8722261519062213,0.3536732216981062,0.17723925890301512,0.13325031628926925
2024-06-14,44.077362935515026,35.90567416497428,12.93491906259067,2.7725798615044956,1.1525305269604058,1.634598222910431,0.8711552791280167,0.34115445932375854,0.1765141614287298,0.1335113256641857
2024-06-17,44.07952398348894,35.907122239097845,12.962812169318966,2.7723635973106715,1.1390205012235093,1.6325851025520897,0.8548289120308833,0.3413040911652597,0.17621381027100386,0.1342255935408353
2024-06-18,44.07847388796708,35.906266832667406,12.966400721657777,2.7722809391861136,1.1356143237045817,1.6261469604653733,0.8605765107856378,0.34156176511547964,0.17688409193296478,0.13579396651759068
2024-06-19,44.07982569382594,35.90736801194139,12.956544644575112,2.770139776878429,1.1307648387937304,1.6459666661660082,0.8564362858117581,0.34030962889210514,0.17684632204632333,0.13579813106920388
2024-06-20,44.08440531435325,35.91109856479728,12.954232119048026,2.763894546427466,1.1272153805664595,1.6515076504120034,0.8554851631936438,0.3401622195941686,0.17625326208499892,0.1357457795227065
2024-06-21,44.083762220493014,35.91057470138488,12.961961754476995,2.7621595187292893,1.1316616696278532,1.6363640995235689,0.8620089420096191,0.3394793739419199,0.1762839205204982,0.13574379929235653
2024-06-24,44.072485477335896,35.90138868124653,12.973784896530058,2.752187591763994,1.132468483218604,1.6372976112126212,0.8825881893179406,0.3393925342187598,0.17263101732647526,0.13577551782912634
2024-06-25,44.06073905270451,35.89182005919722,12.985737529708077,2.7513178945003935,1.123267734907312,1.6407271333547635,0.8983324220441024,0.33940171425926713,0.17258500682327577,0.13607145250107452
2024-06-26,44.071110301628714,35.90026846492485,12.971011491731923,2.751978802221127,1.1030089920140058,1.6370239489944447,0.9153442488766678,0.3411592166213309,0.17262563079157117,0.1364689021953663
2024-06-27,44.06089209092466,35.89194472392999,12.980734357810952,2.750507105953108,1.0942671991836035,1.632715372999036,0.9388262019971404,0.341488628147507,0.1725856062708301,0.1360387127831804
2024-06-28,44.07314383572976,35.90194823423139,13.002187140487106,2.7506639679203264,1.0783859898563457,1.6342158519075838,0.9089021314093658,0.3407530444081495,0.17305883228028765,0.13674097176968575
2024-07-02,44.061240740485836,35.892251982226604,13.00588269779546,2.749921079795163,1.074159714434178,1.6454088647332956,0.9207245581319187,0.34102635385754193,0.17301209325547215,0.13637191528453785
2024-07-03,44.06085887168321,35.89180563907785,13.006309149214204,2.7498868827647236,1.0703214081686814,1.6506757838275852,0.9211980063207966,0.3410918585774504,0.17234569791918494,0.13550670244631943
2024-07-04,44.05551788325375,35.887454890510085,12.999545429368231,2.749553545775857,1.0744356689772434,1.670945204440828,0.9140470725553949,0.3410173037905297,0.17298896974458675,0.13449403158349676
2024-07-05,44.047303995277254,35.880763889055665,12.98728565714327,2.7483835088746744,1.050588668850567,1.7426703287367815,0.8962116102873233,0.33853661947383623,0.17378676632541848,0.13446895597521857
2024-07-08,44.04946559880116,35.88265753735816,12.985741526187342,2.748368968463832,1.042077913350118,1.7490412916188278,0.8948734583297356,0.338822182204871,0.17445936689992916,0.13449215678601872
2024-07-09,44.04420017736991,35.87836832949969,12.989954401288712,2.7463705025498686,1.0356643758389108,1.761189124996279,0.8962248173932732,0.33911367767728356,0.17443851302402238,0.1344760803620474
2024-07-10,44.045004269800394,35.87875531812722,12.983319970065713,2.743687881256841,1.0345834110658692,1.7658161762221731,0.9006293134917406,0.3392845911732527,0.17444104020794216,0.13447802858885807
2024-07-11,44.071464989963935,35.900618984005256,12.991382339596228,2.741652089643225,1.0264322659819367,1.7434469090504021,0.8796649093030992,0.3392226611753437,0.17454583837124132,0.1315690129093348
2024-07-12,44.056489997948724,35.88842035428535,12.985921936507358,2.7402921136894576,1.0215538191591604,1.741270446789114,0.9204017572876356,0.3396387374631952,0.1744865296430996,0.13152430722691158
2024-07-15,44.04946470479707,35.88269754990964,13.003305105328597,2.739433459734035,1.0171036881658095,1.7448410650187693,0.9172425704083769,0.33938535745821924,0.1746911301820211,0.13183536899745688
2024-07-16,44.04367854459694,35.87793005541438,13.004406003373228,2.7389366932342365,1.0397000190327588,1.7445528012222238,0.9025961112917192,0.339290466992811,0.17466792013767157,0.1342413847040253
2024-07-17,44.04534853829752,35.87929043036856,13.004165361177341,2.7390405448464343,1.0380858657321814,1.7430352935404927,0.9011330001816675,0.3402993415222283,0.17478078401794603,0.13482084031562994
2024-07-18,44.05268130518195,35.88507434872501,12.984199845224092,2.7391832405860934,1.048377621052386,1.7402746394484148,0.899884492194774,0.3392783355337473,0.17613718660132197,0.13490898545220928
2024-07-19,44.09667149871957,35.92085436861196,12.972097285145189,2.7331726043522497,1.0588567282319807,1.7362096514131686,0.8297356675188531,0.34004872482795157,0.1766451959915283,0.13570827518753573
2024-07-22,44.084467387506,35.91037161723197,12.959449452439708,2.732374984991752,1.1977708100905853,1.7435118098321056,0.7194766119265609,0.3402817795564749,0.1767597912037423,0.1355357552210987
2024-07-23,44.092437488515074,35.91690711607978,12.916861890430658,2.7326994764416725,1.2186137865343925,1.7599261008945075,0.7101247153691013,0.3406091803805642,0.17679174788766577,0.13502849746658893
2024-07-24,44.07155882373638,35.89989973099794,12.900065471329103,2.731405487731604,1.2210868828879335,1.7593784265899606,0.7638203024784447,0.34044789501502815,0.17737242050334215,0.1349645587302714
2024-07-25,44.0666164070568,35.8962058834953,12.893583300613972,2.731099173537108,1.2248095999315696,1.7611640937143025,0.7730748786843058,0.3411471023719259,0.17735252902609489,0.13494703156862628
