date,ABN AMRO CLEARING HONG KONG LTD,BNP PARIBAS,MIRAE ASSET SECURITIES (HK) LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD
2025-02-27,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2025-02-28,76.76923076923077,0.0,23.076923076923077,0.0,0.0,0.15384615384615385,0.0,0.0
2025-03-03,76.61538461538461,0.0,23.076923076923077,0.0,0.07692307692307693,0.15384615384615385,0.0,0.07692307692307693
2025-03-12,73.6923076923077,0.0,23.076923076923077,0.0,0.07692307692307693,3.076923076923077,0.0,0.07692307692307693
2025-03-14,72.2521137586472,0.0,23.059185242121444,0.0,1.5372790161414296,3.074558032282859,0.0,0.07686395080707148
2025-03-17,70.33051498847041,0.0,23.059185242121444,0.0,1.5372790161414296,3.074558032282859,1.921598770176787,0.07686395080707148
2025-03-18,70.25365103766333,0.0,23.059185242121444,0.0,1.6141429669485012,3.074558032282859,1.921598770176787,0.07686395080707148
2025-03-21,66.41045349730976,0.0,23.059185242121444,3.843197540353574,1.6141429669485012,3.074558032282859,1.921598770176787,0.07686395080707148
2025-03-24,67.65358993338268,0.0,22.205773501110286,3.7009622501850483,1.5544041450777202,2.9607698001480385,1.8504811250925242,0.07401924500370095
2025-03-26,63.61365528726062,0.0,24.979184013322232,4.163197335553705,1.7485428809325563,3.330557868442964,2.0815986677768525,0.08326394671107411
2025-04-03,63.831544178364986,0.0,24.77291494632535,4.128819157720892,1.8166804293971925,3.3030553261767133,2.064409578860446,0.08257638315441783
2025-04-09,62.86407766990292,0.0,24.271844660194176,4.0453074433656955,3.4789644012944985,3.2362459546925564,2.0226537216828477,0.08090614886731393
2025-04-11,68.12297734627832,0.0,19.01294498381877,4.0453074433656955,3.4789644012944985,3.2362459546925564,2.0226537216828477,0.08090614886731393
2025-04-14,49.471830985915496,23.884976525821596,17.312206572769952,2.9342723004694835,2.523474178403756,2.3474178403755865,1.4671361502347418,0.05868544600938967
2025-04-29,49.413145539906104,23.884976525821596,17.312206572769952,2.9342723004694835,2.5821596244131455,2.3474178403755865,1.4671361502347418,0.05868544600938967
