date,UBS SECURITIES HONG KONG LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,CHINA CITIC BANK INTERNATIONAL LTD,BOCI SECURITIES LTD,HANG SENG SECURITIES LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,14.29980310830615,85.70019689169385,0.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,88.74591058885494,0.0,1.6123617744785732,9.641727636666493,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,88.7509135118569,0.0,1.6116450108636493,9.637441477279463,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,82.91161381213468,0.0,1.503946860480031,9.003353253310365,0.0,0.0,0.0,6.581086074074931,0.0
2024-03-13,0.0,82.90885928584916,0.0,1.507219139898035,9.003054139928611,0.0,0.0,0.0,6.580867434324181,0.0
2024-03-14,0.0,82.90335078231423,0.0,1.5137630464987006,9.002455972784809,0.0,0.0,0.0,6.580430198402262,0.0
2024-03-15,0.0,82.91445202456492,0.0,1.5036970697375396,9.001857885120735,0.0,0.0,0.0,6.579993020576805,0.0
2024-03-18,0.0,82.91587077726008,0.0,1.5035722054795444,9.001110387284884,0.0,0.0,0.0,6.579446629975491,0.0
2024-03-19,0.0,81.76774211503597,0.0,1.4843901423716688,8.876472815121568,0.0,0.0,1.383053307750113,6.488341619720682,0.0
2024-03-20,0.0,81.77371219766317,0.0,1.483904084536327,8.873566248283893,0.0,0.0,1.382600432270993,6.486217037245619,0.0
2024-03-21,0.0,81.77906784582585,0.0,1.477451918749746,8.874147409362395,0.0,0.0,1.3826909836384902,6.486641842423525,0.0
2024-03-22,0.0,81.77622941306214,0.0,1.4761771309084664,8.876327441557772,0.0,0.0,1.3830306569300794,6.488235357541544,0.0
2024-03-25,0.0,81.78292637237926,0.0,1.4762980205393714,8.87705435699748,0.0,0.0,1.374954546837842,6.48876670324605,0.0
2024-03-26,0.0,81.78471643309308,0.0,1.4761529553580761,8.87618207275558,0.0,0.0,1.3748194399503202,6.488129098842947,0.0
2024-03-27,0.0,81.78411978527784,0.0,1.476201307250735,8.876472815121568,0.0,0.0,1.3748644726291792,6.488341619720682,0.0
2024-03-28,0.0,81.79157507475408,0.0,1.4755971361680849,8.872839903970164,0.0,0.0,1.3743017760966363,6.4856861090110405,0.0
2024-04-03,0.0,81.93454505316035,0.0,1.4777623558948996,8.733386079238093,0.0,0.0,1.3591036212103784,6.495202890496282,0.0
2024-04-05,0.0,81.93424886536474,0.0,1.4777865841900586,8.733529265356497,0.0,0.0,1.3591259040649626,6.495309381023747,0.0
2024-04-09,0.0,81.94349393804107,0.0,1.467997565758845,8.733815651679212,0.0,0.0,1.3591704719662017,6.495522372554663,0.0
2024-04-10,0.0,81.94585989835049,0.0,1.4663123076130642,8.733379631377284,0.0,0.0,1.3591281323906075,6.495320030268549,0.0
2024-04-11,0.0,81.94556389072626,0.0,1.4663363486153014,8.73352281997235,0.0,0.0,1.3591504160489398,6.495426524637154,0.0
2024-04-12,0.0,81.94720344610012,0.0,1.4646967932414374,8.73352281997235,0.0,0.0,1.3591504160489398,6.495426524637154,0.0
2024-04-17,0.0,81.9373231393224,0.0,1.480558306368022,8.730373755107024,0.0,0.0,1.358660344297815,6.493084454904737,0.0
